timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,idle
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,idle
2566,idle
2600,idle
2633,idle
2666,idle
2700,idle
2733,idle
2766,idle
2800,idle
2833,idle
2866,idle
2900,idle
2933,idle
2966,idle
3000,idle
3033,idle
3066,idle
3100,idle
3133,idle
3166,idle
3200,idle
3233,idle
3266,idle
3300,idle
3333,idle
3366,idle
3400,idle
3433,idle
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3699,idle
3733,idle
3766,idle
3800,idle
3833,idle
3866,idle
3900,idle
3933,idle
3966,idle
4000,idle
4033,idle
4066,idle
4100,idle
4133,idle
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,idle
4433,idle
4466,idle
4500,idle
4533,idle
4566,idle
4600,idle
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,idle
5166,idle
5200,idle
5233,idle
5266,idle
5300,idle
5333,idle
5366,idle
5400,idle
5433,idle
5466,idle
5500,idle
5533,idle
5566,idle
5600,idle
5633,idle
5666,idle
5700,idle
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,idle
6733,idle
6766,idle
6800,idle
6833,idle
6866,idle
6899,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,idle
7133,idle
7166,idle
7200,idle
7233,idle
7266,idle
7300,idle
7333,idle
7366,idle
7399,idle
7433,idle
7466,idle
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,FlipTable
7800,FlipTable
7833,FlipTable
7866,FlipTable
7899,FlipTable
7933,FlipTable
7966,FlipTable
8000,FlipTable
8033,FlipTable
8066,FlipTable
8100,FlipTable
8133,FlipTable
8166,FlipTable
8200,FlipTable
8233,FlipTable
8266,FlipTable
8300,FlipTable
8333,FlipTable
8366,FlipTable
8400,idle
8433,idle
8466,idle
8500,idle
8533,idle
8566,idle
8600,idle
8633,idle
8666,idle
8700,idle
8733,idle
8766,idle
8800,idle
8833,idle
8866,idle
8900,idle
8933,idle
8966,idle
9000,idle
9033,idle
9066,idle
9100,idle
9133,idle
9166,idle
9200,idle
9233,idle
9266,idle
9300,idle
9333,idle
9366,idle
9400,idle
9433,idle
9466,idle
9500,idle
9533,idle
9566,idle
9600,idle
9633,idle
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,idle
9966,idle
10000,FlipTable
10033,FlipTable
10066,FlipTable
10100,FlipTable
10133,FlipTable
10166,FlipTable
10200,FlipTable
10233,FlipTable
10266,FlipTable
10300,FlipTable
10333,FlipTable
10366,FlipTable
10400,FlipTable
10433,FlipTable
10466,FlipTable
10500,FlipTable
10533,FlipTable
10566,FlipTable
10600,FlipTable
10633,FlipTable
10666,FlipTable
10700,FlipTable
10733,FlipTable
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,idle
12200,idle
12233,idle
12266,idle
12300,idle
12333,FlipTable
12366,FlipTable
12400,FlipTable
12433,FlipTable
12466,FlipTable
12500,FlipTable
12533,FlipTable
12566,FlipTable
12600,FlipTable
12633,FlipTable
12666,FlipTable
12700,FlipTable
12733,FlipTable
12766,FlipTable
12800,FlipTable
12833,FlipTable
12866,FlipTable
12900,FlipTable
12933,FlipTable
12966,FlipTable
13000,FlipTable
13033,FlipTable
13066,FlipTable
13100,FlipTable
13133,FlipTable
13166,idle
13200,idle
13233,idle
13266,idle
13299,idle
13333,idle
13366,idle
13400,idle
13433,idle
13466,idle
13500,idle
13533,idle
13566,idle
13600,idle
13633,idle
13666,idle
13700,idle
13733,idle
13766,idle
13799,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,idle
14200,idle
14233,idle
14266,idle
14299,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14799,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,FlipTable
15066,FlipTable
15100,FlipTable
15133,FlipTable
15166,FlipTable
15200,FlipTable
15233,FlipTable
15266,FlipTable
15299,FlipTable
15333,FlipTable
15366,FlipTable
15400,FlipTable
15433,FlipTable
15466,FlipTable
15500,FlipTable
15533,FlipTable
15566,FlipTable
15600,FlipTable
15633,FlipTable
15666,FlipTable
15700,FlipTable
15733,idle
15766,idle
15799,idle
15833,idle
15866,idle
15900,idle
15933,idle
15966,idle
16000,idle
16033,idle
16066,idle
16100,idle
16133,idle
16166,idle
16200,idle
16233,idle
16266,idle
16300,idle
16333,idle
16366,idle
16400,idle
16433,idle
16466,idle
16500,idle
16533,idle
16566,idle
16600,idle
16633,idle
16666,idle
16700,idle
16733,idle
16766,idle
16800,idle
16833,idle
16866,idle
16900,idle
16933,idle
16966,idle
17000,idle
17033,idle
17066,idle
17100,idle
17133,idle
17166,idle
17200,idle
17233,idle
17266,idle
17300,idle
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,FlipTable
17733,FlipTable
17766,FlipTable
17800,FlipTable
17833,FlipTable
17866,FlipTable
17900,FlipTable
17933,FlipTable
17966,FlipTable
18000,FlipTable
18033,FlipTable
18066,FlipTable
18100,FlipTable
18133,FlipTable
18166,FlipTable
18200,FlipTable
18233,FlipTable
18266,FlipTable
18300,FlipTable
18333,FlipTable
18366,FlipTable
18400,FlipTable
18433,FlipTable
18466,FlipTable
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,idle
18733,idle
18766,idle
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,idle
19000,idle
19033,idle
19066,idle
19100,idle
19133,idle
19166,idle
19200,idle
19233,idle
19266,idle
19300,idle
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,idle
19533,idle
19566,idle
19600,idle
19633,idle
19666,idle
19700,idle
19733,idle
19766,idle
19800,idle
19833,idle
19866,idle
19900,idle
19933,idle
19966,idle
20000,idle
20033,idle
20066,idle
20100,idle
20133,idle
20166,idle
20200,idle
20233,idle
20266,idle
20300,idle
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,idle
20966,idle
21000,FlipTable
21033,FlipTable
21066,FlipTable
21100,FlipTable
21133,FlipTable
21166,FlipTable
21200,FlipTable
21233,FlipTable
21266,FlipTable
21300,FlipTable
21333,FlipTable
21366,FlipTable
21400,FlipTable
21433,FlipTable
21466,FlipTable
21500,FlipTable
21533,FlipTable
21566,FlipTable
21600,FlipTable
21633,FlipTable
21666,FlipTable
21700,FlipTable
21733,FlipTable
21766,FlipTable
21800,FlipTable
21833,idle
21866,idle
21900,idle
21933,idle
21966,idle
22000,idle
22033,idle
22066,idle
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,idle
22766,idle
22800,idle
22833,idle
22866,idle
22900,idle
22933,idle
22966,idle
23000,idle
23033,idle
23066,idle
23100,idle
23133,idle
23166,idle
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,FlipTable
23833,FlipTable
23866,FlipTable
23900,FlipTable
23933,FlipTable
23966,FlipTable
24000,FlipTable
24033,FlipTable
24066,FlipTable
24100,FlipTable
24133,FlipTable
24166,FlipTable
24200,FlipTable
24233,FlipTable
24266,FlipTable
24300,FlipTable
24333,FlipTable
24366,FlipTable
24400,FlipTable
24433,FlipTable
24466,FlipTable
24500,FlipTable
24533,FlipTable
24566,FlipTable
24600,idle
24633,idle
24666,idle
24700,idle
24733,idle
24766,idle
24800,idle
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,idle
25333,idle
25366,idle
25400,idle
25433,idle
25466,idle
25500,idle
25533,idle
25566,idle
25600,idle
25633,idle
25666,idle
25700,idle
25733,idle
25766,idle
25800,idle
25833,idle
25866,idle
25900,idle
25933,idle
25966,idle
26000,idle
26033,idle
26066,idle
26099,idle
26133,idle
26166,idle
26200,idle
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,idle
26433,idle
26466,idle
26500,FlipTable
26533,FlipTable
26566,FlipTable
26599,FlipTable
26633,FlipTable
26666,FlipTable
26700,FlipTable
26733,FlipTable
26766,FlipTable
26800,FlipTable
26833,FlipTable
26866,FlipTable
26900,FlipTable
26933,FlipTable
26966,FlipTable
27000,FlipTable
27033,FlipTable
27066,FlipTable
27099,FlipTable
27133,FlipTable
27166,FlipTable
27200,FlipTable
27233,FlipTable
27266,idle
27300,idle
27333,idle
27366,idle
27400,idle
27433,idle
27466,idle
27500,idle
27533,idle
27566,idle
27599,idle
27633,idle
27666,idle
27700,idle
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28599,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,idle
29066,idle
29099,idle
29133,idle
29166,idle
29200,idle
29233,idle
29266,idle
29300,idle
29333,idle
29366,idle
29400,idle
29433,idle
29466,idle
29500,idle
29533,FlipTable
29566,FlipTable
29599,FlipTable
29633,FlipTable
29666,FlipTable
29700,FlipTable
29733,FlipTable
29766,FlipTable
29800,FlipTable
29833,FlipTable
29866,FlipTable
29900,FlipTable
29933,FlipTable
29966,FlipTable
30000,FlipTable
30033,FlipTable
30066,FlipTable
30099,FlipTable
30133,FlipTable
30166,FlipTable
30200,FlipTable
30233,FlipTable
30266,idle
30300,idle
30333,idle
30366,idle
30400,idle
30433,idle
30466,idle
30500,idle
30533,idle
30566,idle
30599,idle
30633,idle
30666,idle
30700,idle
30733,idle
30766,idle
30800,idle
30833,idle
30866,idle
30900,idle
30933,idle
30966,idle
31000,idle
31033,idle
31066,idle
31099,idle
31133,idle
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,idle
31366,idle
31400,idle
31433,idle
31466,idle
31500,idle
31533,idle
31566,idle
31599,idle
31633,idle
31666,idle
31700,idle
31733,idle
31766,idle
31800,idle
31833,idle
31866,idle
31900,idle
31933,idle
31966,idle
32000,idle
32033,idle
32066,idle
32100,idle
32133,FlipTable
32166,FlipTable
32200,FlipTable
32233,FlipTable
32266,FlipTable
32299,FlipTable
32333,FlipTable
32366,FlipTable
32400,FlipTable
32433,FlipTable
32466,FlipTable
32500,FlipTable
32533,FlipTable
32566,FlipTable
32600,FlipTable
32633,FlipTable
32666,FlipTable
32700,FlipTable
32733,FlipTable
32766,FlipTable
32800,FlipTable
32833,FlipTable
32866,FlipTable
32900,FlipTable
32933,idle
32966,idle
33000,idle
33033,idle
33066,idle
33100,idle
33133,idle
33166,idle
33200,idle
33233,idle
33266,idle
33300,idle
