timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,idle
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,idle
2566,idle
2600,idle
2633,idle
2666,idle
2700,idle
2733,idle
2766,idle
2800,idle
2833,idle
2866,idle
2900,idle
2933,idle
2966,idle
3000,idle
3033,idle
3066,idle
3100,idle
3133,idle
3166,idle
3200,idle
3233,idle
3266,idle
3300,idle
3333,idle
3366,idle
3400,idle
3433,idle
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3699,idle
3733,idle
3766,idle
3800,idle
3833,idle
3866,idle
3900,idle
3933,idle
3966,idle
4000,idle
4033,idle
4066,idle
4100,idle
4133,idle
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,idle
4433,idle
4466,idle
4500,idle
4533,idle
4566,idle
4600,idle
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,idle
5166,idle
5200,idle
5233,idle
5266,idle
5300,idle
5333,idle
5366,idle
5400,idle
5433,idle
5466,idle
5500,idle
5533,idle
5566,idle
5600,idle
5633,idle
5666,idle
5700,idle
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,idle
6733,idle
6766,idle
6800,idle
6833,idle
6866,idle
6899,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,idle
7133,idle
7166,idle
7200,idle
7233,idle
7266,idle
7300,idle
7333,idle
7366,idle
7399,idle
7433,idle
7466,idle
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,idle
7800,idle
7833,idle
7866,RotateLeft
7899,RotateLeft
7933,RotateLeft
7966,RotateLeft
8000,RotateLeft
8033,RotateLeft
8066,RotateLeft
8100,RotateLeft
8133,RotateLeft
8166,RotateLeft
8200,RotateLeft
8233,RotateLeft
8266,RotateLeft
8300,RotateLeft
8333,RotateLeft
8366,RotateLeft
8400,RotateLeft
8433,RotateLeft
8466,RotateLeft
8500,RotateLeft
8533,RotateLeft
8566,RotateLeft
8600,RotateLeft
8633,RotateLeft
8666,RotateLeft
8700,RotateLeft
8733,RotateLeft
8766,RotateLeft
8800,RotateLeft
8833,idle
8866,idle
8900,idle
8933,idle
8966,idle
9000,idle
9033,idle
9066,idle
9100,idle
9133,idle
9166,idle
9200,idle
9233,idle
9266,idle
9300,idle
9333,idle
9366,idle
9400,idle
9433,idle
9466,idle
9500,idle
9533,idle
9566,idle
9600,idle
9633,idle
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,idle
9966,idle
10000,idle
10033,idle
10066,idle
10100,idle
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,RotateLeft
10500,RotateLeft
10533,RotateLeft
10566,RotateLeft
10600,RotateLeft
10633,RotateLeft
10666,RotateLeft
10700,RotateLeft
10733,RotateLeft
10766,RotateLeft
10800,RotateLeft
10833,RotateLeft
10866,RotateLeft
10900,RotateLeft
10933,RotateLeft
10966,RotateLeft
11000,RotateLeft
11033,RotateLeft
11066,RotateLeft
11100,RotateLeft
11133,RotateLeft
11166,RotateLeft
11200,RotateLeft
11233,RotateLeft
11266,RotateLeft
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,idle
12200,idle
12233,idle
12266,idle
12300,idle
12333,idle
12366,idle
12400,idle
12433,idle
12466,idle
12500,idle
12533,idle
12566,idle
12600,idle
12633,idle
12666,idle
12700,idle
12733,idle
12766,idle
12800,idle
12833,idle
12866,idle
12900,idle
12933,idle
12966,idle
13000,idle
13033,idle
13066,idle
13100,idle
13133,idle
13166,idle
13200,idle
13233,idle
13266,idle
13299,idle
13333,idle
13366,idle
13400,RotateLeft
13433,RotateLeft
13466,RotateLeft
13500,RotateLeft
13533,RotateLeft
13566,RotateLeft
13600,RotateLeft
13633,RotateLeft
13666,RotateLeft
13700,RotateLeft
13733,RotateLeft
13766,RotateLeft
13799,RotateLeft
13833,RotateLeft
13866,RotateLeft
13900,RotateLeft
13933,RotateLeft
13966,RotateLeft
14000,RotateLeft
14033,RotateLeft
14066,RotateLeft
14100,RotateLeft
14133,RotateLeft
14166,RotateLeft
14200,RotateLeft
14233,idle
14266,idle
14299,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14799,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,idle
15066,idle
15100,idle
15133,idle
15166,idle
15200,idle
15233,idle
15266,idle
15299,idle
15333,idle
15366,idle
15400,idle
15433,idle
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15799,idle
15833,idle
15866,idle
15900,idle
15933,idle
15966,idle
16000,idle
16033,idle
16066,idle
16100,idle
16133,idle
16166,idle
16200,idle
16233,idle
16266,idle
16300,RotateLeft
16333,RotateLeft
16366,RotateLeft
16400,RotateLeft
16433,RotateLeft
16466,RotateLeft
16500,RotateLeft
16533,RotateLeft
16566,RotateLeft
16600,RotateLeft
16633,RotateLeft
16666,RotateLeft
16700,RotateLeft
16733,RotateLeft
16766,RotateLeft
16800,RotateLeft
16833,RotateLeft
16866,RotateLeft
16900,RotateLeft
16933,RotateLeft
16966,RotateLeft
17000,RotateLeft
17033,RotateLeft
17066,RotateLeft
17100,RotateLeft
17133,RotateLeft
17166,RotateLeft
17200,RotateLeft
17233,idle
17266,idle
17300,idle
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,idle
17733,idle
17766,idle
17800,idle
17833,idle
17866,idle
17900,idle
17933,idle
17966,idle
18000,idle
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,idle
18300,idle
18333,idle
18366,idle
18400,idle
18433,idle
18466,idle
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,idle
18733,idle
18766,idle
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,idle
19000,idle
19033,idle
19066,idle
19100,idle
19133,idle
19166,idle
19200,idle
19233,idle
19266,idle
19300,idle
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,idle
19533,idle
19566,idle
19600,idle
19633,idle
19666,idle
19700,idle
19733,idle
19766,RotateLeft
19800,RotateLeft
19833,RotateLeft
19866,RotateLeft
19900,RotateLeft
19933,RotateLeft
19966,RotateLeft
20000,RotateLeft
20033,RotateLeft
20066,RotateLeft
20100,RotateLeft
20133,RotateLeft
20166,RotateLeft
20200,RotateLeft
20233,RotateLeft
20266,RotateLeft
20300,RotateLeft
20333,RotateLeft
20366,RotateLeft
20400,RotateLeft
20433,RotateLeft
20466,RotateLeft
20500,RotateLeft
20533,RotateLeft
20566,RotateLeft
20600,RotateLeft
20633,RotateLeft
20666,RotateLeft
20700,RotateLeft
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,idle
20966,idle
21000,idle
21033,idle
21066,idle
21100,idle
21133,idle
21166,idle
21200,idle
21233,idle
21266,idle
21300,idle
21333,idle
21366,idle
21400,idle
21433,idle
21466,idle
21500,idle
21533,idle
21566,idle
21600,idle
21633,idle
21666,idle
21700,idle
21733,idle
21766,idle
21800,idle
21833,idle
21866,idle
21900,idle
21933,idle
21966,idle
22000,idle
22033,idle
22066,idle
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,idle
22766,idle
22800,idle
22833,idle
22866,idle
22900,idle
22933,idle
22966,idle
23000,idle
23033,idle
23066,idle
23100,idle
23133,idle
23166,idle
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,idle
23833,idle
23866,idle
23900,idle
23933,idle
23966,idle
24000,idle
24033,idle
24066,idle
24100,idle
24133,idle
24166,idle
24200,idle
24233,idle
24266,idle
24300,idle
24333,idle
24366,idle
24400,idle
24433,idle
24466,idle
24500,idle
24533,idle
24566,idle
24600,idle
24633,idle
24666,idle
24700,idle
24733,idle
24766,idle
24800,idle
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,idle
25333,idle
25366,idle
25400,idle
25433,idle
25466,idle
25500,idle
25533,idle
25566,idle
25600,idle
25633,idle
25666,idle
25700,idle
25733,idle
25766,idle
25800,idle
25833,idle
25866,idle
25900,idle
25933,idle
25966,idle
26000,idle
26033,idle
26066,idle
26099,idle
26133,idle
26166,idle
26200,idle
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,idle
26433,idle
26466,idle
26500,idle
26533,idle
26566,idle
26599,idle
26633,idle
26666,idle
26700,idle
26733,RotateLeft
26766,RotateLeft
26800,RotateLeft
26833,RotateLeft
26866,RotateLeft
26900,RotateLeft
26933,RotateLeft
26966,RotateLeft
27000,RotateLeft
27033,RotateLeft
27066,RotateLeft
27099,RotateLeft
27133,RotateLeft
27166,RotateLeft
27200,RotateLeft
27233,RotateLeft
27266,RotateLeft
27300,RotateLeft
27333,RotateLeft
27366,RotateLeft
27400,RotateLeft
27433,RotateLeft
27466,RotateLeft
27500,RotateLeft
27533,RotateLeft
27566,RotateLeft
27599,RotateLeft
27633,RotateLeft
27666,RotateLeft
27700,RotateLeft
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28599,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,idle
29066,idle
29099,idle
29133,idle
29166,idle
29200,idle
29233,idle
29266,idle
29300,idle
29333,idle
29366,idle
29400,idle
29433,idle
29466,idle
29500,idle
29533,idle
29566,idle
29599,idle
29633,idle
29666,idle
29700,idle
29733,idle
29766,idle
29800,idle
29833,idle
29866,idle
29900,idle
29933,idle
29966,idle
30000,idle
30033,idle
30066,idle
30099,idle
30133,idle
30166,idle
30200,idle
30233,idle
30266,idle
30300,idle
30333,idle
30366,RotateLeft
30400,RotateLeft
30433,RotateLeft
30466,RotateLeft
30500,RotateLeft
30533,RotateLeft
30566,RotateLeft
30599,RotateLeft
30633,RotateLeft
30666,RotateLeft
30700,RotateLeft
30733,RotateLeft
30766,RotateLeft
30800,RotateLeft
30833,RotateLeft
30866,RotateLeft
30900,RotateLeft
30933,RotateLeft
30966,RotateLeft
31000,RotateLeft
31033,RotateLeft
31066,RotateLeft
31099,RotateLeft
31133,RotateLeft
31166,RotateLeft
31200,RotateLeft
31233,RotateLeft
31266,RotateLeft
31300,RotateLeft
31333,RotateLeft
31366,RotateLeft
31400,RotateLeft
31433,RotateLeft
31466,RotateLeft
31500,RotateLeft
31533,idle
31566,idle
31599,idle
31633,idle
31666,idle
31700,idle
31733,idle
31766,idle
31800,idle
31833,idle
31866,idle
31900,idle
31933,idle
31966,idle
32000,idle
32033,idle
32066,idle
32100,idle
32133,idle
32166,idle
32200,idle
32233,idle
32266,idle
32299,idle
32333,idle
32366,idle
32400,idle
32433,idle
32466,idle
32500,idle
32533,idle
32566,idle
32600,idle
32633,idle
32666,idle
