timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,RotateRight
2233,RotateRight
2266,RotateRight
2300,RotateRight
2333,RotateRight
2366,RotateRight
2400,RotateRight
2433,RotateRight
2466,RotateRight
2500,RotateRight
2533,RotateRight
2566,RotateRight
2600,RotateRight
2633,RotateRight
2666,RotateRight
2700,RotateRight
2733,RotateRight
2766,RotateRight
2800,RotateRight
2833,RotateRight
2866,RotateRight
2900,RotateRight
2933,RotateRight
2966,RotateRight
3000,RotateRight
3033,RotateRight
3066,RotateRight
3100,RotateRight
3133,idle
3166,idle
3200,idle
3233,idle
3266,idle
3300,idle
3333,idle
3366,idle
3400,idle
3433,idle
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3699,idle
3733,idle
3766,idle
3800,idle
3833,idle
3866,idle
3900,idle
3933,idle
3966,idle
4000,idle
4033,idle
4066,idle
4100,idle
4133,idle
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,idle
4433,RotateRight
4466,RotateRight
4500,RotateRight
4533,RotateRight
4566,RotateRight
4600,RotateRight
4633,RotateRight
4666,RotateRight
4700,RotateRight
4733,RotateRight
4766,RotateRight
4800,RotateRight
4833,RotateRight
4866,RotateRight
4900,RotateRight
4933,RotateRight
4966,RotateRight
5000,RotateRight
5033,RotateRight
5066,RotateRight
5100,RotateRight
5133,RotateRight
5166,RotateRight
5200,RotateRight
5233,RotateRight
5266,RotateRight
5300,RotateRight
5333,RotateRight
5366,RotateRight
5400,RotateRight
5433,RotateRight
5466,idle
5500,idle
5533,idle
5566,idle
5600,idle
5633,idle
5666,idle
5700,idle
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,RotateRight
6733,RotateRight
6766,RotateRight
6800,RotateRight
6833,RotateRight
6866,RotateRight
6899,RotateRight
6933,RotateRight
6966,RotateRight
7000,RotateRight
7033,RotateRight
7066,RotateRight
7100,RotateRight
7133,RotateRight
7166,RotateRight
7200,RotateRight
7233,RotateRight
7266,RotateRight
7300,RotateRight
7333,RotateRight
7366,RotateRight
7399,RotateRight
7433,RotateRight
7466,RotateRight
7500,RotateRight
7533,RotateRight
7566,RotateRight
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,idle
7800,idle
7833,idle
7866,idle
7899,idle
7933,idle
7966,idle
8000,idle
8033,idle
8066,idle
8100,idle
8133,idle
8166,idle
8200,idle
8233,idle
8266,idle
8300,idle
8333,idle
8366,idle
8400,idle
8433,idle
8466,idle
8500,idle
8533,idle
8566,idle
8600,idle
8633,idle
8666,idle
8700,idle
8733,idle
8766,idle
8800,idle
8833,idle
8866,idle
8900,idle
8933,idle
8966,idle
9000,idle
9033,idle
9066,idle
9100,idle
9133,idle
9166,idle
9200,idle
9233,idle
9266,idle
9300,idle
9333,idle
9366,idle
9400,idle
9433,idle
9466,idle
9500,idle
9533,idle
9566,idle
9600,idle
9633,idle
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,RotateRight
9966,RotateRight
10000,RotateRight
10033,RotateRight
10066,RotateRight
10100,RotateRight
10133,RotateRight
10166,RotateRight
10200,RotateRight
10233,RotateRight
10266,RotateRight
10300,RotateRight
10333,RotateRight
10366,RotateRight
10400,RotateRight
10433,RotateRight
10466,RotateRight
10500,RotateRight
10533,RotateRight
10566,RotateRight
10600,RotateRight
10633,RotateRight
10666,RotateRight
10700,RotateRight
10733,RotateRight
10766,RotateRight
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,idle
12200,idle
12233,idle
12266,idle
12300,idle
12333,idle
12366,idle
12400,RotateRight
12433,RotateRight
12466,RotateRight
12500,RotateRight
12533,RotateRight
12566,RotateRight
12600,RotateRight
12633,RotateRight
12666,RotateRight
12700,RotateRight
12733,RotateRight
12766,RotateRight
12800,RotateRight
12833,RotateRight
12866,RotateRight
12900,RotateRight
12933,RotateRight
12966,RotateRight
13000,RotateRight
13033,RotateRight
13066,RotateRight
13100,RotateRight
13133,RotateRight
13166,RotateRight
13200,RotateRight
13233,RotateRight
13266,RotateRight
13299,RotateRight
13333,RotateRight
13366,RotateRight
13400,RotateRight
13433,idle
13466,idle
13500,idle
13533,idle
13566,idle
13600,idle
13633,idle
13666,idle
13700,idle
13733,idle
13766,idle
13799,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,idle
14200,idle
14233,idle
14266,idle
14299,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14799,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,idle
15066,idle
15100,idle
15133,RotateRight
15166,RotateRight
15200,RotateRight
15233,RotateRight
15266,RotateRight
15299,RotateRight
15333,RotateRight
15366,RotateRight
15400,RotateRight
15433,RotateRight
15466,RotateRight
15500,RotateRight
15533,RotateRight
15566,RotateRight
15600,RotateRight
15633,RotateRight
15666,RotateRight
15700,RotateRight
15733,RotateRight
15766,RotateRight
15799,RotateRight
15833,RotateRight
15866,RotateRight
15900,RotateRight
15933,RotateRight
15966,RotateRight
16000,RotateRight
16033,RotateRight
16066,RotateRight
16100,RotateRight
16133,idle
16166,idle
16200,idle
16233,idle
16266,idle
16300,idle
16333,idle
16366,idle
16400,idle
16433,idle
16466,idle
16500,idle
16533,idle
16566,idle
16600,idle
16633,idle
16666,idle
16700,idle
16733,idle
16766,idle
16800,idle
16833,idle
16866,idle
16900,idle
16933,idle
16966,idle
17000,idle
17033,idle
17066,idle
17100,idle
17133,idle
17166,idle
17200,idle
17233,idle
17266,idle
17300,idle
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,idle
17733,idle
17766,idle
17800,idle
17833,idle
17866,idle
17900,RotateRight
17933,RotateRight
17966,RotateRight
18000,RotateRight
18033,RotateRight
18066,RotateRight
18100,RotateRight
18133,RotateRight
18166,RotateRight
18200,RotateRight
18233,RotateRight
18266,RotateRight
18300,RotateRight
18333,RotateRight
18366,RotateRight
18400,RotateRight
18433,RotateRight
18466,RotateRight
18500,RotateRight
18533,RotateRight
18566,RotateRight
18600,RotateRight
18633,RotateRight
18666,RotateRight
18700,RotateRight
18733,RotateRight
18766,RotateRight
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,idle
19000,idle
19033,idle
19066,idle
19100,idle
19133,idle
19166,idle
19200,idle
19233,idle
19266,idle
19300,idle
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,idle
19533,idle
19566,idle
19600,idle
19633,idle
19666,idle
19700,idle
19733,idle
19766,idle
19800,idle
19833,idle
19866,idle
19900,idle
19933,idle
19966,idle
20000,idle
20033,idle
20066,idle
20100,idle
20133,idle
20166,idle
20200,idle
20233,idle
20266,idle
20300,idle
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,RotateRight
20700,RotateRight
20733,RotateRight
20766,RotateRight
20800,RotateRight
20833,RotateRight
20866,RotateRight
20900,RotateRight
20933,RotateRight
20966,RotateRight
21000,RotateRight
21033,RotateRight
21066,RotateRight
21100,RotateRight
21133,RotateRight
21166,RotateRight
21200,RotateRight
21233,RotateRight
21266,RotateRight
21300,RotateRight
21333,RotateRight
21366,RotateRight
21400,RotateRight
21433,RotateRight
21466,RotateRight
21500,idle
21533,idle
21566,idle
21600,idle
21633,idle
21666,idle
21700,idle
21733,idle
21766,idle
21800,idle
21833,idle
21866,idle
21900,idle
21933,idle
21966,idle
22000,idle
22033,idle
22066,idle
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,idle
22766,idle
22800,idle
22833,idle
22866,idle
22900,idle
22933,idle
22966,idle
23000,idle
23033,idle
23066,idle
23100,idle
23133,idle
23166,idle
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,idle
23833,idle
23866,idle
23900,idle
23933,idle
23966,idle
24000,idle
24033,idle
24066,idle
24100,idle
24133,RotateRight
24166,RotateRight
24200,RotateRight
24233,RotateRight
24266,RotateRight
24300,RotateRight
24333,RotateRight
24366,RotateRight
24400,RotateRight
24433,RotateRight
24466,RotateRight
24500,RotateRight
24533,RotateRight
24566,RotateRight
24600,RotateRight
24633,RotateRight
24666,RotateRight
24700,RotateRight
24733,RotateRight
24766,RotateRight
24800,RotateRight
24833,RotateRight
24866,RotateRight
24900,RotateRight
24933,RotateRight
24966,idle
25000,idle
25033,idle
25066,idle
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,idle
25333,idle
25366,idle
25400,idle
25433,idle
25466,idle
25500,idle
25533,idle
25566,idle
25600,idle
25633,idle
25666,idle
25700,idle
25733,idle
25766,idle
25800,idle
25833,idle
25866,idle
25900,idle
25933,idle
25966,idle
26000,idle
26033,idle
26066,idle
26099,idle
26133,idle
26166,idle
26200,idle
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,idle
26433,idle
26466,idle
26500,idle
26533,idle
26566,idle
26599,RotateRight
26633,RotateRight
26666,RotateRight
26700,RotateRight
26733,RotateRight
26766,RotateRight
26800,RotateRight
26833,RotateRight
26866,RotateRight
26900,RotateRight
26933,RotateRight
26966,RotateRight
27000,RotateRight
27033,RotateRight
27066,RotateRight
27099,RotateRight
27133,RotateRight
27166,RotateRight
27200,RotateRight
27233,RotateRight
27266,RotateRight
27300,RotateRight
27333,RotateRight
27366,idle
27400,idle
27433,idle
27466,idle
27500,idle
27533,idle
27566,idle
27599,idle
27633,idle
27666,idle
27700,idle
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28599,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,idle
29066,idle
29099,idle
29133,idle
29166,idle
29200,idle
29233,idle
29266,idle
29300,idle
29333,idle
29366,idle
29400,idle
29433,idle
29466,idle
29500,idle
29533,idle
29566,idle
29599,idle
29633,idle
29666,idle
29700,idle
29733,idle
29766,idle
29800,idle
29833,idle
29866,idle
29900,idle
29933,idle
29966,idle
30000,RotateRight
30033,RotateRight
30066,RotateRight
30099,RotateRight
30133,RotateRight
30166,RotateRight
30200,RotateRight
30233,RotateRight
30266,RotateRight
30300,RotateRight
30333,RotateRight
30366,RotateRight
30400,RotateRight
30433,RotateRight
30466,RotateRight
30500,RotateRight
30533,RotateRight
30566,RotateRight
30599,RotateRight
30633,RotateRight
30666,RotateRight
30700,RotateRight
30733,RotateRight
30766,RotateRight
30800,idle
30833,idle
30866,idle
30900,idle
30933,idle
30966,idle
31000,idle
31033,idle
31066,idle
31099,idle
31133,idle
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,idle
31366,idle
31400,idle
31433,idle
31466,idle
31500,idle
31533,idle
31566,idle
31599,idle
31633,idle
31666,idle
31700,idle
31733,idle
31766,idle
31800,idle
31833,idle
31866,idle
31900,idle
31933,idle
31966,idle
32000,idle
32033,idle
32066,idle
32100,idle
32133,idle
32166,idle
32200,idle
