timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,swipe_right
2266,swipe_right
2300,swipe_right
2333,swipe_right
2366,swipe_right
2400,swipe_right
2433,swipe_right
2466,swipe_right
2500,swipe_right
2533,swipe_right
2566,swipe_right
2600,swipe_right
2633,swipe_right
2666,swipe_right
2700,swipe_right
2733,swipe_right
2766,swipe_right
2800,swipe_right
2833,swipe_right
2866,idle
2900,idle
2933,idle
2966,idle
3000,idle
3033,idle
3066,idle
3100,idle
3133,idle
3166,idle
3200,idle
3233,idle
3266,idle
3300,idle
3333,idle
3366,idle
3400,idle
3433,idle
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3699,idle
3733,idle
3766,idle
3800,idle
3833,idle
3866,idle
3900,idle
3933,idle
3966,idle
4000,idle
4033,idle
4066,idle
4100,idle
4133,idle
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,idle
4433,idle
4466,idle
4500,idle
4533,idle
4566,idle
4600,idle
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,swipe_right
5100,swipe_right
5133,swipe_right
5166,swipe_right
5200,swipe_right
5233,swipe_right
5266,swipe_right
5300,swipe_right
5333,swipe_right
5366,swipe_right
5400,swipe_right
5433,swipe_right
5466,swipe_right
5500,swipe_right
5533,swipe_right
5566,swipe_right
5600,swipe_right
5633,swipe_right
5666,swipe_right
5700,swipe_right
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,idle
6733,idle
6766,idle
6800,idle
6833,idle
6866,idle
6899,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,idle
7133,idle
7166,idle
7200,idle
7233,idle
7266,idle
7300,idle
7333,idle
7366,idle
7399,idle
7433,idle
7466,idle
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,idle
7800,idle
7833,idle
7866,idle
7899,idle
7933,idle
7966,idle
8000,idle
8033,swipe_right
8066,swipe_right
8100,swipe_right
8133,swipe_right
8166,swipe_right
8200,swipe_right
8233,swipe_right
8266,swipe_right
8300,swipe_right
8333,swipe_right
8366,swipe_right
8400,swipe_right
8433,swipe_right
8466,swipe_right
8500,swipe_right
8533,swipe_right
8566,swipe_right
8600,swipe_right
8633,swipe_right
8666,swipe_right
8700,swipe_right
8733,swipe_right
8766,idle
8800,idle
8833,idle
8866,idle
8900,idle
8933,idle
8966,idle
9000,idle
9033,idle
9066,idle
9100,idle
9133,idle
9166,idle
9200,idle
9233,idle
9266,idle
9300,idle
9333,idle
9366,idle
9400,idle
9433,idle
9466,idle
9500,idle
9533,idle
9566,idle
9600,idle
9633,idle
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,idle
9966,idle
10000,idle
10033,idle
10066,idle
10100,idle
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,swipe_right
10833,swipe_right
10866,swipe_right
10900,swipe_right
10933,swipe_right
10966,swipe_right
11000,swipe_right
11033,swipe_right
11066,swipe_right
11100,swipe_right
11133,swipe_right
11166,swipe_right
11200,swipe_right
11233,swipe_right
11266,swipe_right
11300,swipe_right
11333,swipe_right
11366,swipe_right
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,idle
12200,idle
12233,idle
12266,idle
12300,idle
12333,idle
12366,idle
12400,idle
12433,idle
12466,idle
12500,idle
12533,idle
12566,idle
12600,idle
12633,idle
12666,idle
12700,idle
12733,idle
12766,idle
12800,idle
12833,idle
12866,idle
12900,idle
12933,idle
12966,idle
13000,idle
13033,idle
13066,idle
13100,idle
13133,idle
13166,idle
13200,idle
13233,idle
13266,idle
13299,idle
13333,idle
13366,idle
13400,idle
13433,idle
13466,idle
13500,idle
13533,idle
13566,swipe_right
13600,swipe_right
13633,swipe_right
13666,swipe_right
13700,swipe_right
13733,swipe_right
13766,swipe_right
13799,swipe_right
13833,swipe_right
13866,swipe_right
13900,swipe_right
13933,swipe_right
13966,swipe_right
14000,swipe_right
14033,swipe_right
14066,swipe_right
14100,swipe_right
14133,swipe_right
14166,swipe_right
14200,swipe_right
14233,swipe_right
14266,swipe_right
14299,swipe_right
14333,swipe_right
14366,swipe_right
14400,swipe_right
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14799,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,idle
15066,idle
15100,idle
15133,idle
15166,idle
15200,idle
15233,idle
15266,idle
15299,idle
15333,idle
15366,idle
15400,idle
15433,idle
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15799,idle
15833,idle
15866,idle
15900,idle
15933,idle
15966,idle
16000,idle
16033,idle
16066,idle
16100,idle
16133,idle
16166,idle
16200,idle
16233,swipe_right
16266,swipe_right
16300,swipe_right
16333,swipe_right
16366,swipe_right
16400,swipe_right
16433,swipe_right
16466,swipe_right
16500,swipe_right
16533,swipe_right
16566,swipe_right
16600,swipe_right
16633,swipe_right
16666,swipe_right
16700,swipe_right
16733,swipe_right
16766,swipe_right
16800,swipe_right
16833,swipe_right
16866,swipe_right
16900,swipe_right
16933,swipe_right
16966,swipe_right
17000,swipe_right
17033,idle
17066,idle
17100,idle
17133,idle
17166,idle
17200,idle
17233,idle
17266,idle
17300,idle
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,idle
17733,idle
17766,idle
17800,idle
17833,idle
17866,idle
17900,idle
17933,idle
17966,idle
18000,idle
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,idle
18300,idle
18333,idle
18366,idle
18400,idle
18433,idle
18466,idle
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,idle
18733,idle
18766,idle
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,idle
19000,idle
19033,idle
19066,idle
19100,idle
19133,idle
19166,idle
19200,idle
19233,idle
19266,idle
19300,idle
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,swipe_right
19533,swipe_right
19566,swipe_right
19600,swipe_right
19633,swipe_right
19666,swipe_right
19700,swipe_right
19733,swipe_right
19766,swipe_right
19800,swipe_right
19833,swipe_right
19866,swipe_right
19900,swipe_right
19933,swipe_right
19966,swipe_right
20000,swipe_right
20033,swipe_right
20066,swipe_right
20100,swipe_right
20133,swipe_right
20166,swipe_right
20200,swipe_right
20233,swipe_right
20266,idle
20300,idle
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,idle
20966,idle
21000,idle
21033,idle
21066,idle
21100,idle
21133,idle
21166,idle
21200,idle
21233,idle
21266,idle
21300,idle
21333,idle
21366,idle
21400,idle
21433,idle
21466,idle
21500,idle
21533,idle
21566,idle
21600,idle
21633,idle
21666,idle
21700,idle
21733,idle
21766,idle
21800,idle
21833,idle
21866,idle
21900,idle
21933,idle
21966,idle
22000,idle
22033,idle
22066,idle
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,swipe_right
22466,swipe_right
22500,swipe_right
22533,swipe_right
22566,swipe_right
22600,swipe_right
22633,swipe_right
22666,swipe_right
22700,swipe_right
22733,swipe_right
22766,swipe_right
22800,swipe_right
22833,swipe_right
22866,swipe_right
22900,swipe_right
22933,swipe_right
22966,swipe_right
23000,swipe_right
23033,swipe_right
23066,swipe_right
23100,swipe_right
23133,swipe_right
23166,swipe_right
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,idle
23833,idle
23866,idle
23900,idle
23933,idle
23966,idle
24000,idle
24033,idle
24066,idle
24100,idle
24133,idle
24166,idle
24200,idle
24233,idle
24266,idle
24300,idle
24333,idle
24366,idle
24400,idle
24433,idle
24466,idle
24500,idle
24533,idle
24566,idle
24600,idle
24633,idle
24666,idle
24700,idle
24733,idle
24766,idle
24800,idle
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,idle
25333,idle
25366,idle
25400,idle
25433,swipe_right
25466,swipe_right
25500,swipe_right
25533,swipe_right
25566,swipe_right
25600,swipe_right
25633,swipe_right
25666,swipe_right
25700,swipe_right
25733,swipe_right
25766,swipe_right
25800,swipe_right
25833,swipe_right
25866,swipe_right
25900,swipe_right
25933,swipe_right
25966,swipe_right
26000,swipe_right
26033,swipe_right
26066,swipe_right
26099,swipe_right
26133,swipe_right
26166,swipe_right
26200,swipe_right
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,idle
26433,idle
26466,idle
26500,idle
26533,idle
26566,idle
26599,idle
26633,idle
26666,idle
26700,idle
26733,idle
26766,idle
26800,idle
26833,idle
26866,idle
26900,idle
26933,idle
26966,idle
27000,idle
27033,idle
27066,idle
27099,idle
27133,idle
27166,idle
27200,idle
27233,idle
27266,idle
27300,idle
27333,idle
27366,idle
27400,idle
27433,idle
27466,idle
27500,idle
27533,idle
27566,idle
27599,idle
27633,idle
27666,idle
27700,idle
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28599,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,swipe_right
29066,swipe_right
29099,swipe_right
29133,swipe_right
29166,swipe_right
29200,swipe_right
29233,swipe_right
29266,swipe_right
29300,swipe_right
29333,swipe_right
29366,swipe_right
29400,swipe_right
29433,swipe_right
29466,swipe_right
29500,swipe_right
29533,swipe_right
29566,swipe_right
29599,swipe_right
29633,swipe_right
29666,swipe_right
29700,swipe_right
29733,swipe_right
29766,swipe_right
29800,swipe_right
29833,swipe_right
29866,swipe_right
29900,idle
29933,idle
29966,idle
30000,idle
30033,idle
30066,idle
30099,idle
30133,idle
30166,idle
30200,idle
30233,idle
30266,idle
30300,idle
30333,idle
30366,idle
30400,idle
30433,idle
30466,idle
30500,idle
30533,idle
30566,idle
30599,idle
30633,idle
30666,idle
30700,idle
30733,idle
30766,idle
30800,idle
30833,idle
30866,idle
30900,idle
30933,idle
30966,idle
31000,idle
31033,idle
31066,idle
31099,idle
31133,idle
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,idle
31366,idle
31400,idle
31433,idle
31466,idle
31500,idle
31533,idle
31566,idle
31599,idle
31633,idle
31666,idle
31700,idle
31733,idle
31766,idle
31800,idle
31833,idle
31866,idle
31900,idle
31933,idle
31966,idle
32000,idle
32033,idle
32066,idle
32100,idle
32133,idle
32166,idle
32200,idle
32233,idle
32266,idle
32299,idle
32333,idle
32366,idle
32400,idle
32433,idle
32466,idle
32500,idle
32533,idle
32566,idle
32600,idle
32633,idle
32666,idle
32700,idle
32733,idle
32766,idle
32800,swipe_right
32833,swipe_right
32866,swipe_right
32900,swipe_right
32933,swipe_right
32966,swipe_right
33000,swipe_right
33033,swipe_right
33066,swipe_right
33100,swipe_right
33133,swipe_right
33166,swipe_right
