timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,idle
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,idle
2566,idle
2600,idle
2633,idle
2666,idle
2700,idle
2733,idle
2766,idle
2800,idle
2833,idle
2866,idle
2900,idle
2933,idle
2966,idle
3000,idle
3033,idle
3066,idle
3100,idle
3133,idle
3166,idle
3200,idle
3233,idle
3266,idle
3300,idle
3333,idle
3366,idle
3400,idle
3433,idle
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3699,idle
3733,idle
3766,idle
3800,idle
3833,rotate
3866,rotate
3900,rotate
3933,rotate
3966,rotate
4000,rotate
4033,rotate
4066,rotate
4100,rotate
4133,rotate
4166,rotate
4200,rotate
4233,rotate
4266,rotate
4300,rotate
4333,rotate
4366,rotate
4400,rotate
4433,rotate
4466,rotate
4500,rotate
4533,rotate
4566,rotate
4600,rotate
4633,rotate
4666,rotate
4700,rotate
4733,rotate
4766,rotate
4800,rotate
4833,rotate
4866,rotate
4900,rotate
4933,rotate
4966,rotate
5000,rotate
5033,rotate
5066,rotate
5100,rotate
5133,rotate
5166,rotate
5200,rotate
5233,rotate
5266,rotate
5300,rotate
5333,rotate
5366,rotate
5400,rotate
5433,rotate
5466,rotate
5500,rotate
5533,rotate
5566,rotate
5600,rotate
5633,rotate
5666,rotate
5700,rotate
5733,rotate
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,idle
6733,idle
6766,idle
6800,idle
6833,idle
6866,idle
6899,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,idle
7133,idle
7166,idle
7200,idle
7233,idle
7266,idle
7300,idle
7333,idle
7366,idle
7399,idle
7433,idle
7466,idle
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,idle
7800,idle
7833,idle
7866,idle
7899,idle
7933,idle
7966,idle
8000,idle
8033,idle
8066,idle
8100,idle
8133,idle
8166,idle
8200,idle
8233,idle
8266,idle
8300,idle
8333,idle
8366,idle
8400,idle
8433,rotate
8466,rotate
8500,rotate
8533,rotate
8566,rotate
8600,rotate
8633,rotate
8666,rotate
8700,rotate
8733,rotate
8766,rotate
8800,rotate
8833,rotate
8866,rotate
8900,rotate
8933,rotate
8966,rotate
9000,rotate
9033,rotate
9066,rotate
9100,rotate
9133,rotate
9166,rotate
9200,rotate
9233,rotate
9266,rotate
9300,rotate
9333,rotate
9366,rotate
9400,rotate
9433,rotate
9466,rotate
9500,rotate
9533,rotate
9566,rotate
9600,rotate
9633,rotate
9666,rotate
9700,rotate
9733,rotate
9766,rotate
9800,rotate
9833,rotate
9866,rotate
9900,rotate
9933,idle
9966,idle
10000,idle
10033,idle
10066,idle
10100,idle
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,idle
12200,idle
12233,idle
12266,idle
12300,idle
12333,idle
12366,idle
12400,idle
12433,idle
12466,rotate
12500,rotate
12533,rotate
12566,rotate
12600,rotate
12633,rotate
12666,rotate
12700,rotate
12733,rotate
12766,rotate
12800,rotate
12833,rotate
12866,rotate
12900,rotate
12933,rotate
12966,rotate
13000,rotate
13033,rotate
13066,rotate
13100,rotate
13133,rotate
13166,rotate
13200,rotate
13233,rotate
13266,rotate
13299,rotate
13333,rotate
13366,rotate
13400,rotate
13433,rotate
13466,rotate
13500,rotate
13533,rotate
13566,rotate
13600,rotate
13633,rotate
13666,rotate
13700,rotate
13733,rotate
13766,rotate
13799,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,idle
14200,idle
14233,idle
14266,idle
14299,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14799,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,idle
15066,idle
15100,idle
15133,idle
15166,idle
15200,idle
15233,idle
15266,idle
15299,idle
15333,idle
15366,idle
15400,idle
15433,idle
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15799,idle
15833,idle
15866,idle
15900,rotate
15933,rotate
15966,rotate
16000,rotate
16033,rotate
16066,rotate
16100,rotate
16133,rotate
16166,rotate
16200,rotate
16233,rotate
16266,rotate
16300,rotate
16333,rotate
16366,rotate
16400,rotate
16433,rotate
16466,rotate
16500,rotate
16533,rotate
16566,rotate
16600,rotate
16633,rotate
16666,rotate
16700,rotate
16733,rotate
16766,rotate
16800,rotate
16833,rotate
16866,rotate
16900,rotate
16933,rotate
16966,rotate
17000,rotate
17033,rotate
17066,rotate
17100,rotate
17133,rotate
17166,rotate
17200,rotate
17233,rotate
17266,rotate
17300,rotate
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,idle
17733,idle
17766,idle
17800,idle
17833,idle
17866,idle
17900,idle
17933,idle
17966,idle
18000,idle
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,idle
18300,idle
18333,idle
18366,idle
18400,idle
18433,idle
18466,idle
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,idle
18733,idle
18766,idle
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,idle
19000,idle
19033,idle
19066,idle
19100,idle
19133,idle
19166,idle
19200,rotate
19233,rotate
19266,rotate
19300,rotate
19333,rotate
19366,rotate
19400,rotate
19433,rotate
19466,rotate
19500,rotate
19533,rotate
19566,rotate
19600,rotate
19633,rotate
19666,rotate
19700,rotate
19733,rotate
19766,rotate
19800,rotate
19833,rotate
19866,rotate
19900,rotate
19933,rotate
19966,rotate
20000,rotate
20033,rotate
20066,rotate
20100,rotate
20133,rotate
20166,rotate
20200,rotate
20233,rotate
20266,rotate
20300,rotate
20333,rotate
20366,rotate
20400,rotate
20433,rotate
20466,rotate
20500,rotate
20533,rotate
20566,rotate
20600,rotate
20633,rotate
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,idle
20966,idle
21000,idle
21033,idle
21066,idle
21100,idle
21133,idle
21166,idle
21200,idle
21233,idle
21266,idle
21300,idle
21333,idle
21366,idle
21400,idle
21433,idle
21466,idle
21500,idle
21533,idle
21566,idle
21600,idle
21633,idle
21666,idle
21700,idle
21733,idle
21766,idle
21800,idle
21833,idle
21866,idle
21900,idle
21933,idle
21966,idle
22000,idle
22033,idle
22066,idle
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,idle
22766,idle
22800,idle
22833,idle
22866,idle
22900,idle
22933,idle
22966,idle
23000,idle
23033,idle
23066,idle
23100,idle
23133,idle
23166,idle
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,idle
23833,idle
23866,idle
23900,idle
23933,idle
23966,idle
24000,idle
24033,idle
24066,idle
24100,idle
24133,idle
24166,idle
24200,idle
24233,idle
24266,idle
24300,idle
24333,idle
24366,idle
24400,idle
24433,idle
