timestamp,ground_truth
0,idle
31,idle
63,idle
95,idle
127,idle
175,idle
207,idle
239,idle
272,idle
303,idle
335,idle
367,idle
400,idle
447,idle
480,idle
512,idle
543,idle
575,idle
607,idle
639,idle
671,idle
703,idle
735,idle
783,idle
815,idle
847,idle
879,idle
911,idle
944,idle
976,idle
1007,idle
1040,idle
1071,idle
1103,idle
1135,idle
1183,idle
1215,idle
1248,idle
1279,idle
1311,idle
1343,idle
1375,idle
1408,idle
1439,idle
1471,idle
1504,idle
1536,idle
1583,idle
1615,idle
1648,idle
1680,idle
1712,idle
1743,idle
1776,idle
1808,idle
1839,idle
1872,idle
1904,idle
1936,idle
1968,idle
2015,idle
2048,idle
2079,idle
2112,idle
2144,idle
2176,idle
2208,idle
2239,idle
2272,idle
2303,idle
2335,rotate
2367,rotate
2415,rotate
2448,rotate
2480,rotate
2511,rotate
2543,rotate
2576,rotate
2607,rotate
2639,rotate
2671,rotate
2704,rotate
2736,rotate
2767,rotate
2815,rotate
2847,rotate
2880,rotate
2912,rotate
2944,rotate
2976,rotate
3008,rotate
3040,rotate
3072,rotate
3104,rotate
3135,rotate
3167,rotate
3215,rotate
3247,rotate
3280,rotate
3312,rotate
3343,rotate
3376,rotate
3408,rotate
3439,rotate
3472,rotate
3504,rotate
3536,rotate
3568,rotate
3616,rotate
3647,rotate
3679,rotate
3712,rotate
3744,rotate
3776,rotate
3808,rotate
3840,rotate
3872,rotate
3904,rotate
3936,rotate
3968,idle
4016,idle
4048,idle
4080,idle
4112,idle
4144,idle
4176,idle
4208,idle
4240,idle
4272,idle
4304,idle
4335,idle
4368,idle
4416,idle
4448,idle
4480,idle
4511,idle
4544,idle
4575,idle
4608,idle
4639,idle
4672,idle
4703,idle
4736,idle
4767,idle
4815,idle
4847,idle
4880,idle
4912,idle
4944,idle
4976,idle
5007,idle
5040,idle
5072,idle
5104,idle
5136,idle
5167,idle
5200,idle
5248,idle
5279,idle
5312,idle
5344,idle
5376,idle
5408,idle
5439,idle
5472,idle
5504,idle
5552,idle
5584,idle
5616,idle
5648,idle
5679,idle
5712,idle
5744,idle
5791,rotate
5823,rotate
5856,rotate
5888,rotate
5919,rotate
5951,rotate
5984,rotate
6031,rotate
6064,rotate
6096,rotate
6128,rotate
6160,rotate
6192,rotate
6224,rotate
6256,rotate
6303,rotate
6335,rotate
6368,rotate
6400,rotate
6431,rotate
6464,rotate
6496,rotate
6543,rotate
6576,rotate
6608,rotate
6640,rotate
6672,rotate
6704,rotate
6736,rotate
6784,rotate
6816,rotate
6848,rotate
6880,rotate
6912,rotate
6944,rotate
6976,rotate
7008,rotate
7055,rotate
7088,rotate
7119,rotate
7152,rotate
7184,idle
7216,idle
7248,idle
7296,idle
7327,idle
7360,idle
7392,idle
7424,idle
7456,idle
7488,idle
7535,idle
7567,idle
7600,idle
7632,idle
7664,idle
7696,idle
7728,idle
7760,idle
7807,idle
7839,idle
7872,idle
7904,idle
7936,idle
7967,idle
8000,idle
8032,idle
8064,idle
8096,idle
8128,idle
8160,idle
8207,idle
8239,idle
8272,idle
8304,idle
8336,idle
8368,idle
8399,idle
8432,idle
8464,idle
8496,idle
8528,idle
8560,idle
8607,idle
8639,idle
8672,idle
8704,idle
8735,idle
8768,idle
8800,idle
8832,idle
8864,idle
8896,rotate
8928,rotate
8960,rotate
9007,rotate
9039,rotate
9072,rotate
9104,rotate
9136,rotate
9200,rotate
9296,rotate
9328,rotate
9360,rotate
9408,rotate
9439,rotate
9472,rotate
9504,rotate
9536,rotate
9567,rotate
9600,rotate
9632,rotate
9664,rotate
9696,rotate
9760,rotate
9808,rotate
9839,rotate
9872,rotate
9904,rotate
9935,rotate
9967,rotate
10000,rotate
10032,rotate
10064,rotate
10096,rotate
10128,rotate
10160,rotate
10192,rotate
10239,rotate
10272,rotate
10304,rotate
10336,idle
10368,idle
10399,idle
10432,idle
10464,idle
10496,idle
10528,idle
10560,idle
10592,idle
10639,idle
10672,idle
10704,idle
10736,idle
10768,idle
10800,idle
10832,idle
10864,idle
10896,idle
10928,idle
10960,idle
10992,idle
11039,idle
11072,idle
11104,idle
11136,idle
11168,idle
11199,idle
11232,idle
11264,idle
11296,idle
11343,idle
11375,idle
11408,idle
11440,idle
11472,idle
11504,idle
11536,idle
11568,idle
11616,idle
11648,idle
11679,idle
11712,idle
11744,idle
11776,idle
11808,idle
11855,idle
11888,idle
11920,idle
11952,idle
11984,idle
12016,idle
12048,idle
12096,idle
12128,idle
12160,idle
12191,idle
12224,idle
12256,idle
12288,idle
12320,idle
12367,idle
12400,idle
12432,idle
12464,idle
12496,idle
12528,idle
12560,idle
12607,idle
12639,idle
12672,idle
12704,idle
12736,idle
12768,idle
12800,idle
12848,idle
12879,idle
12912,idle
12944,idle
12976,idle
13008,idle
13039,idle
13072,idle
13119,idle
13151,idle
13184,idle
13216,idle
13248,idle
13280,idle
13312,idle
13344,idle
13376,idle
13408,idle
13455,idle
13488,idle
13519,rotate
13551,rotate
13584,rotate
13616,rotate
13648,rotate
13679,rotate
13712,rotate
13744,rotate
13776,rotate
13808,rotate
13855,rotate
13887,rotate
13919,rotate
13952,rotate
13984,rotate
14016,rotate
14048,rotate
14080,rotate
14112,rotate
14144,rotate
14176,rotate
14208,rotate
14256,rotate
14288,rotate
14320,rotate
14352,rotate
14384,rotate
14416,rotate
14448,rotate
14480,rotate
14512,rotate
14544,rotate
14576,rotate
14608,rotate
14655,rotate
14687,rotate
14720,rotate
14752,rotate
14784,idle
14816,idle
14848,idle
14880,idle
14912,idle
14944,idle
14976,idle
15008,idle
15055,idle
15087,idle
15120,idle
15152,idle
15184,idle
15216,idle
15248,idle
15280,idle
15312,idle
15344,idle
15376,idle
15408,idle
15455,idle
15487,idle
15519,idle
15551,idle
15584,idle
15616,idle
15648,idle
15680,idle
15712,idle
15744,idle
15776,idle
15808,idle
15855,idle
15887,idle
15920,idle
15952,idle
15984,idle
16016,idle
16048,idle
16080,idle
16112,idle
16144,idle
16176,idle
16208,idle
16240,idle
16287,idle
16319,idle
16352,idle
16384,idle
16416,idle
16448,idle
16479,idle
16512,idle
16543,idle
16576,idle
16608,rotate
16640,rotate
16687,rotate
16720,rotate
16752,rotate
16784,rotate
16816,rotate
16848,rotate
16880,rotate
16912,rotate
16944,rotate
16976,rotate
17008,rotate
17040,rotate
17087,rotate
17120,rotate
17152,rotate
17184,rotate
17216,rotate
17248,rotate
17280,rotate
17312,rotate
17344,rotate
17376,rotate
17408,rotate
17440,rotate
17487,rotate
17520,rotate
17552,rotate
17584,rotate
17616,rotate
17648,rotate
17680,rotate
17728,rotate
17759,rotate
17792,rotate
17824,rotate
17856,rotate
17888,rotate
17920,rotate
17952,rotate
17999,rotate
18032,rotate
18064,rotate
18096,idle
18128,idle
18160,idle
18192,idle
18239,idle
18272,idle
18304,idle
18336,idle
18367,idle
18400,idle
18432,idle
18479,idle
18511,idle
18544,idle
18576,idle
18608,idle
18640,idle
18672,idle
18704,idle
18751,idle
18784,idle
18816,idle
18848,idle
18880,idle
18912,idle
18944,idle
18976,idle
19008,idle
19056,idle
19088,idle
19120,idle
19152,idle
19184,idle
19216,idle
19248,idle
19279,idle
19312,idle
19344,idle
19376,idle
19408,idle
19456,idle
19487,idle
19520,idle
19552,idle
19584,idle
19616,rotate
19648,rotate
19680,rotate
19712,rotate
19744,rotate
19776,rotate
19808,rotate
19856,rotate
19888,rotate
19920,rotate
19952,rotate
19984,rotate
20016,rotate
20048,rotate
20080,rotate
20112,rotate
20144,rotate
20176,rotate
20208,rotate
20240,rotate
20287,rotate
20320,rotate
20352,rotate
20384,rotate
20416,rotate
20448,rotate
20480,rotate
20512,rotate
20544,rotate
20576,rotate
20608,rotate
20640,rotate
20687,rotate
20720,rotate
20752,rotate
20784,rotate
20816,rotate
20848,rotate
20880,rotate
20912,rotate
20944,rotate
20976,rotate
21008,rotate
21040,rotate
21087,rotate
21120,rotate
21152,rotate
21184,rotate
21216,rotate
21248,rotate
21280,idle
21312,idle
21344,idle
21376,idle
21408,idle
21440,idle
21487,idle
21520,idle
21552,idle
21584,idle
21616,idle
21648,idle
21680,idle
21712,idle
21744,idle
21776,idle
21808,idle
21840,idle
21888,idle
21919,idle
21952,idle
21984,idle
22016,idle
22048,idle
22080,idle
22112,idle
22144,idle
22176,idle
22208,idle
22240,idle
22288,idle
22319,idle
22352,idle
22384,idle
22416,idle
22448,idle
22480,idle
22512,idle
22544,idle
22576,idle
22608,idle
22640,idle
22687,idle
22719,idle
22752,idle
22784,idle
22816,idle
22848,idle
22880,idle
22912,idle
22944,idle
22976,idle
23008,idle
23040,idle
23072,idle
23119,idle
23152,idle
23184,idle
23216,idle
23248,idle
23280,idle
23312,idle
23344,idle
23376,idle
23408,idle
23440,idle
23472,idle
23520,idle
23552,idle
23584,idle
23616,idle
23648,idle
23680,idle
23712,idle
23744,idle
23776,idle
23808,idle
23840,idle
23872,idle
23919,idle
23952,idle
23984,idle
24016,idle
24048,idle
24080,idle
24112,idle
24144,idle
24176,idle
24208,idle
24240,idle
24272,rotate
24320,rotate
24352,rotate
24384,rotate
24416,rotate
24448,rotate
24480,rotate
24512,rotate
24544,rotate
24576,rotate
24608,rotate
24640,rotate
24672,rotate
24720,rotate
24752,rotate
24784,rotate
24816,rotate
24848,rotate
24880,rotate
24912,rotate
24944,rotate
24976,rotate
25008,rotate
25040,rotate
25072,rotate
25119,rotate
25151,rotate
25184,rotate
25216,rotate
25248,rotate
25280,rotate
25312,rotate
25344,rotate
25376,rotate
25423,rotate
25456,rotate
25488,rotate
25520,rotate
25552,rotate
25584,rotate
25616,rotate
25664,rotate
25696,idle
25728,idle
25760,idle
25792,idle
25824,idle
25856,idle
25903,idle
25936,idle
25968,idle
26000,idle
26032,idle
26064,idle
26096,idle
26128,idle
26176,idle
26208,idle
26240,idle
26272,idle
26304,idle
26336,idle
26368,idle
26416,idle
26448,idle
26480,idle
26512,idle
26544,idle
26576,idle
26608,idle
26640,idle
26672,idle
26704,idle
26736,idle
26768,idle
26816,idle
26848,idle
26880,idle
26912,idle
26944,idle
26976,idle
27008,rotate
27040,rotate
27072,rotate
27104,rotate
27136,rotate
27168,rotate
27216,rotate
27248,rotate
27280,rotate
27312,rotate
27344,rotate
27376,rotate
27408,rotate
27440,rotate
27472,rotate
27504,rotate
27536,rotate
27568,rotate
