timestamp,ground_truth
0,idle
32,idle
64,idle
111,idle
143,idle
176,idle
208,idle
240,idle
272,idle
304,idle
336,idle
368,idle
400,idle
432,idle
464,idle
511,idle
543,idle
576,idle
608,idle
640,idle
672,idle
704,idle
736,idle
768,idle
800,idle
832,idle
864,idle
896,idle
944,idle
976,idle
1008,idle
1040,idle
1072,idle
1104,idle
1136,idle
1168,idle
1200,idle
1232,idle
1264,idle
1296,idle
1344,idle
1376,idle
1408,idle
1440,idle
1472,idle
1504,idle
1536,idle
1568,idle
1600,idle
1632,idle
1664,idle
1696,idle
1743,idle
1776,idle
1808,idle
1840,idle
1872,idle
1904,idle
1936,idle
1968,idle
2000,idle
2032,idle
2064,idle
2096,idle
2144,idle
2176,idle
2208,idle
2240,idle
2272,idle
2304,idle
2336,idle
2368,idle
2400,idle
2432,idle
2464,idle
2496,idle
2544,idle
2576,idle
2608,idle
2640,idle
2672,idle
2704,idle
2736,idle
2768,idle
2800,idle
2832,idle
2864,idle
2896,idle
2943,idle
2975,idle
3008,idle
3040,idle
3072,idle
3104,idle
3136,idle
3168,idle
3200,idle
3232,idle
3264,idle
3296,idle
3328,idle
3376,idle
3408,idle
3440,idle
3472,idle
3504,idle
3536,idle
3568,idle
3600,idle
3632,idle
3664,idle
3696,idle
3728,idle
3776,idle
3808,idle
3840,idle
3872,idle
3904,idle
3936,idle
3968,idle
4000,idle
4032,idle
4064,idle
4096,rotate
4128,rotate
4176,rotate
4208,rotate
4240,rotate
4272,rotate
4304,rotate
4336,rotate
4368,rotate
4400,rotate
4432,rotate
4464,rotate
4496,rotate
4528,rotate
4576,rotate
4607,rotate
4640,rotate
4672,rotate
4704,rotate
4736,rotate
4768,rotate
4800,rotate
4832,rotate
4864,rotate
4896,rotate
4928,rotate
4975,rotate
5007,rotate
5040,rotate
5072,rotate
5104,rotate
5136,rotate
5168,rotate
5200,rotate
5232,rotate
5264,rotate
5296,rotate
5328,rotate
5376,rotate
5408,rotate
5440,rotate
5472,rotate
5504,idle
5536,idle
5568,idle
5600,idle
5632,idle
5664,idle
5696,idle
5728,idle
5775,idle
5808,idle
5840,idle
5872,idle
5904,idle
5936,idle
5968,idle
6015,idle
6048,idle
6080,idle
6112,idle
6144,idle
6176,idle
6208,idle
6240,idle
6288,idle
6320,idle
6352,idle
6384,idle
6416,idle
6448,idle
6480,idle
6528,idle
6560,idle
6592,idle
6624,idle
6656,idle
6688,idle
6720,idle
6768,idle
6799,idle
6832,idle
6864,idle
6896,idle
6928,idle
6960,idle
6992,idle
7040,idle
7072,idle
7104,idle
7136,idle
7168,idle
7200,idle
7232,idle
7280,idle
7312,idle
7344,idle
7376,idle
7408,idle
7440,idle
7472,idle
7504,idle
7536,idle
7584,idle
7616,idle
7648,idle
7680,idle
7712,rotate
7744,rotate
7776,rotate
7808,rotate
7840,rotate
7872,rotate
7904,rotate
7936,rotate
7984,rotate
8016,rotate
8048,rotate
8080,rotate
8112,rotate
8144,rotate
8176,rotate
8208,rotate
8240,rotate
8272,rotate
8304,rotate
8336,rotate
8383,rotate
8416,rotate
8448,rotate
8480,rotate
8512,rotate
8544,rotate
8576,rotate
8608,rotate
8640,rotate
8672,rotate
8704,rotate
8736,rotate
8784,rotate
8816,rotate
8848,rotate
8880,rotate
8912,rotate
8944,idle
8976,idle
9008,idle
9040,idle
9072,idle
9104,idle
9136,idle
9184,idle
9215,idle
9248,idle
9280,idle
9312,idle
9344,idle
9376,idle
9408,idle
9440,idle
9472,idle
9504,idle
9536,idle
9568,idle
9616,idle
9648,idle
9680,idle
9712,idle
9744,idle
9776,idle
9808,idle
9840,idle
9872,idle
9904,idle
9936,idle
9968,idle
10015,idle
10048,idle
10080,idle
10112,idle
10144,idle
10176,idle
10208,idle
10240,idle
10272,idle
10304,idle
10336,idle
10368,idle
10416,idle
10448,idle
10480,idle
10512,idle
10544,idle
10576,idle
10608,idle
10640,idle
10672,idle
10704,idle
10736,idle
10768,idle
10816,idle
10848,idle
10880,idle
10912,idle
10944,idle
10976,idle
11008,idle
11040,rotate
11072,rotate
11104,rotate
11136,rotate
11168,rotate
11215,rotate
11248,rotate
11280,rotate
11312,rotate
11344,rotate
11376,rotate
11408,rotate
11440,rotate
11472,rotate
11504,rotate
11536,rotate
11568,rotate
11615,rotate
11648,rotate
11680,rotate
11712,rotate
11744,rotate
11776,rotate
11808,rotate
11840,rotate
11872,rotate
11904,rotate
11936,rotate
11968,rotate
12015,rotate
12048,rotate
12080,rotate
12112,rotate
12144,rotate
12176,rotate
12208,rotate
12256,rotate
12288,rotate
12320,rotate
12352,rotate
12384,idle
12416,idle
12448,idle
12480,idle
12527,idle
12560,idle
12592,idle
12624,idle
12656,idle
12688,idle
12720,idle
12768,idle
12800,idle
12832,idle
12864,idle
12896,idle
12928,idle
12960,idle
13008,idle
13040,idle
13072,idle
13104,idle
13136,idle
13168,idle
13200,idle
13232,idle
13264,idle
13296,idle
13344,idle
13376,idle
13408,idle
13440,idle
13472,idle
13504,idle
13536,idle
13568,idle
13600,idle
13632,idle
13664,idle
13696,idle
13728,idle
13776,idle
13808,idle
13840,idle
13872,idle
13904,idle
13936,idle
13968,idle
14000,idle
14032,idle
14064,idle
14096,idle
14128,idle
14176,idle
14208,idle
14240,idle
14272,idle
14304,idle
14336,idle
14368,idle
14400,idle
14432,idle
14464,rotate
14496,rotate
14528,rotate
14576,rotate
14608,rotate
14640,rotate
14672,rotate
14704,rotate
14736,rotate
14768,rotate
14800,rotate
14832,rotate
14864,rotate
14896,rotate
14928,rotate
14976,rotate
15008,rotate
15040,rotate
15072,rotate
15104,rotate
15136,rotate
15168,rotate
15200,rotate
15232,rotate
15264,rotate
15296,rotate
15328,rotate
15376,rotate
15408,rotate
15440,rotate
15472,rotate
15504,rotate
15536,rotate
15568,rotate
15600,rotate
15632,rotate
15680,rotate
15711,rotate
15744,idle
15776,idle
15808,idle
15840,idle
15872,idle
15904,idle
15952,idle
15984,idle
16016,idle
16048,idle
16080,idle
16112,idle
16144,idle
16192,idle
16224,idle
16256,idle
16288,idle
16320,idle
16352,idle
16384,idle
16432,idle
16464,idle
16496,idle
16528,idle
16560,idle
16592,idle
16624,idle
16656,idle
16704,idle
16736,idle
16768,idle
16800,idle
16832,idle
16864,idle
16896,idle
16928,idle
16960,idle
16992,idle
17024,idle
17072,idle
17104,idle
17136,idle
17168,idle
17200,idle
17232,idle
17264,idle
17296,idle
17328,idle
17360,idle
17392,idle
17424,idle
17472,idle
17504,idle
17536,idle
17568,idle
17600,idle
17632,idle
17664,idle
17696,idle
17728,idle
17760,idle
17792,rotate
17824,rotate
17856,rotate
17904,rotate
17936,rotate
17968,rotate
18000,rotate
18032,rotate
18064,rotate
18096,rotate
18128,rotate
18160,rotate
18192,rotate
18224,rotate
18272,rotate
18304,rotate
18336,rotate
18368,rotate
18400,rotate
18432,rotate
18464,rotate
18496,rotate
18528,rotate
18560,rotate
18592,rotate
18624,rotate
18656,rotate
18704,rotate
18736,rotate
18768,rotate
18800,rotate
18832,rotate
18864,rotate
18896,rotate
18928,rotate
18960,rotate
18992,rotate
19024,rotate
19056,rotate
19104,rotate
19136,rotate
19168,rotate
19200,rotate
19232,rotate
19264,rotate
19296,rotate
19328,rotate
19360,rotate
19392,idle
19424,idle
19456,idle
19504,idle
19536,idle
19568,idle
19600,idle
19632,idle
19664,idle
19696,idle
19728,idle
19776,idle
19808,idle
19840,idle
19872,idle
19904,idle
19936,idle
19968,idle
20016,idle
20048,idle
20080,idle
20112,idle
20144,idle
20176,idle
20208,idle
20240,idle
20288,idle
20320,idle
20352,idle
20384,idle
20416,idle
20448,idle
20480,idle
20528,idle
20560,idle
20592,idle
20624,idle
20656,idle
20688,idle
20720,idle
20752,idle
20784,idle
20816,idle
20848,idle
20896,idle
20928,idle
20960,idle
20992,idle
21024,idle
21056,idle
21088,idle
21120,idle
21152,idle
21184,idle
21216,rotate
21248,rotate
21296,rotate
21328,rotate
21360,rotate
21392,rotate
21424,rotate
21456,rotate
21488,rotate
21520,rotate
21552,rotate
21584,rotate
21616,rotate
21648,rotate
21680,rotate
21728,rotate
21760,rotate
21792,rotate
21824,rotate
21856,rotate
21888,rotate
21920,rotate
21952,rotate
21984,rotate
22016,rotate
22048,rotate
22080,rotate
22128,rotate
22160,rotate
22192,rotate
22224,rotate
22256,rotate
22288,rotate
22320,rotate
22352,rotate
22384,rotate
22416,rotate
22448,rotate
22480,rotate
22528,rotate
22560,rotate
22592,rotate
22624,rotate
22656,rotate
22688,rotate
22720,rotate
22752,rotate
22784,rotate
22816,rotate
22864,idle
22896,idle
22928,idle
22960,idle
22992,idle
23024,idle
23056,idle
23088,idle
23136,idle
23168,idle
23200,idle
23232,idle
23264,idle
23296,idle
23328,idle
23376,idle
23408,idle
23440,idle
23472,idle
23504,idle
23536,idle
23568,idle
23616,idle
23648,idle
23680,idle
23712,idle
23744,idle
23776,idle
23808,idle
23840,idle
23888,idle
23920,idle
23952,idle
23984,idle
24016,idle
24048,idle
24080,idle
24128,idle
24160,idle
24192,idle
24224,idle
24256,idle
24288,idle
24320,idle
24352,idle
24384,idle
24416,idle
24448,idle
24480,idle
24528,idle
24560,idle
24592,idle
24624,idle
24656,idle
24688,idle
24720,idle
24752,idle
24784,idle
24816,idle
24848,idle
24880,idle
24928,idle
24960,idle
24992,idle
25024,idle
25056,idle
25088,idle
25120,idle
25152,idle
25184,idle
25216,idle
25248,idle
25280,idle
25312,idle
25360,idle
25392,idle
25424,idle
25456,idle
25488,idle
25520,idle
25552,idle
25584,idle
25616,idle
25648,idle
25680,idle
25712,idle
25760,rotate
25792,rotate
25824,rotate
25856,rotate
25888,rotate
25920,rotate
25952,rotate
25984,rotate
26016,rotate
26048,rotate
26080,rotate
26112,rotate
26160,rotate
26192,rotate
26224,rotate
26256,rotate
26288,rotate
26320,rotate
26352,rotate
26384,rotate
26416,rotate
26448,rotate
26480,rotate
26512,rotate
26560,rotate
26592,rotate
26624,rotate
26656,rotate
26688,rotate
26720,rotate
26752,rotate
26784,rotate
26816,rotate
26848,rotate
26880,rotate
26912,rotate
26961,rotate
26992,rotate
27024,rotate
27056,rotate
27088,rotate
27120,rotate
27152,rotate
27184,rotate
27216,rotate
27248,rotate
27280,rotate
27312,rotate
27360,idle
27392,idle
27424,idle
27456,idle
27488,idle
27520,idle
27552,idle
27584,idle
27616,idle
27648,idle
27680,idle
27712,idle
27760,idle
27792,idle
27824,idle
27856,idle
27888,idle
27920,idle
27952,idle
27984,idle
28016,idle
28048,idle
28080,idle
28112,idle
28144,idle
28192,idle
28224,idle
28256,idle
28288,idle
28320,idle
28352,idle
28384,idle
28416,idle
28448,idle
28480,idle
28512,idle
28544,idle
28592,idle
28624,idle
28656,idle
28688,idle
28720,idle
28752,idle
28784,idle
28816,idle
28848,idle
28880,idle
28912,idle
28944,idle
28992,idle
29024,idle
29056,idle
29088,idle
29120,idle
29152,idle
29184,idle
29216,idle
29248,idle
29280,idle
29312,idle
29344,idle
29392,idle
29424,idle
29456,idle
29488,idle
29520,idle
29552,rotate
29584,rotate
29616,rotate
29648,rotate
29680,rotate
29712,rotate
29744,rotate
29792,rotate
29824,rotate
29856,rotate
29888,rotate
29920,rotate
29952,rotate
29984,rotate
30016,rotate
30048,rotate
30080,rotate
30112,rotate
30144,rotate
30192,rotate
30224,rotate
30256,rotate
30288,rotate
30320,rotate
30352,rotate
30384,rotate
30416,rotate
30448,rotate
30480,rotate
30512,rotate
30544,rotate
30592,rotate
30624,rotate
30656,rotate
30688,rotate
30720,rotate
30752,rotate
30784,rotate
30816,rotate
30848,rotate
30880,rotate
30912,rotate
30944,idle
30976,idle
31024,idle
31056,idle
31088,idle
31120,idle
31152,idle
31184,idle
31216,idle
31248,idle
31280,idle
31312,idle
31344,idle
31376,idle
31424,idle
31456,idle
31488,idle
31520,idle
31552,idle
31584,idle
31616,idle
31648,idle
31680,idle
31712,idle
31744,idle
31776,idle
31824,idle
31856,idle
31888,idle
31920,idle
31952,idle
31984,idle
32016,idle
32048,idle
32080,idle
32112,idle
32144,idle
32176,idle
32224,idle
32256,idle
32288,idle
32320,idle
32352,idle
32384,idle
32416,idle
32448,idle
32480,idle
32512,idle
32544,idle
32576,idle
32624,idle
32656,idle
32688,idle
32720,idle
32752,idle
32784,idle
32816,idle
32848,idle
32880,idle
32912,idle
32944,idle
32976,idle
33008,idle
33056,idle
33088,idle
33120,idle
33152,idle
33184,idle
33216,idle
33248,idle
33280,idle
33312,idle
33344,idle
33376,idle
33408,idle
33456,idle
33488,idle
33520,idle
33552,idle
33584,idle
33616,rotate
33648,rotate
33680,rotate
33712,rotate
33744,rotate
33776,rotate
33808,rotate
33856,rotate
33888,rotate
33920,rotate
33952,rotate
33984,rotate
34016,rotate
34048,rotate
34080,rotate
34112,rotate
34144,rotate
34176,rotate
34208,rotate
34256,rotate
34288,rotate
34320,rotate
34352,rotate
34384,rotate
34416,rotate
34448,rotate
34480,rotate
34512,rotate
34544,rotate
34576,rotate
34608,rotate
34656,rotate
34688,rotate
34720,rotate
34752,rotate
34784,rotate
34816,rotate
34848,rotate
34880,rotate
34912,rotate
34944,rotate
34976,idle
35008,idle
35056,idle
35088,idle
35120,idle
35152,idle
35184,idle
35216,idle
35248,idle
35280,idle
35312,idle
35344,idle
35376,idle
35408,idle
35456,idle
35488,idle
35520,idle
35552,idle
35584,idle
35616,idle
35648,idle
35680,idle
35712,idle
35744,idle
35776,idle
35808,idle
35840,idle
35888,idle
35920,idle
35952,idle
35984,idle
36016,idle
36048,idle
36080,idle
36112,idle
36144,idle
36176,idle
36208,idle
36240,idle
36288,idle
36320,idle
36352,idle
36384,idle
36416,idle
36448,idle
36480,idle
36512,idle
36544,idle
36576,idle
36608,idle
36640,idle
36688,idle
36720,idle
36752,idle
36784,idle
36816,idle
36848,idle
36880,idle
36912,idle
36944,idle
36976,idle
37008,idle
37040,idle
37088,rotate
37120,rotate
37152,rotate
37184,rotate
37216,rotate
37248,rotate
37280,rotate
37312,rotate
37344,rotate
37376,rotate
37408,rotate
37440,rotate
37488,rotate
37520,rotate
37552,rotate
37584,rotate
37616,rotate
37648,rotate
37680,rotate
37712,rotate
37744,rotate
37776,rotate
37808,rotate
37840,rotate
37888,rotate
37920,rotate
37952,rotate
37984,rotate
38016,rotate
38048,rotate
38080,rotate
38112,rotate
38144,rotate
38176,rotate
38208,rotate
38240,rotate
38288,rotate
38320,idle
38352,idle
38384,idle
38416,idle
38448,idle
38480,idle
38512,idle
38544,idle
38576,idle
38608,idle
38640,idle
38672,idle
38720,idle
38752,idle
38784,idle
38816,idle
38848,idle
38880,idle
38912,idle
38944,idle
38976,idle
39008,idle
39040,idle
39072,idle
39120,idle
39152,idle
39184,idle
39216,idle
39248,idle
39280,idle
39312,idle
39344,idle
39376,idle
39408,idle
39440,idle
39472,idle
39520,idle
39552,idle
39584,idle
39616,idle
39648,idle
39680,idle
39712,idle
39744,idle
39776,rotate
39808,rotate
39840,rotate
39872,rotate
39920,rotate
39952,rotate
39984,rotate
40016,rotate
40048,rotate
40080,rotate
40112,rotate
40144,rotate
40176,rotate
40208,rotate
40240,rotate
40272,rotate
40320,rotate
40352,rotate
40384,rotate
40416,rotate
40448,rotate
40480,rotate
40512,rotate
40544,rotate
40576,rotate
40608,rotate
40640,rotate
40672,rotate
40720,rotate
40752,rotate
40784,rotate
40816,rotate
40848,rotate
40880,rotate
40912,rotate
40944,rotate
40976,rotate
41008,rotate
41040,rotate
41072,rotate
41120,rotate
41152,rotate
41184,rotate
41216,rotate
41248,rotate
41280,rotate
41312,rotate
41344,rotate
41376,rotate
41408,idle
41440,idle
41472,idle
41504,idle
41552,idle
41584,idle
41616,idle
41648,idle
41680,idle
41712,idle
41744,idle
41776,idle
41808,idle
41840,idle
41872,idle
41904,idle
41952,idle
41984,idle
42016,idle
42048,idle
42080,idle
42112,idle
42144,idle
42176,idle
42208,idle
42240,idle
42272,idle
42304,idle
42352,idle
42384,idle
42416,idle
42448,idle
42480,idle
42512,idle
42544,idle
42576,idle
42608,idle
42640,idle
42672,idle
42704,idle
42752,idle
42784,idle
42816,idle
42848,idle
42880,idle
42912,idle
42944,idle
42976,idle
43008,idle
43040,idle
43072,idle
43104,idle
43152,idle
43184,idle
43216,idle
43248,idle
43280,idle
43312,idle
43344,idle
43376,idle
43408,idle
43440,idle
43472,idle
43504,idle
43536,idle
43584,idle
43616,idle
43648,idle
43680,idle
43712,idle
43744,idle
43776,idle
43808,idle
43840,idle
43872,idle
43904,idle
43936,idle
43984,idle
44016,idle
44048,idle
44080,idle
44112,idle
44144,idle
44176,idle
44208,idle
44240,idle
44272,idle
44304,idle
44336,idle
44384,idle
44416,idle
44448,idle
44480,idle
44512,idle
44544,idle
44576,idle
44608,idle
44640,idle
44672,idle
44704,idle
44736,idle
44784,idle
44816,idle
44848,rotate
44880,rotate
44912,rotate
44944,rotate
44976,rotate
45008,rotate
45040,rotate
45072,rotate
45104,rotate
45136,rotate
45184,rotate
45216,rotate
45248,rotate
45280,rotate
45312,rotate
45344,rotate
45376,rotate
45408,rotate
45440,rotate
45472,rotate
45504,rotate
45536,rotate
45584,rotate
45616,rotate
45648,rotate
45680,rotate
45712,rotate
45744,rotate
45776,rotate
45808,rotate
45840,rotate
45872,rotate
45904,rotate
45936,rotate
45984,rotate
46016,rotate
46048,rotate
46080,rotate
46112,rotate
46144,rotate
46176,rotate
46208,rotate
46240,rotate
46272,rotate
46304,rotate
46336,rotate
46368,rotate
46416,rotate
46448,rotate
46480,idle
46512,idle
46544,idle
46576,idle
46608,idle
46640,idle
46672,idle
46704,idle
46736,idle
46768,idle
46816,idle
46848,idle
46880,idle
46912,idle
46944,idle
46976,idle
47008,idle
47040,idle
47072,idle
47104,idle
47136,idle
47168,idle
47216,idle
47248,idle
47280,idle
47312,idle
47344,idle
47376,idle
47408,idle
47440,idle
47472,idle
47504,idle
47536,idle
47568,idle
47616,idle
47648,idle
47680,idle
47712,idle
47744,idle
47776,idle
47808,idle
47840,idle
47872,idle
47904,idle
47936,idle
47968,idle
48016,idle
48048,idle
48080,idle
48112,idle
48144,idle
48176,idle
48208,idle
48240,idle
48272,idle
48304,idle
48336,idle
48368,idle
48400,idle
48448,idle
48480,idle
48512,idle
48544,idle
48576,idle
48608,idle
48640,idle
48672,idle
48704,idle
48736,idle
48768,idle
48800,idle
48848,idle
48880,idle
48912,idle
48944,idle
48976,idle
49008,idle
49040,idle
49072,idle
49104,idle
49136,idle
49168,idle
49200,idle
49248,idle
49280,idle
49312,idle
49344,idle
