timestamp,ground_truth
0,idle
31,idle
79,idle
111,idle
144,idle
176,idle
207,idle
239,idle
272,idle
304,idle
336,idle
368,idle
400,idle
432,idle
479,idle
512,idle
544,idle
576,idle
608,idle
640,idle
672,idle
704,idle
736,idle
768,swipe_left
800,swipe_left
832,swipe_left
880,swipe_left
912,swipe_left
944,swipe_left
976,swipe_left
1008,swipe_left
1040,swipe_left
1072,swipe_left
1104,swipe_left
1136,swipe_left
1168,swipe_left
1200,swipe_left
1232,swipe_left
1280,swipe_left
1312,swipe_left
1344,swipe_left
1376,swipe_left
1408,swipe_left
1440,swipe_left
1472,swipe_left
1504,swipe_left
1536,swipe_left
1568,swipe_left
1600,swipe_left
1632,swipe_left
1680,swipe_left
1712,swipe_left
1744,swipe_left
1776,swipe_left
1808,swipe_left
1840,swipe_left
1872,swipe_left
1904,swipe_left
1936,swipe_left
1968,swipe_left
2000,swipe_left
2031,swipe_left
2080,swipe_left
2112,swipe_left
2144,idle
2176,idle
2208,idle
2240,idle
2272,idle
2304,idle
2336,idle
2368,idle
2400,idle
2432,idle
2480,idle
2512,idle
2544,idle
2576,idle
2608,idle
2640,idle
2672,idle
2704,idle
2736,idle
2768,idle
2800,idle
2832,idle
2864,idle
2912,idle
2944,idle
2976,idle
3008,idle
3040,idle
3072,idle
3104,idle
3136,idle
3168,idle
3200,idle
3232,idle
3264,idle
3312,idle
3344,idle
3375,idle
3407,swipe_left
3440,swipe_left
3472,swipe_left
3504,swipe_left
3536,swipe_left
3567,swipe_left
3600,swipe_left
3632,swipe_left
3663,swipe_left
3712,swipe_left
3744,swipe_left
3776,swipe_left
3808,swipe_left
3840,swipe_left
3871,swipe_left
3904,swipe_left
3936,swipe_left
3968,swipe_left
3999,swipe_left
4032,swipe_left
4064,swipe_left
4112,swipe_left
4144,swipe_left
4175,swipe_left
4207,swipe_left
4240,swipe_left
4272,swipe_left
4304,swipe_left
4336,swipe_left
4384,swipe_left
4416,swipe_left
4447,swipe_left
4480,swipe_left
4511,swipe_left
4544,swipe_left
4576,swipe_left
4623,swipe_left
4655,swipe_left
4687,swipe_left
4719,idle
4752,idle
4784,idle
4816,idle
4864,idle
4895,idle
4927,idle
4960,idle
4992,idle
5024,idle
5055,idle
5088,idle
5136,idle
5167,idle
5200,idle
5232,idle
5264,idle
5296,idle
5328,idle
5376,idle
5407,idle
5440,idle
5472,idle
5504,idle
5536,idle
5568,idle
5615,idle
5648,idle
5680,idle
5711,idle
5744,idle
5776,idle
5808,idle
5839,idle
5887,idle
5920,idle
5952,idle
5984,idle
6016,swipe_left
6047,swipe_left
6080,swipe_left
6112,swipe_left
6160,swipe_left
6191,swipe_left
6224,swipe_left
6255,swipe_left
6288,swipe_left
6320,swipe_left
6352,swipe_left
6384,swipe_left
6416,swipe_left
6448,swipe_left
6480,swipe_left
6512,swipe_left
6559,swipe_left
6591,swipe_left
6624,swipe_left
6656,swipe_left
6687,swipe_left
6720,swipe_left
6752,swipe_left
6784,swipe_left
6816,swipe_left
6848,swipe_left
6880,swipe_left
6912,swipe_left
6959,swipe_left
6991,swipe_left
7024,swipe_left
7056,swipe_left
7088,swipe_left
7120,swipe_left
7152,idle
7184,idle
7216,idle
7247,idle
7280,idle
7312,idle
7359,idle
7392,idle
7424,idle
7455,idle
7487,idle
7520,idle
7552,idle
7584,idle
7616,idle
7648,idle
7680,idle
7712,idle
7759,idle
7791,idle
7824,idle
7856,idle
7888,idle
7920,idle
7952,idle
7984,idle
8031,idle
8064,idle
8096,idle
8128,idle
8160,idle
8192,idle
8224,idle
8271,idle
8304,idle
8336,idle
8368,idle
8400,idle
8432,idle
8464,idle
8511,idle
8543,idle
8576,idle
8608,idle
8640,idle
8672,idle
8704,idle
8736,idle
8784,idle
8816,idle
8848,swipe_left
8880,swipe_left
8912,swipe_left
8944,swipe_left
8976,swipe_left
9008,swipe_left
9055,swipe_left
9088,swipe_left
9120,swipe_left
9152,swipe_left
9184,swipe_left
9216,swipe_left
9248,swipe_left
9280,swipe_left
9312,swipe_left
9344,swipe_left
9376,swipe_left
9408,swipe_left
9456,swipe_left
9488,swipe_left
9520,swipe_left
9552,swipe_left
9584,swipe_left
9616,swipe_left
9648,swipe_left
9680,swipe_left
9712,swipe_left
9744,swipe_left
9775,swipe_left
9808,swipe_left
9856,swipe_left
9888,swipe_left
9920,swipe_left
9952,swipe_left
9984,swipe_left
10016,swipe_left
10048,swipe_left
10080,swipe_left
10112,swipe_left
10144,swipe_left
10176,swipe_left
10208,swipe_left
10256,swipe_left
10287,swipe_left
10320,swipe_left
10352,swipe_left
10384,swipe_left
10416,swipe_left
10448,swipe_left
10480,idle
10512,idle
10544,idle
10576,idle
10608,idle
10656,idle
10687,idle
10720,idle
10752,idle
10784,idle
10816,idle
10848,idle
10880,idle
10912,idle
10944,idle
10976,idle
11008,idle
11056,idle
11087,idle
11120,idle
11152,idle
11184,idle
11216,idle
11248,idle
11280,idle
11312,idle
11344,idle
11376,idle
11423,idle
11456,idle
11488,idle
11520,idle
11552,idle
11584,idle
11616,idle
11664,idle
11696,idle
11728,idle
11760,idle
11792,idle
11824,idle
11856,idle
11904,idle
11935,idle
11968,idle
12000,idle
12032,idle
12064,idle
12096,idle
12128,idle
12176,idle
12208,idle
12240,idle
12272,idle
12304,idle
12336,idle
12368,idle
12400,idle
12432,idle
12464,idle
12512,swipe_left
12544,swipe_left
12576,swipe_left
12608,swipe_left
12640,swipe_left
12672,swipe_left
12704,swipe_left
12736,swipe_left
12768,swipe_left
12800,swipe_left
12832,swipe_left
12864,swipe_left
12896,swipe_left
12944,swipe_left
12976,swipe_left
13008,swipe_left
13040,swipe_left
13072,swipe_left
13104,swipe_left
13136,swipe_left
13168,swipe_left
13200,swipe_left
13232,swipe_left
13264,swipe_left
13296,swipe_left
13344,swipe_left
13376,swipe_left
13408,swipe_left
13440,swipe_left
13472,swipe_left
13504,swipe_left
13536,swipe_left
13568,swipe_left
13600,swipe_left
13632,swipe_left
13664,swipe_left
13696,swipe_left
13744,swipe_left
13776,swipe_left
13808,swipe_left
13840,swipe_left
13872,idle
13904,idle
13936,idle
13968,idle
14000,idle
14032,idle
14064,idle
14096,idle
14144,idle
14176,idle
14208,idle
14240,idle
14272,idle
14304,idle
14336,idle
14368,idle
14400,idle
14432,idle
14464,idle
14496,idle
14544,idle
14576,idle
14608,idle
14640,idle
14672,idle
14704,idle
14736,idle
14768,idle
14800,idle
14832,idle
14879,idle
14912,idle
14944,idle
14976,idle
15008,idle
15040,idle
15072,idle
15120,idle
15152,idle
15184,idle
15216,idle
15248,idle
15280,idle
15312,idle
15360,idle
15391,idle
15424,idle
15456,idle
15488,idle
15520,idle
15552,idle
15584,idle
15632,swipe_left
15664,swipe_left
15696,swipe_left
15728,swipe_left
15760,swipe_left
15792,swipe_left
15824,swipe_left
15872,swipe_left
15904,swipe_left
15936,swipe_left
15968,swipe_left
16000,swipe_left
16032,swipe_left
16064,swipe_left
16096,swipe_left
16128,swipe_left
16160,swipe_left
16192,swipe_left
16240,swipe_left
16272,swipe_left
16304,swipe_left
16336,swipe_left
16368,swipe_left
16400,swipe_left
16432,swipe_left
16464,swipe_left
16496,swipe_left
16528,swipe_left
16560,swipe_left
16592,swipe_left
16640,swipe_left
16671,swipe_left
16704,swipe_left
16736,swipe_left
16768,idle
16800,idle
16832,idle
16864,idle
16896,idle
16928,idle
16960,idle
16992,idle
17040,idle
17072,idle
17104,idle
17136,idle
17168,idle
17200,idle
17232,idle
17264,idle
17296,idle
17328,idle
17360,idle
17392,idle
17424,idle
17471,idle
17504,idle
17536,idle
17568,idle
17600,idle
17632,idle
17664,idle
17696,idle
17728,idle
17760,idle
17792,idle
17824,idle
17871,idle
17904,idle
17936,idle
17968,idle
18000,idle
18032,idle
18064,idle
18096,idle
18128,idle
18160,idle
18192,idle
18224,idle
18271,idle
18304,idle
18336,idle
18368,idle
18400,idle
18432,idle
18464,idle
18496,idle
18528,idle
18560,idle
18592,idle
18624,idle
18671,idle
18704,idle
18736,idle
18768,idle
18800,idle
18832,idle
18864,idle
18896,idle
18928,idle
18960,idle
18992,idle
19024,idle
19072,idle
19103,idle
19136,idle
19168,idle
19200,idle
19232,idle
19264,idle
19296,idle
19328,idle
19360,idle
19392,idle
19424,idle
19472,idle
19503,idle
19536,idle
19568,swipe_left
19600,swipe_left
19632,swipe_left
19664,swipe_left
19696,swipe_left
19728,swipe_left
19760,swipe_left
19792,swipe_left
19824,swipe_left
19871,swipe_left
19904,swipe_left
19936,swipe_left
19968,swipe_left
20000,swipe_left
20032,swipe_left
20064,swipe_left
20096,swipe_left
20128,swipe_left
20160,swipe_left
20192,swipe_left
20224,swipe_left
20256,swipe_left
20303,swipe_left
20336,swipe_left
20368,swipe_left
20400,swipe_left
20432,swipe_left
20464,swipe_left
20496,swipe_left
20528,swipe_left
20560,swipe_left
20592,swipe_left
20624,swipe_left
20656,swipe_left
20704,swipe_left
20736,swipe_left
20768,swipe_left
20800,swipe_left
20832,swipe_left
20864,swipe_left
20896,swipe_left
20928,swipe_left
20960,swipe_left
20992,swipe_left
21024,swipe_left
21056,idle
21104,idle
21136,idle
21168,idle
21200,idle
21232,idle
21264,idle
21296,idle
21328,idle
21360,idle
21392,idle
21424,idle
21456,idle
21504,idle
21536,idle
21568,idle
21600,idle
21632,idle
21664,idle
21696,idle
21728,idle
21760,idle
21792,idle
21824,idle
21856,idle
21904,idle
21936,idle
21968,idle
22000,idle
22032,idle
22064,idle
22096,idle
22128,idle
22160,idle
22192,idle
22224,idle
22256,idle
22303,idle
22336,idle
22368,idle
22400,idle
22432,idle
22464,swipe_left
22496,swipe_left
22528,swipe_left
22560,swipe_left
22592,swipe_left
22624,swipe_left
22656,swipe_left
22704,swipe_left
22736,swipe_left
22768,swipe_left
22800,swipe_left
22832,swipe_left
22864,swipe_left
22896,swipe_left
22928,swipe_left
22960,swipe_left
22992,swipe_left
23024,swipe_left
23056,swipe_left
23088,swipe_left
23136,swipe_left
23168,swipe_left
23200,swipe_left
23232,swipe_left
23264,swipe_left
23296,swipe_left
23328,swipe_left
23360,swipe_left
23392,swipe_left
23424,swipe_left
23456,swipe_left
23488,swipe_left
23536,swipe_left
23568,swipe_left
23600,swipe_left
23632,swipe_left
23664,swipe_left
23696,swipe_left
23728,idle
23760,idle
23792,idle
23824,idle
23856,idle
