timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
333,idle
366,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,idle
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,swipe_left
2566,swipe_left
2600,swipe_left
2633,swipe_left
2666,swipe_left
2700,swipe_left
2733,swipe_left
2766,swipe_left
2800,swipe_left
2833,swipe_left
2866,swipe_left
2900,swipe_left
2933,swipe_left
2966,swipe_left
3000,swipe_left
3033,swipe_left
3066,swipe_left
3100,swipe_left
3133,swipe_left
3166,swipe_left
3200,swipe_left
3233,swipe_left
3266,swipe_left
3300,swipe_left
3333,swipe_left
3366,swipe_left
3400,swipe_left
3433,swipe_left
3466,swipe_left
3500,swipe_left
3533,swipe_left
3566,swipe_left
3600,swipe_left
3633,swipe_left
3666,swipe_left
3699,swipe_left
3733,swipe_left
3766,swipe_left
3800,swipe_left
3833,swipe_left
3866,swipe_left
3900,swipe_left
3933,swipe_left
3966,swipe_left
4000,swipe_left
4033,swipe_left
4066,swipe_left
4100,swipe_left
4133,swipe_left
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,idle
4433,idle
4466,idle
4500,idle
4533,idle
4566,idle
4600,idle
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,idle
5166,idle
5200,idle
5233,swipe_left
5266,swipe_left
5300,swipe_left
5333,swipe_left
5366,swipe_left
5400,swipe_left
5433,swipe_left
5466,swipe_left
5500,swipe_left
5533,swipe_left
5566,swipe_left
5600,swipe_left
5633,swipe_left
5666,swipe_left
5700,swipe_left
5733,swipe_left
5766,swipe_left
5800,swipe_left
5833,swipe_left
5866,swipe_left
5900,swipe_left
5933,swipe_left
5966,swipe_left
6000,swipe_left
6033,swipe_left
6066,swipe_left
6100,swipe_left
6133,swipe_left
6166,swipe_left
6200,swipe_left
6233,swipe_left
6266,swipe_left
6300,swipe_left
6333,swipe_left
6366,swipe_left
6400,swipe_left
6433,swipe_left
6466,swipe_left
6500,swipe_left
6533,swipe_left
6566,swipe_left
6600,swipe_left
6633,swipe_left
6666,swipe_left
6700,swipe_left
6733,swipe_left
6766,swipe_left
6800,idle
6833,idle
6866,idle
6899,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,idle
7133,idle
7166,idle
7200,idle
7233,idle
7266,idle
7300,idle
7333,idle
7366,idle
7399,idle
7433,idle
7466,idle
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,idle
7800,idle
7833,idle
7866,idle
7899,idle
7933,idle
7966,idle
8000,idle
8033,idle
8066,idle
8100,idle
8133,idle
8166,idle
8200,idle
8233,idle
8266,idle
8300,idle
8333,idle
8366,idle
8400,idle
8433,idle
8466,idle
8500,idle
8533,idle
8566,idle
8600,idle
8633,idle
8666,swipe_left
8700,swipe_left
8733,swipe_left
8766,swipe_left
8800,swipe_left
8833,swipe_left
8866,swipe_left
8900,swipe_left
8933,swipe_left
8966,swipe_left
9000,swipe_left
9033,swipe_left
9066,swipe_left
9100,swipe_left
9133,swipe_left
9166,swipe_left
9200,swipe_left
9233,swipe_left
9266,swipe_left
9300,swipe_left
9333,swipe_left
9366,swipe_left
9400,swipe_left
9433,swipe_left
9466,swipe_left
9500,swipe_left
9533,swipe_left
9566,swipe_left
9600,swipe_left
9633,swipe_left
9666,swipe_left
9700,swipe_left
9733,swipe_left
9766,swipe_left
9800,swipe_left
9833,swipe_left
9866,swipe_left
9900,swipe_left
9933,swipe_left
9966,swipe_left
10000,swipe_left
10033,swipe_left
10066,swipe_left
10100,swipe_left
10133,swipe_left
10166,swipe_left
10200,swipe_left
10233,swipe_left
10266,swipe_left
10300,swipe_left
10333,swipe_left
10366,swipe_left
10400,swipe_left
10433,swipe_left
10466,swipe_left
10500,swipe_left
10533,swipe_left
10566,swipe_left
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,swipe_left
11933,swipe_left
11966,swipe_left
12000,swipe_left
12033,swipe_left
12066,swipe_left
12100,swipe_left
12133,swipe_left
12166,swipe_left
12200,swipe_left
12233,swipe_left
12266,swipe_left
12300,swipe_left
12333,swipe_left
12366,swipe_left
12400,swipe_left
12433,swipe_left
12466,swipe_left
12500,swipe_left
12533,swipe_left
12566,swipe_left
12600,swipe_left
12633,swipe_left
12666,swipe_left
12700,swipe_left
12733,swipe_left
12766,swipe_left
12800,swipe_left
12833,swipe_left
12866,swipe_left
12900,swipe_left
12933,swipe_left
12966,swipe_left
13000,swipe_left
13033,swipe_left
13066,swipe_left
13100,swipe_left
13133,swipe_left
13166,swipe_left
13200,swipe_left
13233,swipe_left
13266,swipe_left
13299,swipe_left
13333,swipe_left
13366,swipe_left
13400,swipe_left
13433,swipe_left
13466,swipe_left
13500,swipe_left
13533,swipe_left
13566,swipe_left
13600,swipe_left
13633,swipe_left
13666,swipe_left
13700,swipe_left
13733,idle
13766,idle
13799,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,idle
14200,idle
14233,idle
14266,idle
14299,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14799,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,idle
15066,idle
15100,idle
15133,idle
15166,idle
15200,idle
15233,idle
15266,idle
15299,idle
15333,idle
15366,idle
15400,idle
15433,idle
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15799,idle
15833,idle
15866,idle
15900,idle
15933,idle
15966,idle
16000,idle
16033,idle
16066,idle
16100,idle
16133,idle
16166,idle
16200,idle
16233,idle
16266,idle
16300,idle
16333,swipe_left
16366,swipe_left
16400,swipe_left
16433,swipe_left
16466,swipe_left
16500,swipe_left
16533,swipe_left
16566,swipe_left
16600,swipe_left
16633,swipe_left
16666,swipe_left
16700,swipe_left
16733,swipe_left
16766,swipe_left
16800,swipe_left
16833,swipe_left
16866,swipe_left
16900,swipe_left
16933,swipe_left
16966,swipe_left
17000,swipe_left
17033,swipe_left
17066,swipe_left
17100,swipe_left
17133,swipe_left
17166,swipe_left
17200,swipe_left
17233,swipe_left
17266,swipe_left
17300,swipe_left
17333,swipe_left
17366,swipe_left
17400,swipe_left
17433,swipe_left
17466,swipe_left
17500,swipe_left
17533,swipe_left
17566,swipe_left
17600,swipe_left
17633,swipe_left
17666,swipe_left
17700,swipe_left
17733,swipe_left
17766,swipe_left
17800,swipe_left
17833,swipe_left
17866,swipe_left
17900,swipe_left
17933,swipe_left
17966,swipe_left
18000,swipe_left
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,idle
18300,idle
18333,idle
18366,idle
18400,idle
18433,idle
18466,idle
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,idle
18733,idle
18766,idle
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,idle
19000,idle
19033,idle
19066,idle
19100,idle
19133,idle
19166,idle
19200,idle
19233,idle
19266,idle
19300,idle
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,idle
19533,idle
19566,idle
19600,idle
19633,idle
19666,idle
19700,idle
19733,idle
19766,idle
19800,idle
19833,idle
19866,idle
19900,idle
19933,idle
19966,idle
20000,idle
20033,idle
20066,idle
20100,idle
20133,idle
20166,idle
20200,idle
20233,idle
20266,idle
20300,idle
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,swipe_left
20966,swipe_left
21000,swipe_left
21033,swipe_left
21066,swipe_left
21100,swipe_left
21133,swipe_left
21166,swipe_left
21200,swipe_left
21233,swipe_left
21266,swipe_left
21300,swipe_left
21333,swipe_left
21366,swipe_left
21400,swipe_left
21433,swipe_left
21466,swipe_left
21500,swipe_left
21533,swipe_left
21566,swipe_left
21600,swipe_left
21633,swipe_left
21666,swipe_left
21700,swipe_left
21733,swipe_left
21766,swipe_left
21800,swipe_left
21833,swipe_left
21866,swipe_left
21900,swipe_left
21933,swipe_left
21966,swipe_left
22000,swipe_left
22033,swipe_left
22066,swipe_left
22100,swipe_left
22133,swipe_left
22166,swipe_left
22200,swipe_left
22233,swipe_left
22266,swipe_left
22300,swipe_left
22333,swipe_left
22366,swipe_left
22400,swipe_left
22433,swipe_left
22466,swipe_left
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,idle
22766,idle
22800,idle
22833,idle
22866,idle
22900,idle
22933,idle
22966,idle
23000,idle
23033,idle
23066,idle
23100,idle
23133,idle
23166,idle
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,idle
23833,idle
23866,idle
23900,idle
23933,idle
23966,idle
24000,idle
24033,idle
24066,idle
24100,idle
24133,idle
24166,idle
24200,idle
24233,idle
24266,idle
24300,idle
24333,idle
24366,idle
24400,idle
24433,idle
24466,idle
24500,idle
24533,idle
24566,idle
24600,idle
24633,idle
24666,idle
24700,idle
24733,idle
24766,idle
24800,idle
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,swipe_left
25333,swipe_left
25366,swipe_left
25400,swipe_left
25433,swipe_left
25466,swipe_left
25500,swipe_left
25533,swipe_left
25566,swipe_left
25600,swipe_left
25633,swipe_left
25666,swipe_left
25700,swipe_left
25733,swipe_left
25766,swipe_left
25800,swipe_left
25833,swipe_left
25866,swipe_left
25900,swipe_left
25933,swipe_left
25966,swipe_left
26000,swipe_left
26033,swipe_left
26066,swipe_left
26099,swipe_left
26133,swipe_left
26166,swipe_left
26200,swipe_left
26233,swipe_left
26266,swipe_left
26300,swipe_left
26333,swipe_left
26366,swipe_left
26400,swipe_left
26433,swipe_left
26466,swipe_left
26500,swipe_left
26533,swipe_left
26566,swipe_left
26599,swipe_left
26633,swipe_left
26666,swipe_left
26700,swipe_left
26733,swipe_left
26766,swipe_left
26800,swipe_left
26833,idle
26866,idle
26900,idle
26933,idle
26966,idle
27000,idle
27033,idle
27066,idle
27099,idle
27133,idle
27166,idle
27200,idle
27233,idle
27266,idle
27300,idle
27333,idle
27366,idle
27400,idle
27433,idle
27466,idle
27500,idle
27533,idle
27566,idle
27599,idle
27633,idle
27666,idle
27700,idle
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28599,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,idle
29066,idle
29099,idle
29133,idle
29166,idle
29200,idle
29233,idle
29266,idle
29300,idle
29333,idle
29366,idle
29400,idle
29433,idle
29466,idle
29500,idle
29533,idle
29566,idle
29599,idle
29633,idle
29666,idle
29700,idle
29733,idle
29766,idle
29800,idle
29833,idle
29866,idle
29900,idle
29933,idle
29966,idle
30000,idle
30033,idle
30066,idle
30099,idle
30133,idle
30166,idle
