timestamp,ground_truth
0,idle
31,idle
64,idle
96,idle
129,idle
175,idle
208,idle
239,idle
272,idle
304,idle
336,idle
368,idle
400,idle
432,idle
464,idle
496,idle
528,idle
575,idle
608,idle
640,idle
672,idle
704,idle
736,idle
768,idle
800,idle
832,idle
864,idle
896,idle
928,idle
976,idle
1007,idle
1039,idle
1072,idle
1104,idle
1136,idle
1168,idle
1200,idle
1232,idle
1264,idle
1296,idle
1328,idle
1376,idle
1407,idle
1440,idle
1472,idle
1504,idle
1536,idle
1567,idle
1600,idle
1632,idle
1664,idle
1696,idle
1728,idle
1776,idle
1807,idle
1840,idle
1872,idle
1904,idle
1935,idle
1968,idle
2000,idle
2032,idle
2064,idle
2096,idle
2128,idle
2160,idle
2207,idle
2240,idle
2272,idle
2304,idle
2336,idle
2368,idle
2400,idle
2432,idle
2464,idle
2496,idle
2528,idle
2560,idle
2608,idle
2640,idle
2672,idle
2704,idle
2735,swipe_left
2768,swipe_left
2800,swipe_left
2832,swipe_left
2864,swipe_left
2896,swipe_left
2928,swipe_left
2960,swipe_left
3007,swipe_left
3040,swipe_left
3072,swipe_left
3103,swipe_left
3136,swipe_left
3168,swipe_left
3200,swipe_left
3232,swipe_left
3264,swipe_left
3296,swipe_left
3328,swipe_left
3360,swipe_left
3407,swipe_left
3439,swipe_left
3472,swipe_left
3504,swipe_left
3536,swipe_left
3568,swipe_left
3600,swipe_left
3632,swipe_left
3664,swipe_left
3696,swipe_left
3728,swipe_left
3760,swipe_left
3808,swipe_left
3840,swipe_left
3872,swipe_left
3904,swipe_left
3936,swipe_left
3968,swipe_left
4000,swipe_left
4032,swipe_left
4064,swipe_left
4096,idle
4128,idle
4160,idle
4207,idle
4239,idle
4272,idle
4304,idle
4336,idle
4368,idle
4400,idle
4432,idle
4464,idle
4496,idle
4528,idle
4560,idle
4592,idle
4639,idle
4672,idle
4704,idle
4736,idle
4767,idle
4800,idle
4832,idle
4864,idle
4896,idle
4928,idle
4960,idle
4992,idle
5039,idle
5072,idle
5103,idle
5135,idle
5168,idle
5200,idle
5232,idle
5264,idle
5296,idle
5328,idle
5360,idle
5407,idle
5439,idle
5472,idle
5504,idle
5536,idle
5567,idle
5600,idle
5632,idle
5680,idle
5712,idle
5744,idle
5776,idle
5808,idle
5840,idle
5872,idle
5919,idle
5952,idle
5984,idle
6016,idle
6048,idle
6080,idle
6112,idle
6160,idle
6192,idle
6224,swipe_left
6255,swipe_left
6287,swipe_left
6319,swipe_left
6352,swipe_left
6384,swipe_left
6431,swipe_left
6463,swipe_left
6496,swipe_left
6527,swipe_left
6559,swipe_left
6592,swipe_left
6624,swipe_left
6656,swipe_left
6687,swipe_left
6736,swipe_left
6768,swipe_left
6799,swipe_left
6832,swipe_left
6864,swipe_left
6896,swipe_left
6928,swipe_left
6960,swipe_left
6992,swipe_left
7024,swipe_left
7055,swipe_left
7088,swipe_left
7136,swipe_left
7168,swipe_left
7200,swipe_left
7232,swipe_left
7264,swipe_left
7295,swipe_left
7328,swipe_left
7360,swipe_left
7392,swipe_left
7424,swipe_left
7456,swipe_left
7488,swipe_left
7535,swipe_left
7568,swipe_left
7600,swipe_left
7632,idle
7664,idle
7696,idle
7728,idle
7760,idle
7792,idle
7824,idle
7856,idle
7888,idle
7936,idle
7967,idle
8000,idle
8032,idle
8064,idle
8096,idle
8128,idle
8160,idle
8192,idle
8224,idle
8256,idle
8288,idle
8335,idle
8367,idle
8400,idle
8432,idle
8464,idle
8496,idle
8528,idle
8560,idle
8592,idle
8624,idle
8656,idle
8688,idle
8735,idle
8767,idle
8800,idle
8832,idle
8864,idle
8896,idle
8928,idle
8960,idle
8992,idle
9024,idle
9056,idle
9088,idle
9120,idle
9168,idle
9200,idle
9232,idle
9264,idle
9296,idle
9328,idle
9360,idle
9392,idle
9424,idle
9456,idle
9488,idle
9520,idle
9568,idle
9600,idle
9632,idle
9664,idle
9696,idle
9728,idle
9760,idle
9792,idle
9824,idle
9856,idle
9888,idle
9920,idle
9968,idle
10000,idle
10032,idle
10064,idle
10096,idle
10128,idle
10160,idle
10192,idle
10224,idle
10256,idle
10288,idle
10320,idle
10368,idle
10400,idle
10432,idle
10464,idle
10496,idle
10528,idle
10560,idle
10592,idle
10624,idle
10656,idle
10688,idle
10720,idle
10767,idle
10800,idle
10832,idle
10864,idle
10896,idle
10928,idle
10960,idle
10992,idle
11024,idle
11056,swipe_left
11088,swipe_left
11120,swipe_left
11168,swipe_left
11200,swipe_left
11232,swipe_left
11264,swipe_left
11296,swipe_left
11328,swipe_left
11360,swipe_left
11392,swipe_left
11424,swipe_left
11456,swipe_left
11488,swipe_left
11520,swipe_left
11568,swipe_left
11600,swipe_left
11632,swipe_left
11664,swipe_left
11696,swipe_left
11728,swipe_left
11760,swipe_left
11792,swipe_left
11824,swipe_left
11856,swipe_left
11888,swipe_left
11920,swipe_left
11952,swipe_left
12000,swipe_left
12032,swipe_left
12064,swipe_left
12096,swipe_left
12128,swipe_left
12160,swipe_left
12192,swipe_left
12224,swipe_left
12256,swipe_left
12288,swipe_left
12320,idle
12352,idle
12400,idle
12432,idle
12464,idle
12496,idle
12528,idle
12560,idle
12592,idle
12624,idle
12656,idle
12688,idle
12720,idle
12752,idle
12800,idle
12832,idle
12864,idle
12896,idle
12928,idle
12960,idle
12992,idle
13024,idle
13056,idle
13088,idle
13119,idle
13152,idle
13200,idle
13231,idle
13264,idle
13296,idle
13328,idle
13360,idle
13392,idle
13424,idle
13456,idle
13488,idle
13520,idle
13552,idle
13600,idle
13632,idle
13664,idle
13696,idle
13728,idle
13760,idle
13792,idle
13824,idle
13856,idle
13888,idle
13920,idle
13952,idle
13999,idle
14032,idle
14064,idle
14096,idle
14128,idle
14160,idle
14192,idle
14224,idle
14256,idle
14288,idle
14336,idle
14368,idle
14400,idle
14432,idle
14464,idle
14496,idle
14528,idle
14575,idle
14607,idle
14640,idle
14672,idle
14704,idle
14736,idle
14768,idle
14800,idle
14848,idle
14880,idle
14912,idle
14944,idle
14976,idle
15008,idle
15040,idle
15072,idle
15119,idle
15152,idle
15184,idle
15215,idle
15248,idle
15280,idle
15312,idle
15344,idle
15376,idle
15408,idle
15440,idle
15472,idle
15519,idle
15552,idle
15584,idle
15616,idle
15648,idle
15680,idle
15712,idle
15744,idle
15776,idle
15808,idle
15840,idle
15872,idle
15920,idle
15952,idle
15984,idle
16016,idle
16048,idle
16080,idle
16112,idle
16144,idle
16176,idle
16208,idle
16240,idle
16272,idle
16304,idle
16352,idle
16384,idle
16416,idle
16448,idle
16480,idle
16512,idle
16544,idle
16576,idle
16608,swipe_left
16640,swipe_left
16672,swipe_left
16704,swipe_left
16752,swipe_left
16784,swipe_left
16816,swipe_left
16848,swipe_left
16880,swipe_left
16912,swipe_left
16944,swipe_left
16976,swipe_left
17008,swipe_left
17040,swipe_left
17072,swipe_left
17104,swipe_left
17152,swipe_left
17184,swipe_left
17216,swipe_left
17248,swipe_left
17280,swipe_left
17312,swipe_left
17344,swipe_left
17376,swipe_left
17408,swipe_left
17440,swipe_left
17472,swipe_left
17504,swipe_left
17552,swipe_left
17584,swipe_left
17616,swipe_left
17648,swipe_left
17680,swipe_left
17712,swipe_left
17744,swipe_left
17776,swipe_left
17808,swipe_left
17840,swipe_left
17872,swipe_left
17904,swipe_left
17952,swipe_left
17984,swipe_left
18016,swipe_left
18048,idle
18080,idle
18112,idle
18144,idle
18176,idle
18208,idle
18240,idle
18272,idle
18304,idle
18336,idle
18384,idle
18416,idle
18448,idle
18480,idle
18512,idle
18544,idle
18576,idle
18608,idle
18640,idle
18672,idle
18704,idle
18736,idle
18784,idle
18816,idle
18848,idle
18880,idle
18912,idle
18944,idle
18976,idle
19008,idle
19040,idle
19072,idle
19104,idle
19136,idle
19184,idle
19216,idle
19248,idle
19280,idle
19312,idle
19344,idle
19376,idle
19408,idle
19440,idle
19472,idle
19504,idle
19536,idle
19584,idle
19616,idle
19648,idle
19680,idle
19712,idle
19744,idle
19776,idle
19808,idle
19840,idle
19872,idle
19904,idle
19936,idle
19984,idle
20016,idle
20048,idle
20080,idle
20112,idle
20144,idle
20176,idle
20208,idle
20240,idle
20272,idle
20304,idle
20336,idle
20383,idle
20416,idle
20448,idle
20480,idle
20512,idle
20544,idle
20576,idle
20608,idle
20640,idle
20672,idle
20704,idle
20736,idle
20784,idle
20816,idle
20848,idle
20880,idle
20912,idle
20944,idle
20976,idle
21008,idle
21040,idle
21072,idle
21104,idle
21136,swipe_left
21184,swipe_left
21216,swipe_left
21248,swipe_left
21280,swipe_left
21312,swipe_left
21344,swipe_left
21376,swipe_left
21408,swipe_left
21440,swipe_left
21472,swipe_left
21504,swipe_left
21536,swipe_left
21568,swipe_left
21616,swipe_left
21648,swipe_left
21680,swipe_left
21712,swipe_left
21744,swipe_left
21776,swipe_left
21808,swipe_left
21840,swipe_left
21872,swipe_left
21904,swipe_left
21936,swipe_left
21968,swipe_left
22016,swipe_left
22048,swipe_left
22080,swipe_left
22112,swipe_left
22144,swipe_left
22176,swipe_left
22208,swipe_left
22240,swipe_left
22272,swipe_left
22304,swipe_left
22336,swipe_left
22368,swipe_left
22416,swipe_left
22447,swipe_left
22480,swipe_left
22512,swipe_left
22544,swipe_left
22576,idle
22608,idle
22640,idle
22672,idle
22704,idle
22736,idle
22768,idle
22816,idle
22848,idle
22880,idle
22912,idle
22944,idle
22976,idle
23008,idle
23040,idle
23072,idle
23104,idle
23136,idle
23168,idle
23216,idle
23248,idle
23280,idle
23312,idle
23344,idle
23376,idle
23408,idle
23440,idle
23472,idle
23504,idle
23536,idle
23568,idle
23616,idle
23648,idle
23680,idle
23712,idle
23744,idle
23776,idle
23808,idle
23840,idle
23872,idle
23904,idle
23936,idle
23968,idle
24000,idle
24047,idle
24080,idle
24112,idle
24144,idle
24176,idle
24208,idle
24240,idle
24272,idle
24304,idle
24336,idle
24368,idle
24400,idle
24448,idle
24480,idle
24512,idle
24544,idle
24576,idle
24608,idle
24640,idle
24672,idle
24704,idle
24736,idle
24768,idle
24800,idle
24847,idle
24880,idle
24912,idle
24944,idle
24976,idle
25008,idle
25040,idle
25072,idle
25104,idle
25136,idle
25168,idle
25200,idle
25248,idle
25280,idle
25312,idle
25344,idle
25376,idle
25408,idle
25440,idle
25472,idle
25504,idle
25536,idle
25568,idle
25600,idle
25648,idle
25680,idle
