timestamp,ground_truth
112,idle
144,idle
176,idle
208,idle
240,idle
272,idle
304,idle
336,idle
368,idle
400,idle
448,idle
480,idle
512,idle
544,idle
576,swipe_right
608,swipe_right
640,swipe_right
672,swipe_right
704,swipe_right
736,swipe_right
768,swipe_right
800,swipe_right
847,swipe_right
879,swipe_right
912,swipe_right
944,swipe_right
976,swipe_right
1008,swipe_right
1040,swipe_right
1072,swipe_right
1104,swipe_right
1136,swipe_right
1168,swipe_right
1200,swipe_right
1248,swipe_right
1279,swipe_right
1312,swipe_right
1344,swipe_right
1376,swipe_right
1408,swipe_right
1440,swipe_right
1472,swipe_right
1504,swipe_right
1536,swipe_right
1568,swipe_right
1600,swipe_right
1632,swipe_right
1680,swipe_right
1712,swipe_right
1744,swipe_right
1776,swipe_right
1808,swipe_right
1840,swipe_right
1872,swipe_right
1904,swipe_right
1936,idle
1968,idle
2000,idle
2032,idle
2080,idle
2112,idle
2144,idle
2176,idle
2208,idle
2240,idle
2272,idle
2304,idle
2336,idle
2368,idle
2400,idle
2431,idle
2480,idle
2512,idle
2544,idle
2576,idle
2608,idle
2640,idle
2672,idle
2704,idle
2736,idle
2768,idle
2800,idle
2832,idle
2879,idle
2912,idle
2944,idle
2976,idle
3008,idle
3040,idle
3072,idle
3104,idle
3135,idle
3168,idle
3200,idle
3232,idle
3280,idle
3312,idle
3344,idle
3376,idle
3408,idle
3440,idle
3472,idle
3504,swipe_right
3535,swipe_right
3568,swipe_right
3600,swipe_right
3632,swipe_right
3680,swipe_right
3711,swipe_right
3744,swipe_right
3776,swipe_right
3808,swipe_right
3840,swipe_right
3872,swipe_right
3904,swipe_right
3936,swipe_right
3968,swipe_right
4000,swipe_right
4032,swipe_right
4080,swipe_right
4112,swipe_right
4144,swipe_right
4176,swipe_right
4208,swipe_right
4240,swipe_right
4272,swipe_right
4304,swipe_right
4336,swipe_right
4368,swipe_right
4400,swipe_right
4432,swipe_right
4464,swipe_right
4512,swipe_right
4544,swipe_right
4576,swipe_right
4608,swipe_right
4640,swipe_right
4672,idle
4704,idle
4736,idle
4768,idle
4800,idle
4832,idle
4864,idle
4912,idle
4944,idle
4976,idle
5008,idle
5040,idle
5072,idle
5104,idle
5136,idle
5168,idle
5200,idle
5232,idle
5264,idle
5312,idle
5344,idle
5376,idle
5408,idle
5440,idle
5472,idle
5504,idle
5536,idle
5568,idle
5600,idle
5632,idle
5664,idle
5711,idle
5744,idle
5776,idle
5808,idle
5840,idle
5872,idle
5904,idle
5936,idle
5968,idle
6000,idle
6032,idle
6064,idle
6112,idle
6144,idle
6176,idle
6208,idle
6240,idle
6272,idle
6304,idle
6336,idle
6368,swipe_right
6416,swipe_right
6448,swipe_right
6480,swipe_right
6512,swipe_right
6544,swipe_right
6576,swipe_right
6608,swipe_right
6656,swipe_right
6688,swipe_right
6720,swipe_right
6752,swipe_right
6784,swipe_right
6816,swipe_right
6848,swipe_right
6880,swipe_right
6928,swipe_right
6960,swipe_right
6992,swipe_right
7024,swipe_right
7056,swipe_right
7088,swipe_right
7120,swipe_right
7168,swipe_right
7200,swipe_right
7232,swipe_right
7264,swipe_right
7296,swipe_right
7328,swipe_right
7360,swipe_right
7392,swipe_right
7440,idle
7472,idle
7504,idle
7536,idle
7568,idle
7600,idle
7632,idle
7664,idle
7696,idle
7744,idle
7776,idle
7808,idle
7840,idle
7872,idle
7904,idle
7936,idle
7968,idle
8000,idle
8032,idle
8064,idle
8096,idle
8144,idle
8176,idle
8208,idle
8240,idle
8272,idle
8304,idle
8336,idle
8368,idle
8400,idle
8432,idle
8464,idle
8496,idle
8528,idle
8576,idle
8608,idle
8640,idle
8672,idle
8704,idle
8736,idle
8768,idle
8800,idle
8832,idle
8864,idle
8896,idle
8928,idle
8976,idle
9008,idle
9040,idle
9072,idle
9104,idle
9136,idle
9168,idle
9200,idle
9232,idle
9264,idle
9296,idle
9328,idle
9376,idle
9408,idle
9440,idle
9472,idle
9504,idle
9536,idle
9568,swipe_right
9600,swipe_right
9632,swipe_right
9664,swipe_right
9696,swipe_right
9728,swipe_right
9776,swipe_right
9808,swipe_right
9840,swipe_right
9872,swipe_right
9904,swipe_right
9936,swipe_right
9968,swipe_right
10000,swipe_right
10032,swipe_right
10064,swipe_right
10096,swipe_right
10128,swipe_right
10176,swipe_right
10208,swipe_right
10240,swipe_right
10272,swipe_right
10304,swipe_right
10336,swipe_right
10368,swipe_right
10400,swipe_right
10432,swipe_right
10464,swipe_right
10496,swipe_right
10528,idle
10576,idle
10607,idle
10640,idle
10672,idle
10704,idle
10736,idle
10768,idle
10800,idle
10832,idle
10864,idle
10912,idle
10944,idle
10976,idle
11008,idle
11040,idle
11072,idle
11104,idle
11152,idle
11184,idle
11216,idle
11248,idle
11280,idle
11312,idle
11344,idle
11376,idle
11424,idle
11456,idle
11488,idle
11520,idle
11552,idle
11584,idle
11616,idle
11664,idle
11696,idle
11728,idle
11760,idle
11792,idle
11824,idle
11856,idle
11903,idle
11936,idle
11968,idle
12000,idle
12032,idle
12064,idle
12096,idle
12128,idle
12160,idle
12192,idle
12224,idle
12272,idle
12304,idle
12336,idle
12368,idle
12400,idle
12432,idle
12464,idle
12496,idle
12528,idle
12560,idle
12592,idle
12624,idle
12672,idle
12704,idle
12736,idle
12768,idle
12800,idle
12832,idle
12864,idle
12896,idle
12928,idle
12960,idle
12992,idle
13024,idle
13072,idle
13103,idle
13136,idle
13168,idle
13200,idle
13232,idle
13264,idle
13296,idle
13328,idle
13360,idle
13392,idle
13424,idle
13456,idle
13504,idle
13536,idle
13568,idle
13600,idle
13632,idle
13664,idle
13696,idle
13728,idle
13760,idle
13792,idle
13824,idle
13856,idle
13904,idle
13936,idle
13968,idle
14000,idle
14032,idle
14064,idle
14096,idle
14128,idle
14160,idle
14192,idle
14224,idle
14256,idle
14304,idle
14336,idle
14368,idle
14400,idle
14432,idle
14464,idle
14496,idle
14528,idle
14560,swipe_right
14592,swipe_right
14624,swipe_right
14656,swipe_right
14704,swipe_right
14736,swipe_right
14768,swipe_right
14800,swipe_right
14832,swipe_right
14864,swipe_right
14896,swipe_right
14928,swipe_right
14960,swipe_right
14992,swipe_right
15024,swipe_right
15056,swipe_right
15104,swipe_right
15136,swipe_right
15168,swipe_right
15200,swipe_right
15232,swipe_right
15264,swipe_right
15296,swipe_right
15328,swipe_right
15360,swipe_right
15392,swipe_right
15424,swipe_right
15456,idle
15504,idle
15536,idle
15568,idle
15600,idle
15632,idle
15664,idle
15696,idle
15728,idle
15760,idle
15792,idle
15824,idle
15856,idle
15904,idle
15936,idle
15968,idle
16000,idle
16032,idle
16064,idle
16096,idle
16128,idle
16160,idle
16192,idle
16224,idle
16256,idle
16288,idle
16336,idle
16368,idle
16400,idle
16432,idle
16464,idle
16496,idle
16528,idle
16560,idle
16592,idle
16624,idle
16656,idle
16688,idle
16736,idle
16768,idle
16800,idle
16832,idle
16864,idle
16896,idle
16928,idle
16960,idle
16992,idle
17024,idle
17056,idle
17088,idle
17136,idle
17168,idle
17200,idle
17232,idle
17264,idle
17296,idle
17328,idle
17360,idle
17392,idle
17424,idle
17456,idle
17488,idle
17535,idle
17568,idle
17600,idle
17632,idle
17664,idle
17696,idle
17728,idle
17760,idle
17792,swipe_right
17824,swipe_right
17856,swipe_right
17888,swipe_right
17936,swipe_right
17968,swipe_right
18000,swipe_right
18032,swipe_right
18064,swipe_right
18096,swipe_right
18128,swipe_right
18160,swipe_right
18192,swipe_right
18224,swipe_right
18256,swipe_right
18288,swipe_right
18320,swipe_right
18368,swipe_right
18400,swipe_right
18432,swipe_right
18464,swipe_right
18496,swipe_right
18528,swipe_right
18560,swipe_right
18592,swipe_right
18624,swipe_right
18656,swipe_right
18688,swipe_right
18720,swipe_right
18768,swipe_right
18800,swipe_right
18832,swipe_right
18864,swipe_right
18896,swipe_right
18928,swipe_right
18960,swipe_right
18992,swipe_right
19024,swipe_right
19056,swipe_right
19088,swipe_right
19120,swipe_right
19168,swipe_right
19200,idle
19232,idle
19264,idle
19296,idle
19328,idle
19360,idle
19392,idle
19424,idle
19456,idle
19488,idle
19520,idle
19568,idle
19600,idle
19632,idle
19664,idle
19696,idle
19728,idle
19760,idle
19792,idle
19824,idle
19856,idle
19888,idle
19920,idle
19968,idle
20000,idle
20032,idle
20064,idle
20096,idle
20128,idle
20160,idle
20192,idle
20224,idle
20256,idle
20288,idle
20320,idle
20368,idle
20400,idle
20432,swipe_right
20464,swipe_right
20496,swipe_right
20528,swipe_right
20560,swipe_right
20592,swipe_right
20624,swipe_right
20656,swipe_right
20688,swipe_right
20720,swipe_right
20768,swipe_right
20800,swipe_right
20832,swipe_right
20864,swipe_right
20896,swipe_right
20928,swipe_right
20960,swipe_right
20992,swipe_right
21024,swipe_right
21056,swipe_right
21088,swipe_right
21120,swipe_right
21152,swipe_right
21200,swipe_right
21232,swipe_right
21264,swipe_right
21296,swipe_right
21328,swipe_right
21360,swipe_right
21392,swipe_right
21424,swipe_right
21456,swipe_right
21488,idle
21520,idle
21552,idle
21600,idle
21632,idle
21664,idle
21696,idle
21728,idle
21760,idle
21792,idle
21824,idle
21856,idle
21888,idle
21920,idle
21952,idle
22000,idle
22032,idle
22064,idle
22096,idle
22128,idle
22160,idle
22192,idle
22224,idle
22256,idle
22288,idle
22336,idle
22368,idle
22400,idle
22432,idle
22464,idle
22496,idle
22528,idle
22576,idle
22608,idle
22640,idle
22672,swipe_right
22704,swipe_right
22736,swipe_right
22768,swipe_right
22800,swipe_right
22848,swipe_right
22880,swipe_right
22912,swipe_right
22944,swipe_right
22976,swipe_right
23008,swipe_right
23040,swipe_right
23088,swipe_right
23120,swipe_right
23152,swipe_right
23184,swipe_right
23216,swipe_right
23248,swipe_right
23280,swipe_right
23328,swipe_right
23360,swipe_right
23392,swipe_right
23424,swipe_right
23456,swipe_right
23488,swipe_right
23520,swipe_right
23552,swipe_right
23600,swipe_right
23632,swipe_right
23664,swipe_right
23696,swipe_right
23728,swipe_right
23760,swipe_right
23792,idle
23824,idle
23856,idle
23904,idle
23936,idle
23968,idle
24000,idle
24032,idle
24064,idle
24096,idle
24128,idle
24160,idle
24192,idle
24224,idle
24256,idle
24304,idle
24336,idle
24368,idle
24400,idle
24432,idle
24464,idle
24496,idle
24528,idle
24560,idle
24592,idle
24624,idle
24656,idle
24704,idle
24736,idle
24768,idle
24800,idle
24832,idle
24864,idle
24896,idle
24928,idle
24960,idle
24992,idle
25024,idle
25056,idle
25088,idle
25136,idle
25168,idle
25200,idle
25232,idle
25264,idle
25296,idle
25328,idle
25360,idle
25392,idle
