timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,idle
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,idle
2566,idle
2600,idle
2633,idle
2666,idle
2700,idle
2733,swipe_right
2766,swipe_right
2800,swipe_right
2833,swipe_right
2866,swipe_right
2900,swipe_right
2933,swipe_right
2966,swipe_right
3000,swipe_right
3033,swipe_right
3066,swipe_right
3100,swipe_right
3133,swipe_right
3166,swipe_right
3200,swipe_right
3233,swipe_right
3266,swipe_right
3300,swipe_right
3333,swipe_right
3366,swipe_right
3400,swipe_right
3433,swipe_right
3466,swipe_right
3500,swipe_right
3533,swipe_right
3566,swipe_right
3600,swipe_right
3633,swipe_right
3666,swipe_right
3699,swipe_right
3733,swipe_right
3766,swipe_right
3800,swipe_right
3833,swipe_right
3866,swipe_right
3900,swipe_right
3933,swipe_right
3966,swipe_right
4000,swipe_right
4033,swipe_right
4066,swipe_right
4100,swipe_right
4133,swipe_right
4166,swipe_right
4200,swipe_right
4233,swipe_right
4266,swipe_right
4300,swipe_right
4333,swipe_right
4366,swipe_right
4400,swipe_right
4433,swipe_right
4466,swipe_right
4500,swipe_right
4533,swipe_right
4566,swipe_right
4600,swipe_right
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,idle
5166,idle
5200,idle
5233,idle
5266,idle
5300,idle
5333,idle
5366,idle
5400,idle
5433,idle
5466,idle
5500,idle
5533,idle
5566,idle
5600,idle
5633,idle
5666,idle
5700,idle
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,idle
6733,idle
6766,idle
6800,idle
6833,idle
6866,idle
6899,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,swipe_right
7133,swipe_right
7166,swipe_right
7200,swipe_right
7233,swipe_right
7266,swipe_right
7300,swipe_right
7333,swipe_right
7366,swipe_right
7399,swipe_right
7433,swipe_right
7466,swipe_right
7500,swipe_right
7533,swipe_right
7566,swipe_right
7600,swipe_right
7633,swipe_right
7666,swipe_right
7700,swipe_right
7733,swipe_right
7766,swipe_right
7800,swipe_right
7833,swipe_right
7866,swipe_right
7899,swipe_right
7933,swipe_right
7966,swipe_right
8000,swipe_right
8033,swipe_right
8066,swipe_right
8100,swipe_right
8133,swipe_right
8166,swipe_right
8200,swipe_right
8233,swipe_right
8266,swipe_right
8300,swipe_right
8333,swipe_right
8366,swipe_right
8400,swipe_right
8433,swipe_right
8466,swipe_right
8500,swipe_right
8533,swipe_right
8566,swipe_right
8600,swipe_right
8633,swipe_right
8666,swipe_right
8700,swipe_right
8733,swipe_right
8766,swipe_right
8800,swipe_right
8833,swipe_right
8866,swipe_right
8900,swipe_right
8933,swipe_right
8966,swipe_right
9000,swipe_right
9033,swipe_right
9066,swipe_right
9100,idle
9133,idle
9166,idle
9200,idle
9233,idle
9266,idle
9300,idle
9333,idle
9366,idle
9400,idle
9433,idle
9466,idle
9500,idle
9533,idle
9566,idle
9600,idle
9633,idle
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,idle
9966,idle
10000,idle
10033,idle
10066,idle
10100,idle
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,idle
12200,idle
12233,idle
12266,idle
12300,idle
12333,idle
12366,idle
12400,idle
12433,idle
12466,idle
12500,idle
12533,idle
12566,idle
12600,idle
12633,idle
12666,idle
12700,idle
12733,idle
12766,idle
12800,idle
12833,idle
12866,idle
12900,idle
12933,idle
12966,idle
13000,idle
13033,idle
13066,idle
13100,idle
13133,idle
13166,idle
13200,swipe_right
13233,swipe_right
13266,swipe_right
13299,swipe_right
13333,swipe_right
13366,swipe_right
13400,swipe_right
13433,swipe_right
13466,swipe_right
13500,swipe_right
13533,swipe_right
13566,swipe_right
13600,swipe_right
13633,swipe_right
13666,swipe_right
13700,swipe_right
13733,swipe_right
13766,swipe_right
13799,swipe_right
13833,swipe_right
13866,swipe_right
13900,swipe_right
13933,swipe_right
14000,swipe_right
14033,swipe_right
14066,swipe_right
14100,swipe_right
14133,swipe_right
14166,swipe_right
14200,swipe_right
14233,swipe_right
14266,swipe_right
14299,swipe_right
14333,swipe_right
14366,swipe_right
14400,swipe_right
14433,swipe_right
14466,swipe_right
14500,swipe_right
14533,swipe_right
14566,swipe_right
14600,swipe_right
14633,swipe_right
14666,swipe_right
14700,swipe_right
14733,swipe_right
14766,swipe_right
14799,swipe_right
14833,swipe_right
14866,swipe_right
14900,swipe_right
14933,swipe_right
14966,swipe_right
15000,swipe_right
15033,swipe_right
15066,idle
15100,idle
15133,idle
15166,idle
15200,idle
15233,idle
15266,idle
15299,idle
15333,idle
15366,idle
15400,idle
15433,idle
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15799,idle
15833,idle
15866,idle
15900,idle
15933,idle
15966,idle
16000,idle
16033,idle
16066,idle
16100,idle
16133,idle
16166,idle
16200,idle
16233,idle
16266,idle
16300,idle
16333,idle
16366,idle
16400,idle
16433,idle
16466,idle
16500,idle
16533,idle
16566,idle
16600,idle
16633,idle
16666,idle
16700,idle
16733,idle
16766,idle
16800,idle
16833,idle
16866,idle
16900,idle
16933,idle
16966,idle
17000,idle
17033,idle
17066,idle
17100,idle
17133,idle
17166,idle
17200,idle
17233,idle
17266,idle
17300,idle
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,idle
17733,idle
17766,idle
17800,idle
17833,idle
17866,idle
17900,idle
17933,idle
17966,swipe_right
18000,swipe_right
18033,swipe_right
18066,swipe_right
18100,swipe_right
18133,swipe_right
18166,swipe_right
18200,swipe_right
18233,swipe_right
18266,swipe_right
18300,swipe_right
18333,swipe_right
18366,swipe_right
18400,swipe_right
18433,swipe_right
18466,swipe_right
18500,swipe_right
18533,swipe_right
18566,swipe_right
18600,swipe_right
18633,swipe_right
18666,swipe_right
18700,swipe_right
18733,swipe_right
18766,swipe_right
18800,swipe_right
18833,swipe_right
18866,swipe_right
18900,swipe_right
18933,swipe_right
18966,swipe_right
19000,swipe_right
19033,swipe_right
19066,swipe_right
19100,swipe_right
19133,swipe_right
19166,swipe_right
19200,swipe_right
19233,swipe_right
19266,swipe_right
19300,swipe_right
19333,swipe_right
19366,swipe_right
19400,swipe_right
19433,swipe_right
19466,swipe_right
19500,swipe_right
19533,swipe_right
19566,swipe_right
19600,swipe_right
19633,swipe_right
19666,swipe_right
19700,swipe_right
19733,swipe_right
19766,idle
19800,idle
19833,idle
19866,idle
19900,idle
19933,idle
19966,idle
20000,idle
20033,idle
20066,idle
20100,idle
20133,idle
20200,idle
20233,idle
20300,idle
20333,idle
20400,idle
20433,idle
20500,idle
20533,idle
20600,idle
20633,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20900,idle
20933,idle
21000,idle
21033,idle
21100,idle
21133,idle
21200,idle
21233,idle
21300,idle
21333,idle
21366,idle
21400,idle
21433,idle
21466,idle
21500,idle
21533,idle
21566,idle
21600,idle
21633,idle
21700,idle
21733,idle
21800,idle
21833,idle
21900,idle
21933,idle
21966,idle
22000,idle
22033,idle
22066,idle
22100,idle
22133,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22733,idle
22766,idle
22833,idle
22866,idle
22933,idle
22966,idle
23033,idle
23066,idle
23133,swipe_right
23166,swipe_right
23233,swipe_right
23266,swipe_right
23300,swipe_right
23333,swipe_right
23366,swipe_right
23433,swipe_right
23466,swipe_right
23533,swipe_right
23566,swipe_right
23633,swipe_right
23666,swipe_right
23733,swipe_right
23766,swipe_right
23800,swipe_right
23833,swipe_right
23866,swipe_right
23900,swipe_right
23933,swipe_right
23966,swipe_right
24000,swipe_right
24033,swipe_right
24066,swipe_right
24100,swipe_right
24133,swipe_right
24166,swipe_right
24200,swipe_right
24233,swipe_right
24266,swipe_right
24300,swipe_right
24333,swipe_right
24366,swipe_right
24433,swipe_right
24466,swipe_right
24533,swipe_right
24566,swipe_right
24633,swipe_right
24666,swipe_right
24733,swipe_right
24766,swipe_right
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25133,idle
25166,idle
25233,idle
25266,idle
25333,idle
25366,idle
25400,idle
25466,idle
25500,idle
25566,idle
25600,idle
25666,idle
25700,idle
25733,idle
25766,idle
25800,idle
25866,idle
25900,idle
25966,idle
26000,idle
26066,idle
26099,idle
26166,idle
26200,idle
26266,idle
26300,idle
26366,idle
26400,idle
26466,idle
26500,idle
26566,idle
26599,idle
26666,idle
26700,idle
26733,idle
26800,idle
26866,idle
26900,idle
26966,idle
27000,idle
27066,idle
27133,idle
27166,idle
27200,idle
27266,idle
27300,idle
27366,idle
27400,idle
27466,idle
27500,idle
27533,idle
27566,idle
27599,idle
27666,idle
27700,idle
27766,idle
27800,idle
27866,swipe_right
27900,swipe_right
27966,swipe_right
28000,swipe_right
28033,swipe_right
28066,swipe_right
28099,swipe_right
28133,swipe_right
28166,swipe_right
28200,swipe_right
28233,swipe_right
28266,swipe_right
28300,swipe_right
28333,swipe_right
28366,swipe_right
28400,swipe_right
28433,swipe_right
28500,swipe_right
28533,swipe_right
28566,swipe_right
28599,swipe_right
28633,swipe_right
28666,swipe_right
28700,swipe_right
28733,swipe_right
28800,swipe_right
28833,swipe_right
28866,swipe_right
28900,swipe_right
28933,swipe_right
28966,swipe_right
29000,swipe_right
29033,swipe_right
29066,swipe_right
29099,swipe_right
29133,swipe_right
29166,swipe_right
29200,swipe_right
29233,swipe_right
29266,swipe_right
29300,swipe_right
29333,swipe_right
29400,swipe_right
29433,swipe_right
29500,swipe_right
29533,swipe_right
29566,swipe_right
29599,swipe_right
29633,swipe_right
29700,swipe_right
29733,idle
29766,idle
29800,idle
29833,idle
29866,idle
29900,idle
29933,idle
30000,idle
30033,idle
30099,idle
30133,idle
30166,idle
30200,idle
30233,idle
30300,idle
30333,idle
30400,idle
30433,idle
30500,idle
30533,idle
30599,idle
30633,idle
30666,idle
30700,idle
30733,idle
30766,idle
30800,idle
30833,idle
30866,idle
30900,idle
30933,idle
30966,idle
31000,idle
31033,idle
31066,idle
31099,idle
31133,idle
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,idle
31366,idle
31433,idle
31466,idle
31533,idle
31566,idle
31633,idle
31666,idle
31700,idle
31733,idle
31766,idle
31800,idle
31833,idle
31866,idle
31900,idle
31933,idle
31966,idle
32000,idle
32033,idle
32066,idle
32100,idle
32133,idle
32166,idle
32200,idle
32233,idle
32266,idle
32299,idle
32333,idle
32366,idle
32400,idle
32433,idle
32466,idle
32500,idle
32533,idle
32566,idle
32600,idle
32633,idle
32666,idle
32700,idle
32733,idle
32766,idle
32800,idle
32833,idle
32866,idle
32900,idle
32933,idle
32966,swipe_right
33000,swipe_right
33033,swipe_right
33066,swipe_right
33100,swipe_right
33133,swipe_right
33166,swipe_right
33200,swipe_right
33233,swipe_right
33266,swipe_right
33300,swipe_right
33333,swipe_right
33366,swipe_right
33400,swipe_right
33433,swipe_right
33466,swipe_right
33500,swipe_right
33533,swipe_right
33566,swipe_right
33600,swipe_right
33633,swipe_right
33666,swipe_right
33700,swipe_right
33733,swipe_right
33766,swipe_right
33800,swipe_right
