timestamp,ground_truth
0,idle
33,idle
66,idle
99,idle
133,idle
166,idle
199,idle
233,idle
266,idle
299,idle
333,idle
366,idle
399,swipe_right
432,swipe_right
466,swipe_right
499,swipe_right
532,swipe_right
566,swipe_right
599,swipe_right
632,swipe_right
666,swipe_right
699,swipe_right
732,swipe_right
765,swipe_right
799,swipe_right
832,swipe_right
865,swipe_right
899,swipe_right
932,swipe_right
965,swipe_right
999,swipe_right
1032,swipe_right
1065,swipe_right
1098,swipe_right
1132,swipe_right
1165,swipe_right
1198,swipe_right
1232,swipe_right
1265,swipe_right
1298,swipe_right
1332,swipe_right
1365,swipe_right
1398,swipe_right
1431,swipe_right
1465,swipe_right
1498,swipe_right
1531,swipe_right
1565,swipe_right
1598,swipe_right
1631,swipe_right
1665,swipe_right
1698,swipe_right
1731,swipe_right
1764,swipe_right
1798,swipe_right
1831,swipe_right
1864,swipe_right
1898,swipe_right
1931,swipe_right
1964,swipe_right
1998,swipe_right
2031,swipe_right
2064,swipe_right
2097,swipe_right
2131,swipe_right
2164,swipe_right
2197,swipe_right
2231,swipe_right
2264,swipe_right
2297,swipe_right
2331,swipe_right
2364,swipe_right
2397,swipe_right
2430,idle
2464,idle
2497,idle
2530,idle
2564,idle
2597,idle
2630,idle
2664,idle
2697,idle
2730,idle
2763,idle
2797,idle
2830,idle
2863,idle
2897,idle
2930,idle
2963,idle
2997,idle
3030,idle
3063,idle
3096,idle
3130,idle
3163,idle
3196,idle
3230,idle
3263,idle
3296,idle
3330,idle
3363,idle
3396,idle
3429,idle
3463,idle
3496,idle
3529,idle
3563,idle
3596,idle
3629,idle
3663,idle
3696,idle
3729,idle
3762,idle
3796,swipe_right
3829,swipe_right
3862,swipe_right
3896,swipe_right
3929,swipe_right
3962,swipe_right
3996,swipe_right
4029,swipe_right
4062,swipe_right
4095,swipe_right
4129,swipe_right
4162,swipe_right
4195,swipe_right
4229,swipe_right
4262,swipe_right
4295,swipe_right
4329,swipe_right
4362,swipe_right
4395,swipe_right
4428,swipe_right
4462,swipe_right
4495,swipe_right
4528,swipe_right
4562,swipe_right
4595,swipe_right
4628,swipe_right
4662,swipe_right
4695,swipe_right
4728,swipe_right
4761,swipe_right
4795,swipe_right
4828,swipe_right
4861,swipe_right
4895,swipe_right
4928,swipe_right
4961,swipe_right
4995,swipe_right
5028,swipe_right
5061,swipe_right
5094,swipe_right
5128,swipe_right
5161,swipe_right
5194,swipe_right
5228,swipe_right
5261,swipe_right
5294,swipe_right
5328,swipe_right
5361,idle
5394,idle
5427,idle
5461,idle
5494,idle
5527,idle
5561,idle
5594,idle
5627,idle
5661,idle
5694,idle
5727,idle
5760,idle
5794,idle
5827,idle
5860,idle
5894,idle
5927,idle
5960,idle
5994,idle
6027,idle
6060,idle
6093,idle
6127,idle
6160,idle
6193,idle
6227,idle
6260,idle
6293,idle
6327,idle
6360,idle
6393,idle
6426,idle
6460,idle
6493,idle
6526,idle
6560,idle
6593,swipe_right
6626,swipe_right
6660,swipe_right
6693,swipe_right
6726,swipe_right
6759,swipe_right
6793,swipe_right
6826,swipe_right
6859,swipe_right
6893,swipe_right
6926,swipe_right
6959,swipe_right
6993,swipe_right
7026,swipe_right
7059,swipe_right
7092,swipe_right
7126,swipe_right
7159,swipe_right
7192,swipe_right
7226,swipe_right
7259,swipe_right
7292,swipe_right
7326,swipe_right
7359,swipe_right
7392,swipe_right
7425,swipe_right
7459,swipe_right
7492,swipe_right
7525,swipe_right
7559,swipe_right
7592,swipe_right
7625,swipe_right
7659,swipe_right
7692,swipe_right
7725,swipe_right
7758,swipe_right
7792,swipe_right
7825,swipe_right
7858,swipe_right
7892,swipe_right
7925,swipe_right
7958,swipe_right
7992,swipe_right
8025,swipe_right
8058,swipe_right
8091,swipe_right
8125,swipe_right
8158,swipe_right
8191,swipe_right
8225,swipe_right
8258,swipe_right
8291,swipe_right
8325,swipe_right
8358,swipe_right
8391,swipe_right
8424,swipe_right
8458,idle
8491,idle
8524,idle
8558,idle
8591,idle
8624,idle
8658,idle
8691,idle
8724,idle
8757,idle
8791,idle
8824,idle
8857,idle
8891,idle
8924,idle
8957,idle
8991,idle
9024,idle
9057,idle
9090,idle
9124,idle
9157,idle
9190,idle
9224,idle
9257,idle
9290,idle
9324,idle
9357,idle
9390,idle
9423,idle
9457,idle
9490,idle
9523,idle
9557,swipe_right
9590,swipe_right
9623,swipe_right
9657,swipe_right
9690,swipe_right
9723,swipe_right
9756,swipe_right
9790,swipe_right
9823,swipe_right
9856,swipe_right
9890,swipe_right
9923,swipe_right
9956,swipe_right
9990,swipe_right
10023,swipe_right
10056,swipe_right
10089,swipe_right
10123,swipe_right
10156,swipe_right
10189,swipe_right
10223,swipe_right
10256,swipe_right
10289,swipe_right
10323,swipe_right
10356,swipe_right
10389,swipe_right
10422,swipe_right
10456,swipe_right
10489,swipe_right
10522,swipe_right
10556,swipe_right
10589,swipe_right
10622,swipe_right
10656,swipe_right
10689,swipe_right
10722,swipe_right
10755,swipe_right
10789,swipe_right
10822,swipe_right
10855,swipe_right
10889,swipe_right
10922,swipe_right
10955,swipe_right
10989,swipe_right
11022,swipe_right
11055,swipe_right
11088,swipe_right
11122,swipe_right
11155,swipe_right
11188,swipe_right
11222,swipe_right
11255,swipe_right
11288,swipe_right
11322,swipe_right
11355,swipe_right
11388,swipe_right
11421,swipe_right
11455,swipe_right
11488,idle
11521,idle
11555,idle
11588,idle
11621,idle
11655,idle
11688,idle
11721,idle
11754,idle
11788,idle
11821,idle
11854,idle
11888,idle
11921,idle
11954,idle
11988,idle
12021,idle
12054,idle
12087,idle
12121,idle
12154,idle
12187,idle
12221,idle
12254,idle
12287,idle
12321,idle
12354,idle
12387,idle
12420,idle
12454,idle
12487,idle
12520,idle
12554,idle
12587,idle
12620,idle
12654,idle
12687,idle
12720,idle
12753,idle
12787,idle
12820,idle
12853,idle
12887,idle
12920,idle
12953,idle
12987,idle
13020,idle
13053,idle
13086,idle
13120,idle
13153,idle
13186,idle
13220,idle
13253,idle
13286,idle
13320,idle
13353,idle
13386,idle
13419,idle
13453,idle
13486,idle
13519,idle
13553,idle
13586,idle
13619,idle
13653,idle
13686,idle
13719,idle
13752,idle
13786,idle
13819,idle
13852,idle
13886,idle
13919,idle
13952,idle
13986,idle
14019,idle
14052,idle
14085,idle
14119,idle
14152,idle
14185,idle
14219,idle
14252,swipe_right
14285,swipe_right
14319,swipe_right
14352,swipe_right
14385,swipe_right
14418,swipe_right
14452,swipe_right
14485,swipe_right
14518,swipe_right
14552,swipe_right
14585,swipe_right
14618,swipe_right
14652,swipe_right
14685,swipe_right
14718,swipe_right
14751,swipe_right
14785,swipe_right
14818,swipe_right
14851,swipe_right
14885,swipe_right
14918,swipe_right
14951,swipe_right
14985,swipe_right
15018,swipe_right
15051,swipe_right
15084,swipe_right
15118,swipe_right
15151,swipe_right
15184,swipe_right
15218,swipe_right
15251,swipe_right
15284,swipe_right
15318,swipe_right
15351,swipe_right
15384,swipe_right
15417,swipe_right
15451,swipe_right
15484,swipe_right
15517,swipe_right
15551,swipe_right
15584,swipe_right
15617,swipe_right
15651,swipe_right
15684,swipe_right
15717,swipe_right
15750,swipe_right
15784,swipe_right
15817,swipe_right
15850,idle
15884,idle
15917,idle
15950,idle
15984,idle
16017,idle
16050,idle
16083,idle
16117,idle
16150,idle
16183,idle
16217,idle
16250,idle
16283,idle
16317,idle
16350,idle
16383,idle
16416,idle
16450,idle
16483,idle
16516,idle
16550,idle
16583,idle
16616,idle
16650,idle
16683,idle
16716,idle
16749,idle
16783,idle
16816,idle
16849,idle
16883,idle
16916,idle
16949,idle
16983,idle
17016,idle
17049,idle
17082,idle
17116,idle
17149,idle
17182,idle
17216,idle
17249,idle
17282,idle
17316,idle
17349,idle
17382,idle
17415,idle
17449,idle
17482,idle
17515,idle
17549,idle
17582,idle
17615,idle
17649,idle
17682,idle
17715,swipe_right
17748,swipe_right
17782,swipe_right
17815,swipe_right
17848,swipe_right
17882,swipe_right
17915,swipe_right
17948,swipe_right
17982,swipe_right
18015,swipe_right
18048,swipe_right
18081,swipe_right
18115,swipe_right
18148,swipe_right
18181,swipe_right
18215,swipe_right
18248,swipe_right
18281,swipe_right
18315,swipe_right
18348,swipe_right
18381,swipe_right
18414,swipe_right
18448,swipe_right
18481,swipe_right
18514,swipe_right
18548,swipe_right
18581,swipe_right
18614,swipe_right
18648,swipe_right
18681,swipe_right
18714,swipe_right
18747,swipe_right
18781,swipe_right
18814,swipe_right
18847,swipe_right
18881,swipe_right
18914,swipe_right
18947,swipe_right
18981,swipe_right
19014,swipe_right
19047,swipe_right
19080,swipe_right
19114,swipe_right
19147,swipe_right
19180,swipe_right
19214,swipe_right
19247,swipe_right
19280,swipe_right
19314,swipe_right
19347,swipe_right
19380,swipe_right
19413,swipe_right
19447,swipe_right
19480,idle
19513,idle
19547,idle
19580,idle
19613,idle
19647,idle
19680,idle
19713,idle
19746,idle
19780,idle
19813,idle
19846,idle
19880,idle
19913,idle
19946,idle
19980,idle
20013,idle
20046,idle
20079,idle
20113,idle
20146,idle
20179,idle
20213,idle
20246,idle
20279,idle
20313,idle
20346,idle
20379,idle
20412,idle
20446,idle
20479,idle
20512,idle
20546,idle
20579,idle
20612,idle
20646,idle
20679,idle
20712,idle
20745,idle
20779,idle
20812,idle
20845,idle
20879,idle
20912,idle
20945,idle
20979,idle
21012,idle
21045,idle
21078,idle
21112,idle
21145,idle
21178,idle
21212,idle
21245,idle
21278,idle
21312,idle
21345,idle
21378,idle
21411,idle
21445,idle
21478,idle
21511,idle
21545,idle
21578,idle
21611,idle
21645,idle
21678,idle
21711,idle
21744,idle
21778,idle
21811,idle
21844,idle
21878,idle
21911,swipe_right
21944,swipe_right
21978,swipe_right
22011,swipe_right
22044,swipe_right
22077,swipe_right
22111,swipe_right
22144,swipe_right
22177,swipe_right
22211,swipe_right
22244,swipe_right
22277,swipe_right
22311,swipe_right
22344,swipe_right
22377,swipe_right
22410,swipe_right
22444,swipe_right
22477,swipe_right
22510,swipe_right
22544,swipe_right
22577,swipe_right
22610,swipe_right
22644,swipe_right
22677,swipe_right
22710,swipe_right
22743,swipe_right
22777,swipe_right
22810,swipe_right
22843,swipe_right
22877,swipe_right
22910,swipe_right
22943,swipe_right
22977,swipe_right
23010,swipe_right
23043,swipe_right
23076,swipe_right
23110,swipe_right
23143,swipe_right
23176,swipe_right
23210,swipe_right
23243,swipe_right
23276,swipe_right
23310,swipe_right
23343,swipe_right
23376,swipe_right
23409,swipe_right
23443,swipe_right
23476,swipe_right
23509,swipe_right
23543,swipe_right
23576,idle
23609,idle
23643,idle
23676,idle
23709,idle
23742,idle
23776,idle
23809,idle
23842,idle
23876,idle
23909,idle
23942,idle
23976,idle
24009,idle
24042,idle
24075,idle
24109,idle
24142,idle
24175,idle
24209,idle
24242,idle
24275,idle
24309,idle
24342,idle
24375,idle
24408,idle
24442,idle
24475,idle
24508,idle
24542,idle
24575,idle
24608,idle
24642,idle
24675,idle
24708,idle
24741,idle
24775,idle
24808,idle
24841,idle
24875,idle
24908,idle
24941,idle
24975,idle
25008,idle
25041,idle
25074,idle
25108,idle
25141,idle
25174,idle
25208,idle
25241,idle
25274,idle
25308,idle
25341,idle
25374,idle
25407,idle
25441,idle
25474,idle
25507,idle
25541,idle
25574,idle
25607,idle
25641,idle
25674,idle
25707,idle
25740,idle
25774,idle
25807,idle
25840,idle
25874,idle
25907,idle
25940,idle
25974,idle
26007,idle
26040,idle
26073,idle
26107,idle
26140,swipe_right
26173,swipe_right
26207,swipe_right
26240,swipe_right
26273,swipe_right
26307,swipe_right
26340,swipe_right
26373,swipe_right
26406,swipe_right
26440,swipe_right
26473,swipe_right
26506,swipe_right
26540,swipe_right
26573,swipe_right
26606,swipe_right
26640,swipe_right
26673,swipe_right
26706,swipe_right
26739,swipe_right
26773,swipe_right
26806,swipe_right
26839,swipe_right
26873,swipe_right
26906,swipe_right
26939,swipe_right
26973,swipe_right
27006,swipe_right
27039,swipe_right
27072,swipe_right
27106,swipe_right
27139,swipe_right
27172,swipe_right
27206,swipe_right
27239,swipe_right
27272,swipe_right
27306,swipe_right
27339,swipe_right
27372,swipe_right
27405,swipe_right
27439,swipe_right
27472,swipe_right
27505,swipe_right
27539,swipe_right
27572,swipe_right
27605,swipe_right
27639,swipe_right
27672,swipe_right
27705,swipe_right
27738,swipe_right
27772,swipe_right
27805,swipe_right
27838,swipe_right
27872,idle
27905,idle
27938,idle
27972,idle
28005,idle
28038,idle
28071,idle
28105,idle
28138,idle
28171,idle
28205,idle
28238,idle
28271,idle
28305,idle
28338,idle
28371,idle
28404,idle
28438,idle
28471,idle
28504,idle
28538,idle
28571,idle
28604,idle
28638,idle
28671,idle
28704,idle
28737,idle
28771,idle
28804,idle
28837,idle
28871,idle
28904,idle
28937,idle
28971,idle
29004,idle
29037,idle
29070,idle
29104,idle
29137,idle
29170,idle
29204,idle
29237,idle
29270,idle
29304,idle
29337,idle
29370,idle
29403,idle
29437,idle
29470,idle
29503,idle
29537,idle
29570,idle
29603,idle
29637,idle
29670,idle
29703,idle
29736,idle
29770,idle
29803,idle
29836,idle
29870,idle
29903,idle
29936,idle
29970,idle
30003,swipe_right
