timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,idle
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,idle
2566,idle
2600,idle
2633,idle
2666,idle
2700,swipe left
2733,swipe left
2766,swipe left
2800,swipe left
2833,swipe left
2866,swipe left
2900,swipe left
2933,swipe left
2966,swipe left
3000,swipe left
3033,swipe left
3066,swipe left
3100,swipe left
3133,swipe left
3166,swipe left
3200,swipe left
3233,swipe left
3266,swipe left
3300,swipe left
3333,swipe left
3366,swipe left
3400,swipe left
3433,swipe left
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3699,idle
3733,idle
3766,idle
3800,idle
3833,idle
3866,idle
3900,idle
3933,idle
3966,idle
4000,idle
4033,idle
4066,idle
4100,idle
4133,idle
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,idle
4433,idle
4466,idle
4500,idle
4533,idle
4566,idle
4600,idle
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,idle
5166,idle
5200,idle
5233,idle
5266,idle
5300,idle
5333,swipe left
5366,swipe left
5400,swipe left
5433,swipe left
5466,swipe left
5500,swipe left
5533,swipe left
5566,swipe left
5600,swipe left
5633,swipe left
5666,swipe left
5700,swipe left
5733,swipe left
5766,swipe left
5800,swipe left
5833,swipe left
5866,swipe left
5900,swipe left
5933,swipe left
5966,swipe left
6000,swipe left
6033,swipe left
6066,swipe left
6100,swipe left
6133,swipe left
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,idle
6733,idle
6766,idle
6800,idle
6833,idle
6866,idle
6899,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,idle
7133,idle
7166,idle
7200,idle
7233,idle
7266,idle
7300,idle
7333,idle
7366,idle
7399,idle
7433,idle
7466,idle
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,swipe left
7700,swipe left
7733,swipe left
7766,swipe left
7800,swipe left
7833,swipe left
7866,swipe left
7899,swipe left
7933,swipe left
7966,swipe left
8000,swipe left
8033,swipe left
8066,swipe left
8100,swipe left
8133,swipe left
8166,swipe left
8200,swipe left
8233,swipe left
8266,swipe left
8300,swipe left
8333,swipe left
8366,swipe left
8400,swipe left
8433,swipe left
8466,swipe left
8500,swipe left
8533,swipe left
8566,swipe left
8600,swipe left
8633,swipe left
8666,swipe left
8700,swipe left
8733,idle
8766,idle
8800,idle
8833,idle
8866,idle
8900,idle
8933,idle
8966,idle
9000,idle
9033,idle
9066,idle
9100,idle
9133,idle
9166,idle
9200,idle
9233,idle
9266,idle
9300,idle
9333,idle
9366,idle
9400,idle
9433,idle
9466,idle
9500,idle
9533,idle
9566,idle
9600,idle
9633,idle
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,idle
9966,idle
10000,idle
10033,idle
10066,idle
10100,idle
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,swipe left
10666,swipe left
10700,swipe left
10733,swipe left
10766,swipe left
10800,swipe left
10833,swipe left
10866,swipe left
10900,swipe left
10933,swipe left
10966,swipe left
11000,swipe left
11033,swipe left
11066,swipe left
11100,swipe left
11133,swipe left
11166,swipe left
11200,swipe left
11233,swipe left
11266,swipe left
11300,swipe left
11333,swipe left
11366,swipe left
11400,swipe left
11433,swipe left
11466,swipe left
11500,swipe left
11533,swipe left
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,idle
12200,idle
12233,idle
12266,idle
12300,idle
12333,idle
12366,idle
12400,idle
12433,idle
12466,idle
12500,idle
12533,idle
12566,idle
12600,idle
12633,idle
12666,idle
12700,idle
12733,idle
12766,idle
12800,idle
12833,idle
12866,idle
12900,idle
12933,idle
12966,idle
13000,idle
13033,idle
13066,idle
13100,idle
13133,idle
13166,idle
13200,idle
13233,idle
13266,swipe left
13299,swipe left
13333,swipe left
13366,swipe left
13400,swipe left
13433,swipe left
13466,swipe left
13500,swipe left
13533,swipe left
13566,swipe left
13600,swipe left
13633,swipe left
13666,swipe left
13700,swipe left
13733,swipe left
13766,swipe left
13799,swipe left
13833,swipe left
13866,swipe left
13900,swipe left
13933,swipe left
13966,swipe left
14000,swipe left
14033,swipe left
14066,swipe left
14100,swipe left
14133,swipe left
14166,swipe left
14200,swipe left
14233,idle
14266,idle
14299,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14799,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,idle
15066,idle
15100,idle
15133,idle
15166,idle
15200,idle
15233,idle
15266,idle
15299,idle
15333,idle
15366,idle
15400,idle
15433,idle
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15799,idle
15833,swipe left
15866,swipe left
15900,swipe left
15933,swipe left
15966,swipe left
16000,swipe left
16033,swipe left
16066,swipe left
16100,swipe left
16133,swipe left
16166,swipe left
16200,swipe left
16233,swipe left
16266,swipe left
16300,swipe left
16333,swipe left
16366,swipe left
16400,swipe left
16433,swipe left
16466,swipe left
16500,swipe left
16533,swipe left
16566,swipe left
16600,swipe left
16633,swipe left
16666,swipe left
16700,swipe left
16733,swipe left
16766,swipe left
16800,swipe left
16833,idle
16866,idle
16900,idle
16933,idle
16966,idle
17000,idle
17033,idle
17066,idle
17100,idle
17133,idle
17166,idle
17200,idle
17233,idle
17266,idle
17300,idle
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,idle
17733,idle
17766,idle
17800,idle
17833,idle
17866,idle
17900,idle
17933,idle
17966,idle
18000,idle
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,idle
18300,idle
18333,idle
18366,idle
18400,idle
18433,idle
18466,idle
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,swipe left
18733,swipe left
18766,swipe left
18800,swipe left
18833,swipe left
18866,swipe left
18900,swipe left
18933,swipe left
18966,swipe left
19000,swipe left
19033,swipe left
19066,swipe left
19100,swipe left
19133,swipe left
19166,swipe left
19200,swipe left
19233,swipe left
19266,swipe left
19300,swipe left
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,idle
19533,idle
19566,idle
19600,idle
19633,idle
19666,idle
19700,idle
19733,idle
19766,idle
19800,idle
19833,idle
19866,idle
19900,idle
19933,idle
19966,idle
20000,idle
20033,idle
20066,idle
20100,idle
20133,idle
20166,idle
20200,idle
20233,idle
20266,idle
20300,idle
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,idle
20966,idle
21000,idle
21033,idle
21066,idle
21100,idle
21133,idle
21166,swipe left
21200,swipe left
21233,swipe left
21266,swipe left
21300,swipe left
21333,swipe left
21366,swipe left
21400,swipe left
21433,swipe left
21466,swipe left
21500,swipe left
21533,swipe left
21566,swipe left
21600,swipe left
21633,swipe left
21666,swipe left
21700,swipe left
21733,swipe left
21766,swipe left
21800,swipe left
21833,swipe left
21866,swipe left
21900,swipe left
21933,swipe left
21966,swipe left
22000,swipe left
22033,swipe left
22066,idle
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,idle
22766,idle
22800,idle
22833,idle
22866,idle
22900,idle
22933,idle
22966,idle
23000,idle
23033,idle
23066,idle
23100,idle
23133,idle
23166,idle
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,idle
23833,idle
23866,idle
23900,idle
23933,idle
23966,idle
24000,idle
24033,idle
24066,swipe left
24100,swipe left
24133,swipe left
24166,swipe left
24200,swipe left
24233,swipe left
24266,swipe left
24300,swipe left
24333,swipe left
24366,swipe left
24400,swipe left
24433,swipe left
24466,swipe left
24500,swipe left
24533,swipe left
24566,swipe left
24600,swipe left
24633,swipe left
24666,swipe left
24700,swipe left
24733,swipe left
24766,swipe left
24800,swipe left
24833,swipe left
24866,swipe left
24900,swipe left
24933,swipe left
24966,swipe left
25000,swipe left
25033,swipe left
25066,swipe left
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,idle
25333,idle
25366,idle
25400,idle
25433,idle
25466,idle
25500,idle
25533,idle
25566,idle
25600,idle
25633,idle
25666,idle
25700,idle
25733,idle
25766,idle
25800,idle
25833,idle
25866,idle
25900,idle
25933,idle
25966,idle
26000,idle
26033,idle
26066,idle
26099,idle
26133,idle
26166,idle
26200,idle
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,idle
26433,idle
26466,idle
26500,idle
26533,idle
26566,idle
26599,idle
26633,idle
26666,idle
26700,idle
26733,idle
26766,idle
26800,idle
26833,idle
26866,idle
26900,swipe left
26933,swipe left
26966,swipe left
27000,swipe left
27033,swipe left
27066,swipe left
27099,swipe left
27133,swipe left
27166,swipe left
27200,swipe left
27233,swipe left
27266,swipe left
27300,swipe left
27333,swipe left
27366,swipe left
27400,swipe left
27433,swipe left
27466,swipe left
27500,swipe left
27533,swipe left
27566,swipe left
27599,swipe left
27633,swipe left
27666,swipe left
27700,swipe left
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28599,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,idle
29066,idle
29099,idle
29133,idle
29166,idle
29200,idle
29233,idle
29266,idle
29300,idle
29333,idle
29366,idle
29400,idle
29433,idle
29466,idle
29500,idle
29533,idle
29566,idle
29599,idle
29633,idle
29666,idle
29700,idle
29733,idle
29766,idle
29800,swipe left
29833,swipe left
29866,swipe left
29900,swipe left
29933,swipe left
29966,swipe left
30000,swipe left
30033,swipe left
30066,swipe left
30099,swipe left
30133,swipe left
30166,swipe left
30200,swipe left
30233,swipe left
30266,swipe left
30300,swipe left
30333,swipe left
30366,swipe left
30400,swipe left
30433,swipe left
30466,idle
30500,idle
30533,idle
30566,idle
30599,idle
30633,idle
30666,idle
30700,idle
30733,idle
30766,idle
30800,idle
30833,idle
30866,idle
30900,idle
30933,idle
30966,idle
31000,idle
31033,idle
31066,idle
31099,idle
31133,idle
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,idle
31366,idle
31400,idle
31433,idle
31466,idle
31500,idle
31533,idle
31566,idle
31599,idle
31633,idle
31666,idle
31700,idle
31733,idle
31766,idle
31800,idle
31833,idle
31866,idle
31900,idle
31933,idle
31966,idle
32000,idle
32033,idle
32066,idle
32100,idle
32133,idle
32166,idle
32200,idle
32233,idle
32266,idle
32299,idle
32333,idle
32366,idle
32400,idle
32433,idle
32466,idle
32500,idle
32533,idle
32566,idle
32600,swipe left
32633,swipe left
32666,swipe left
32700,swipe left
32733,swipe left
32766,swipe left
32800,swipe left
32833,swipe left
32866,swipe left
32900,swipe left
32933,swipe left
32966,swipe left
33000,swipe left
33033,swipe left
33066,swipe left
33100,swipe left
33133,swipe left
33166,swipe left
33200,swipe left
33233,swipe left
33266,swipe left
33300,swipe left
33333,swipe left
33366,swipe left
33400,swipe left
33433,swipe left
33466,swipe left
33500,idle
33533,idle
33566,idle
33600,idle
33633,idle
