timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,rotation
1166,rotation
1200,rotation
1233,rotation
1266,rotation
1300,rotation
1333,rotation
1366,rotation
1400,rotation
1433,rotation
1466,rotation
1500,rotation
1533,rotation
1566,rotation
1600,rotation
1633,rotation
1666,rotation
1700,rotation
1733,rotation
1766,rotation
1800,rotation
1833,rotation
1866,rotation
1900,rotation
1933,rotation
1966,rotation
2000,rotation
2033,rotation
2066,rotation
2100,rotation
2133,rotation
2166,rotation
2200,rotation
2233,rotation
2266,rotation
2300,rotation
2333,rotation
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,idle
2566,idle
2600,idle
2633,idle
2666,idle
2700,idle
2733,idle
2766,idle
2800,idle
2833,idle
2866,idle
2900,idle
2933,idle
2966,idle
3000,idle
3033,idle
3066,idle
3100,idle
3133,idle
3166,idle
3200,idle
3233,idle
3266,idle
3300,idle
3333,idle
3366,idle
3400,idle
3433,idle
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3699,idle
3733,idle
3766,idle
3800,idle
3833,idle
3866,idle
3900,idle
3933,idle
3966,idle
4000,idle
4033,idle
4066,idle
4100,idle
4133,idle
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,rotation
4433,rotation
4466,rotation
4500,rotation
4533,rotation
4566,rotation
4600,rotation
4633,rotation
4666,rotation
4700,rotation
4733,rotation
4766,rotation
4800,rotation
4833,rotation
4866,rotation
4900,rotation
4933,rotation
4966,rotation
5000,rotation
5033,rotation
5066,rotation
5100,rotation
5133,rotation
5166,rotation
5200,rotation
5233,rotation
5266,rotation
5300,rotation
5333,rotation
5366,rotation
5400,rotation
5433,rotation
5466,rotation
5500,rotation
5533,rotation
5566,idle
5600,idle
5633,idle
5666,idle
5700,idle
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,idle
6733,idle
6766,idle
6800,idle
6833,idle
6866,idle
6899,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,idle
7133,idle
7166,idle
7200,idle
7233,idle
7266,idle
7300,idle
7333,idle
7366,idle
7399,idle
7433,idle
7466,idle
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,idle
7800,idle
7833,idle
7866,idle
7899,idle
7933,idle
7966,idle
8000,idle
8033,idle
8066,idle
8100,rotation
8133,rotation
8166,rotation
8200,rotation
8233,rotation
8266,rotation
8300,rotation
8333,rotation
8366,rotation
8400,rotation
8433,rotation
8466,rotation
8500,rotation
8533,rotation
8566,rotation
8600,rotation
8633,rotation
8666,rotation
8700,rotation
8733,rotation
8766,rotation
8800,rotation
8833,rotation
8866,rotation
8900,rotation
8933,rotation
8966,rotation
9000,rotation
9033,rotation
9066,rotation
9100,rotation
9133,rotation
9166,rotation
9200,idle
9233,idle
9266,idle
9300,idle
9333,idle
9366,idle
9400,idle
9433,idle
9466,idle
9500,idle
9533,idle
9566,idle
9600,idle
9633,idle
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,idle
9966,idle
10000,idle
10033,idle
10066,idle
10100,idle
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,rotation
11000,rotation
11033,rotation
11066,rotation
11100,rotation
11133,rotation
11166,rotation
11200,rotation
11233,rotation
11266,rotation
11300,rotation
11333,rotation
11366,rotation
11400,rotation
11433,rotation
11466,rotation
11500,rotation
11533,rotation
11566,rotation
11600,rotation
11633,rotation
11666,rotation
11700,rotation
11733,rotation
11766,rotation
11800,rotation
11833,rotation
11866,rotation
11900,rotation
11933,rotation
11966,rotation
12000,rotation
12033,rotation
12066,rotation
12100,rotation
12133,rotation
12166,rotation
12200,rotation
12233,rotation
12266,rotation
12300,rotation
12333,rotation
12366,rotation
12400,rotation
12433,idle
12466,idle
12500,idle
12533,idle
12566,idle
12600,idle
12633,idle
12666,idle
12700,idle
12733,idle
12766,idle
12800,idle
12833,idle
12866,idle
12900,idle
12933,idle
12966,idle
13000,idle
13033,idle
13066,idle
13100,idle
13133,idle
13166,idle
13200,idle
13233,idle
13266,idle
13299,idle
13333,idle
13366,idle
13400,idle
13433,idle
13466,idle
13500,idle
13533,idle
13566,idle
13600,idle
13633,idle
13666,idle
13700,idle
13733,idle
13766,idle
13799,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,idle
14200,rotation
14233,rotation
14266,rotation
14299,rotation
14333,rotation
14366,rotation
14400,rotation
14433,rotation
14466,rotation
14500,rotation
14533,rotation
14566,rotation
14600,rotation
14633,rotation
14666,rotation
14700,rotation
14733,rotation
14766,rotation
14799,rotation
14833,rotation
14866,rotation
14900,rotation
14933,rotation
14966,rotation
15000,rotation
15033,rotation
15066,rotation
15100,rotation
15133,rotation
15166,rotation
15200,rotation
15233,rotation
15266,rotation
15299,rotation
15333,rotation
15366,rotation
15400,rotation
15433,rotation
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15799,idle
15833,idle
15866,idle
15900,idle
15933,idle
15966,idle
16000,idle
16033,idle
16066,idle
16100,idle
16133,idle
16166,idle
16200,idle
16233,idle
16266,idle
16300,idle
16333,idle
16366,idle
16400,idle
16433,idle
16466,idle
16500,idle
16533,idle
16566,idle
16600,idle
16633,idle
16666,idle
16700,idle
16733,idle
16766,idle
16800,idle
16833,rotation
16866,rotation
16900,rotation
16933,rotation
16966,rotation
17000,rotation
17033,rotation
17066,rotation
17100,rotation
17133,rotation
17166,rotation
17200,rotation
17233,rotation
17266,rotation
17300,rotation
17333,rotation
17366,rotation
17400,rotation
17433,rotation
17466,rotation
17500,rotation
17533,rotation
17566,rotation
17600,rotation
17633,rotation
17666,rotation
17700,rotation
17733,rotation
17766,rotation
17800,rotation
17833,rotation
17866,rotation
17900,rotation
17933,rotation
17966,rotation
18000,idle
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,idle
18300,idle
18333,idle
18366,idle
18400,idle
18433,idle
18466,idle
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,idle
18733,idle
18766,idle
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,idle
19000,idle
19033,idle
19066,idle
19100,idle
19133,idle
19166,idle
19200,idle
19233,idle
19266,idle
19300,idle
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,idle
19533,idle
19566,rotation
19600,rotation
19633,rotation
19666,rotation
19700,rotation
19733,rotation
19766,rotation
19800,rotation
19833,rotation
19866,rotation
19900,rotation
19933,rotation
19966,rotation
20000,rotation
20033,rotation
20066,rotation
20100,rotation
20133,rotation
20166,rotation
20200,rotation
20233,rotation
20266,rotation
20300,rotation
20333,rotation
20366,rotation
20400,rotation
20433,rotation
20466,rotation
20500,rotation
20533,rotation
20566,rotation
20600,rotation
20633,rotation
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,idle
20966,idle
21000,idle
21033,idle
21066,idle
21100,idle
21133,idle
21166,idle
21200,idle
21233,idle
21266,idle
21300,idle
21333,idle
21366,idle
21400,idle
21433,idle
21466,idle
21500,idle
21533,idle
21566,idle
21600,idle
21633,idle
21666,idle
21700,idle
21733,idle
21766,idle
21800,idle
21833,idle
21866,idle
21900,idle
21933,idle
21966,idle
22000,idle
22033,idle
22066,idle
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,rotation
22533,rotation
22566,rotation
22600,rotation
22633,rotation
22666,rotation
22700,rotation
22733,rotation
22766,rotation
22800,rotation
22833,rotation
22866,rotation
22900,rotation
22933,rotation
22966,rotation
23000,rotation
23033,rotation
23066,rotation
23100,rotation
23133,rotation
23166,rotation
23200,rotation
23233,rotation
23266,rotation
23300,rotation
23333,rotation
23366,rotation
23400,rotation
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,idle
23833,idle
23866,idle
23900,idle
23933,idle
23966,idle
24000,idle
24033,idle
24066,idle
24100,idle
24133,idle
24166,idle
24200,idle
24233,idle
24266,idle
24300,idle
24333,idle
24366,idle
24400,idle
24433,idle
24466,rotation
24500,rotation
24533,rotation
24566,rotation
24600,rotation
24633,rotation
24666,rotation
24700,rotation
24733,rotation
24766,rotation
24800,rotation
24833,rotation
24866,rotation
24900,rotation
24933,rotation
24966,rotation
25000,rotation
25033,rotation
25066,rotation
25100,rotation
25133,rotation
25166,rotation
25200,rotation
25233,rotation
25266,rotation
25300,rotation
25333,rotation
25366,rotation
25400,rotation
25433,rotation
25466,rotation
25500,rotation
25533,rotation
25566,rotation
25600,rotation
25633,rotation
25666,rotation
25700,rotation
25733,rotation
25766,idle
25800,idle
25833,idle
25866,idle
25900,idle
25933,idle
25966,idle
26000,idle
26033,idle
26066,idle
26099,idle
26133,idle
26166,idle
26200,idle
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,idle
26433,idle
26466,idle
26500,idle
26533,idle
26566,idle
26599,idle
26633,idle
26666,idle
26700,idle
26733,idle
26766,idle
26800,idle
26833,idle
26866,idle
26900,idle
26933,idle
26966,idle
27000,idle
27033,idle
27066,idle
27099,idle
27133,idle
27166,idle
27200,idle
27233,idle
27266,idle
27300,idle
27333,idle
27366,idle
27400,idle
27433,idle
27466,idle
27500,idle
27533,idle
27566,idle
27599,idle
27633,idle
27666,idle
27700,idle
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,rotation
28200,rotation
28233,rotation
28266,rotation
28300,rotation
28333,rotation
28366,rotation
28400,rotation
28433,rotation
28466,rotation
28500,rotation
28533,rotation
28566,rotation
28599,rotation
28633,rotation
28666,rotation
28700,rotation
28733,rotation
28766,rotation
28800,rotation
28833,rotation
28866,rotation
28900,rotation
28933,rotation
28966,rotation
29000,rotation
29033,rotation
29066,rotation
29099,rotation
29133,rotation
29166,rotation
29200,rotation
29233,rotation
29266,rotation
29300,rotation
29333,rotation
29366,rotation
29400,idle
29433,idle
29466,idle
29500,idle
29533,idle
29566,idle
29599,idle
29633,idle
29666,idle
29700,idle
29733,idle
29766,idle
29800,idle
29833,idle
29866,idle
29900,idle
29933,idle
29966,idle
30000,idle
30033,idle
30066,idle
30099,idle
30133,idle
30166,idle
30200,idle
30233,idle
30266,idle
30300,idle
30333,idle
30366,idle
30400,idle
30433,idle
30466,idle
30500,idle
30533,idle
30566,idle
30599,idle
30633,idle
30666,idle
30700,idle
30733,idle
30766,idle
30800,idle
30833,idle
30866,idle
30900,idle
30933,idle
30966,idle
31000,idle
31033,idle
31066,idle
31099,idle
31133,idle
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,idle
31366,idle
31400,idle
31433,idle
31466,idle
31500,idle
31533,idle
31566,idle
31599,idle
31633,idle
31666,idle
31700,idle
31733,idle
31766,idle
31800,idle
31833,idle
31866,idle
31900,idle
31933,idle
31966,idle
32000,idle
32033,idle
32066,idle
32100,idle
32133,idle
32166,idle
32200,idle
32233,idle
32266,idle
32299,idle
32333,idle
32366,idle
32400,idle
32433,idle
32466,idle
32500,idle
32533,idle
32566,idle
32600,idle
32633,idle
32666,idle
32700,idle
32733,idle
32766,rotation
32800,rotation
32833,rotation
32866,rotation
32900,rotation
32933,rotation
32966,rotation
33000,rotation
33033,rotation
33066,rotation
33100,rotation
33133,rotation
33166,rotation
33200,rotation
33233,rotation
33266,rotation
33300,rotation
33333,rotation
33366,rotation
33400,rotation
33433,rotation
33466,rotation
33500,rotation
33533,rotation
33566,rotation
33600,rotation
33633,rotation
33666,rotation
33700,rotation
33733,rotation
33766,rotation
33800,rotation
33833,rotation
33866,rotation
33900,rotation
33933,idle
33966,idle
34000,idle
34033,idle
34066,idle
34100,idle
34133,idle
34166,idle
34200,idle
34233,idle
34266,idle
34300,idle
34333,idle
34366,idle
34400,idle
34433,idle
34466,idle
34500,idle
34533,idle
34566,idle
34600,idle
34633,idle
34666,idle
34700,idle
34733,idle
34766,idle
34800,idle
34833,idle
34866,idle
34900,idle
34933,idle
34966,idle
