timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,swipe right
1100,swipe right
1133,swipe right
1166,swipe right
1200,swipe right
1233,swipe right
1266,swipe right
1300,swipe right
1333,swipe right
1366,swipe right
1400,swipe right
1433,swipe right
1466,swipe right
1500,swipe right
1533,swipe right
1566,swipe right
1600,swipe right
1633,swipe right
1666,swipe right
1700,swipe right
1733,swipe right
1766,swipe right
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,idle
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,idle
2566,idle
2600,idle
2633,idle
2666,idle
2700,idle
2733,idle
2766,idle
2800,idle
2833,idle
2866,idle
2900,idle
2933,idle
2966,idle
3000,idle
3033,idle
3066,idle
3100,idle
3133,idle
3166,idle
3200,swipe right
3233,swipe right
3266,swipe right
3300,swipe right
3333,swipe right
3366,swipe right
3400,swipe right
3433,swipe right
3466,swipe right
3500,swipe right
3533,swipe right
3566,swipe right
3600,swipe right
3633,swipe right
3666,swipe right
3699,swipe right
3733,swipe right
3766,swipe right
3800,swipe right
3833,swipe right
3866,swipe right
3900,swipe right
3933,swipe right
3966,swipe right
4000,swipe right
4033,swipe right
4066,swipe right
4100,swipe right
4133,swipe right
4166,swipe right
4200,swipe right
4233,swipe right
4266,swipe right
4300,swipe right
4333,idle
4366,idle
4400,idle
4433,idle
4466,idle
4500,idle
4533,idle
4566,idle
4600,idle
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,idle
5166,idle
5200,idle
5233,idle
5266,idle
5300,idle
5333,idle
5366,idle
5400,idle
5433,idle
5466,idle
5500,idle
5533,idle
5566,idle
5600,idle
5633,idle
5666,idle
5700,idle
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,swipe right
6500,swipe right
6533,swipe right
6566,swipe right
6600,swipe right
6633,swipe right
6666,swipe right
6700,swipe right
6733,swipe right
6766,swipe right
6800,swipe right
6833,swipe right
6866,swipe right
6899,swipe right
6933,swipe right
6966,swipe right
7000,swipe right
7033,swipe right
7066,swipe right
7100,swipe right
7133,swipe right
7166,swipe right
7200,swipe right
7233,swipe right
7266,swipe right
7300,swipe right
7333,swipe right
7366,swipe right
7399,swipe right
7433,swipe right
7466,idle
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,idle
7800,idle
7833,idle
7866,idle
7899,idle
7933,idle
7966,idle
8000,idle
8033,idle
8066,idle
8100,idle
8133,idle
8166,idle
8200,idle
8233,idle
8266,idle
8300,idle
8333,idle
8366,idle
8400,idle
8433,idle
8466,idle
8500,idle
8533,idle
8566,idle
8600,idle
8633,idle
8666,idle
8700,idle
8733,idle
8766,idle
8800,idle
8833,idle
8866,idle
8900,idle
8933,idle
8966,idle
9000,swipe right
9033,swipe right
9066,swipe right
9100,swipe right
9133,swipe right
9166,swipe right
9200,swipe right
9233,swipe right
9266,swipe right
9300,swipe right
9333,swipe right
9366,swipe right
9400,swipe right
9433,swipe right
9466,swipe right
9500,swipe right
9533,swipe right
9566,swipe right
9600,swipe right
9633,swipe right
9666,swipe right
9700,swipe right
9733,swipe right
9766,swipe right
9800,swipe right
9833,swipe right
9866,swipe right
9900,swipe right
9933,swipe right
9966,swipe right
10000,swipe right
10033,swipe right
10066,swipe right
10100,swipe right
10133,swipe right
10166,swipe right
10200,swipe right
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,swipe right
12033,swipe right
12066,swipe right
12100,swipe right
12133,swipe right
12166,swipe right
12200,swipe right
12233,swipe right
12266,swipe right
12300,swipe right
12333,swipe right
12366,swipe right
12400,swipe right
12433,swipe right
12466,swipe right
12500,swipe right
12533,swipe right
12566,swipe right
12600,swipe right
12633,swipe right
12666,swipe right
12700,swipe right
12733,swipe right
12766,swipe right
12800,swipe right
12833,swipe right
12866,swipe right
12900,swipe right
12933,swipe right
12966,swipe right
13000,swipe right
13033,idle
13066,idle
13100,idle
13133,idle
13166,idle
13200,idle
13233,idle
13266,idle
13299,idle
13333,idle
13366,idle
13400,idle
13433,idle
13466,idle
13500,idle
13533,idle
13566,idle
13600,idle
13633,idle
13666,idle
13700,idle
13733,idle
13766,idle
13799,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,swipe right
14200,swipe right
14233,swipe right
14266,swipe right
14299,swipe right
14333,swipe right
14366,swipe right
14400,swipe right
14433,swipe right
14466,swipe right
14500,swipe right
14533,swipe right
14566,swipe right
14600,swipe right
14633,swipe right
14666,swipe right
14700,swipe right
14733,swipe right
14766,swipe right
14799,swipe right
14833,swipe right
14866,swipe right
14900,swipe right
14933,swipe right
14966,swipe right
15000,swipe right
15033,swipe right
15066,swipe right
15100,swipe right
15133,swipe right
15166,swipe right
15200,swipe right
15233,swipe right
15266,swipe right
15299,swipe right
15333,swipe right
15366,swipe right
15400,idle
15433,idle
15466,idle
15500,idle
15533,idle
15566,idle
15600,idle
15633,idle
15666,idle
15700,idle
15733,idle
15766,idle
15799,idle
15833,idle
15866,idle
15900,idle
15933,idle
15966,idle
16000,idle
16033,idle
16066,idle
16100,idle
16133,idle
16166,idle
16200,idle
16233,idle
16266,idle
16300,idle
16333,idle
16366,idle
16400,idle
16433,idle
16466,idle
16500,idle
16533,idle
16566,idle
16600,idle
16633,idle
16666,idle
16700,idle
16733,idle
16766,idle
16800,idle
16833,idle
16866,idle
16900,swipe right
16933,swipe right
16966,swipe right
17000,swipe right
17033,swipe right
17066,swipe right
17100,swipe right
17133,swipe right
17166,swipe right
17200,swipe right
17233,swipe right
17266,swipe right
17300,swipe right
17333,swipe right
17366,swipe right
17400,swipe right
17433,swipe right
17466,swipe right
17500,swipe right
17533,swipe right
17566,swipe right
17600,swipe right
17633,swipe right
17666,swipe right
17700,swipe right
17733,swipe right
17766,swipe right
17800,swipe right
17833,swipe right
17866,swipe right
17900,swipe right
17933,swipe right
17966,swipe right
18000,idle
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,idle
18300,idle
18333,idle
18366,idle
18400,idle
18433,idle
18466,idle
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,idle
18733,idle
18766,idle
18800,idle
18833,idle
18866,idle
18900,idle
18933,idle
18966,swipe right
19000,swipe right
19033,swipe right
19066,swipe right
19100,swipe right
19133,swipe right
19166,swipe right
19200,swipe right
19233,swipe right
19266,swipe right
19300,swipe right
19333,swipe right
19366,swipe right
19400,swipe right
19433,swipe right
19466,swipe right
19500,swipe right
19533,swipe right
19566,swipe right
19600,swipe right
19633,swipe right
19666,swipe right
19700,swipe right
19733,swipe right
19766,idle
19800,idle
19833,idle
19866,idle
19900,idle
19933,idle
19966,idle
20000,idle
20033,idle
20066,idle
20100,idle
20133,idle
20166,idle
20200,idle
20233,idle
20266,idle
20300,idle
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,swipe right
20933,swipe right
20966,swipe right
21000,swipe right
21033,swipe right
21066,swipe right
21100,swipe right
21133,swipe right
21166,swipe right
21200,swipe right
21233,swipe right
21266,swipe right
21300,swipe right
21333,swipe right
21366,swipe right
21400,swipe right
21433,swipe right
21466,swipe right
21500,swipe right
21533,swipe right
21566,swipe right
21600,swipe right
21633,swipe right
21666,swipe right
21700,swipe right
21733,swipe right
21766,swipe right
21800,swipe right
21833,swipe right
21866,swipe right
21900,swipe right
21933,swipe right
21966,swipe right
22000,swipe right
22033,swipe right
22066,swipe right
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,idle
22766,idle
22800,idle
22833,idle
22866,idle
22900,idle
22933,idle
22966,idle
23000,idle
23033,idle
23066,idle
23100,idle
23133,idle
23166,idle
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,swipe right
23733,swipe right
23766,swipe right
23800,swipe right
23833,swipe right
23866,swipe right
23900,swipe right
23933,swipe right
23966,swipe right
24000,swipe right
24033,swipe right
24066,swipe right
24100,swipe right
24133,swipe right
24166,swipe right
24200,swipe right
24233,swipe right
24266,swipe right
24300,swipe right
24333,swipe right
24366,swipe right
24400,swipe right
24433,swipe right
24466,swipe right
24500,swipe right
24533,swipe right
24566,swipe right
24600,swipe right
24633,swipe right
24666,swipe right
24700,swipe right
24733,swipe right
24766,swipe right
24800,idle
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,idle
25333,idle
25366,idle
25400,idle
25433,idle
25466,idle
25500,idle
25533,idle
25566,idle
25600,idle
25633,idle
25666,idle
25700,idle
25733,idle
25766,idle
25800,idle
25833,idle
25866,idle
25900,idle
25933,idle
25966,idle
26000,idle
26033,idle
26066,idle
26099,idle
26133,idle
26166,idle
26200,idle
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,idle
26433,idle
26466,idle
26500,idle
26533,idle
26566,idle
26599,idle
26633,swipe right
26666,swipe right
26700,swipe right
26733,swipe right
26766,swipe right
26800,swipe right
26833,swipe right
26866,swipe right
26900,swipe right
26933,swipe right
26966,swipe right
27000,swipe right
27033,swipe right
27066,swipe right
27099,swipe right
27133,swipe right
27166,swipe right
27200,swipe right
27233,swipe right
27266,swipe right
27300,swipe right
27333,swipe right
27366,swipe right
27400,swipe right
27433,swipe right
27466,swipe right
27500,swipe right
27533,swipe right
27566,swipe right
27599,swipe right
27633,swipe right
27666,idle
27700,idle
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28599,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,idle
29066,idle
29099,idle
29133,idle
29166,idle
29200,idle
29233,idle
29266,idle
29300,swipe right
29333,swipe right
29366,swipe right
29400,swipe right
29433,swipe right
29466,swipe right
29500,swipe right
29533,swipe right
29566,swipe right
29599,swipe right
29633,swipe right
29666,swipe right
29700,swipe right
29733,swipe right
29766,swipe right
29800,swipe right
29833,swipe right
29866,swipe right
29900,swipe right
29933,swipe right
29966,swipe right
30000,swipe right
30033,swipe right
30066,swipe right
30099,swipe right
30133,swipe right
30166,swipe right
30200,swipe right
30233,swipe right
30266,swipe right
30300,swipe right
30333,idle
30366,idle
30400,idle
30433,idle
30466,idle
30500,idle
30533,idle
30566,idle
30599,idle
30633,idle
30666,idle
30700,idle
30733,idle
30766,idle
30800,idle
30833,idle
30866,idle
30900,idle
30933,idle
30966,idle
31000,idle
31033,idle
31066,idle
31099,idle
31133,idle
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,swipe right
31366,swipe right
31400,swipe right
31433,swipe right
31466,swipe right
31500,swipe right
31533,swipe right
31566,swipe right
31599,swipe right
31633,swipe right
31666,swipe right
31700,swipe right
31733,swipe right
31766,swipe right
31800,swipe right
31833,swipe right
31866,swipe right
31900,swipe right
31933,swipe right
31966,swipe right
32000,swipe right
32033,swipe right
32066,swipe right
32100,swipe right
32133,swipe right
32166,swipe right
32200,swipe right
32233,swipe right
32266,swipe right
32299,swipe right
32333,swipe right
32366,swipe right
32400,swipe right
32433,swipe right
32466,swipe right
32500,swipe right
32533,idle
