timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,idle
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,idle
2566,idle
2600,idle
2633,idle
2666,idle
2700,idle
2733,idle
2766,idle
2800,idle
2833,idle
2866,idle
2900,idle
2933,idle
2966,idle
3000,idle
3033,idle
3066,idle
3100,idle
3133,idle
3166,idle
3200,idle
3233,idle
3266,idle
3300,idle
3333,idle
3366,idle
3400,idle
3433,idle
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3699,idle
3733,idle
3766,idle
3800,idle
3833,idle
3866,idle
3900,idle
3933,idle
3966,idle
4000,idle
4033,idle
4066,idle
4100,idle
4133,idle
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,idle
4433,idle
4466,idle
4500,idle
4533,idle
4566,idle
4600,idle
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,idle
5166,idle
5200,idle
5233,idle
5266,idle
5300,idle
5333,idle
5366,idle
5400,idle
5433,idle
5466,idle
5500,idle
5533,idle
5566,idle
5600,idle
5633,idle
5666,idle
5700,idle
5733,idle
5766,idle
5800,idle
5833,idle
5866,idle
5900,idle
5933,idle
5966,idle
6000,idle
6033,idle
6066,idle
6100,idle
6133,idle
6166,idle
6200,idle
6233,rotate_right
6266,rotate_right
6300,rotate_right
6333,rotate_right
6366,rotate_right
6400,rotate_right
6433,rotate_right
6466,rotate_right
6500,rotate_right
6533,rotate_right
6566,rotate_right
6600,rotate_right
6633,rotate_right
6666,rotate_right
6700,rotate_right
6733,rotate_right
6766,rotate_right
6800,rotate_right
6833,rotate_right
6866,rotate_right
6899,rotate_right
6933,rotate_right
6966,rotate_right
7000,rotate_right
7033,rotate_right
7066,rotate_right
7100,rotate_right
7133,rotate_right
7166,rotate_right
7200,rotate_right
7233,rotate_right
7266,rotate_right
7300,rotate_right
7333,rotate_right
7366,rotate_right
7399,rotate_right
7433,rotate_right
7466,rotate_right
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,idle
7800,idle
7833,idle
7866,idle
7899,idle
7933,idle
7966,idle
8000,idle
8033,idle
8066,idle
8100,idle
8133,idle
8166,idle
8200,idle
8233,idle
8266,idle
8300,idle
8333,idle
8366,idle
8400,idle
8433,idle
8466,idle
8500,idle
8533,idle
8566,idle
8600,idle
8633,idle
8666,idle
8700,idle
8733,idle
8766,idle
8800,idle
8833,idle
8866,idle
8900,rotate_right
8933,rotate_right
8966,rotate_right
9000,rotate_right
9033,rotate_right
9066,rotate_right
9100,rotate_right
9133,rotate_right
9166,rotate_right
9200,rotate_right
9233,rotate_right
9266,rotate_right
9300,rotate_right
9333,rotate_right
9366,rotate_right
9400,rotate_right
9433,rotate_right
9466,rotate_right
9500,rotate_right
9533,rotate_right
9566,rotate_right
9600,rotate_right
9633,rotate_right
9666,rotate_right
9700,rotate_right
9733,rotate_right
9766,rotate_right
9800,rotate_right
9833,rotate_right
9866,rotate_right
9900,rotate_right
9933,rotate_right
9966,rotate_right
10000,rotate_right
10033,rotate_right
10066,rotate_right
10100,rotate_right
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,idle
11800,idle
11833,idle
11866,idle
11900,idle
11933,idle
11966,idle
12000,idle
12033,idle
12066,idle
12100,idle
12133,idle
12166,rotate_right
12200,rotate_right
12233,rotate_right
12266,rotate_right
12300,rotate_right
12333,rotate_right
12366,rotate_right
12400,rotate_right
12433,rotate_right
12466,rotate_right
12500,rotate_right
12533,rotate_right
12566,rotate_right
12600,rotate_right
12633,rotate_right
12666,rotate_right
12700,rotate_right
12733,rotate_right
12766,rotate_right
12800,rotate_right
12833,rotate_right
12866,rotate_right
12900,rotate_right
12933,rotate_right
12966,rotate_right
13000,rotate_right
13033,rotate_right
13066,rotate_right
13100,rotate_right
13133,rotate_right
13166,rotate_right
13200,rotate_right
13233,rotate_right
13266,rotate_right
13299,rotate_right
13333,rotate_right
13366,rotate_right
13400,rotate_right
13433,rotate_right
13466,rotate_right
13500,rotate_right
13533,idle
13566,idle
13600,idle
13633,idle
13666,idle
13700,idle
13733,idle
13766,idle
13799,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,idle
14200,idle
14233,idle
14266,idle
14299,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14799,idle
14833,idle
14866,idle
14900,idle
14933,idle
14966,idle
15000,idle
15033,idle
15066,idle
15100,idle
15133,idle
15166,idle
15200,idle
15233,idle
15266,idle
15299,rotate_right
15333,rotate_right
15366,rotate_right
15400,rotate_right
15433,rotate_right
15466,rotate_right
15500,rotate_right
15533,rotate_right
15566,rotate_right
15600,rotate_right
15633,rotate_right
15666,rotate_right
15700,rotate_right
15733,rotate_right
15766,rotate_right
15799,rotate_right
15833,rotate_right
15866,rotate_right
15900,rotate_right
15933,rotate_right
15966,rotate_right
16000,rotate_right
16033,rotate_right
16066,rotate_right
16100,rotate_right
16133,rotate_right
16166,rotate_right
16200,rotate_right
16233,rotate_right
16266,rotate_right
16300,rotate_right
16333,rotate_right
16366,rotate_right
16400,rotate_right
16433,rotate_right
16466,rotate_right
16500,rotate_right
16533,rotate_right
16566,rotate_right
16600,rotate_right
16633,rotate_right
16666,idle
16700,idle
16733,idle
16766,idle
16800,idle
16833,idle
16866,idle
16900,idle
16933,idle
16966,idle
17000,idle
17033,idle
17066,idle
17100,idle
17133,idle
17166,idle
17200,idle
17233,idle
17266,idle
17300,idle
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,idle
17733,idle
17766,idle
17800,idle
17833,idle
17866,idle
17900,idle
17933,idle
17966,idle
18000,idle
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,idle
18300,idle
18333,idle
18366,idle
18400,idle
18433,idle
18466,idle
18500,idle
18533,idle
18566,idle
18600,idle
18633,idle
18666,idle
18700,idle
18733,idle
18766,idle
18800,idle
18833,idle
18866,rotate_right
18900,rotate_right
18933,rotate_right
18966,rotate_right
19000,rotate_right
19033,rotate_right
19066,rotate_right
19100,rotate_right
19133,rotate_right
19166,rotate_right
19200,rotate_right
19233,rotate_right
19266,rotate_right
19300,rotate_right
19333,rotate_right
19366,rotate_right
19400,rotate_right
19433,rotate_right
19466,rotate_right
19500,rotate_right
19533,rotate_right
19566,rotate_right
19600,rotate_right
19633,rotate_right
19666,rotate_right
19700,rotate_right
19733,rotate_right
19766,rotate_right
19800,rotate_right
19833,rotate_right
19866,rotate_right
19900,rotate_right
19933,rotate_right
19966,rotate_right
20000,rotate_right
20033,rotate_right
20066,rotate_right
20100,rotate_right
20133,rotate_right
20166,rotate_right
20200,rotate_right
20233,rotate_right
20266,rotate_right
20300,rotate_right
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,idle
20866,idle
20900,idle
20933,idle
20966,idle
21000,idle
21033,idle
21066,idle
21100,idle
21133,idle
21166,idle
21200,idle
21233,idle
21266,idle
21300,idle
21333,idle
21366,idle
21400,idle
21433,idle
21466,idle
21500,idle
21533,idle
21566,idle
21600,idle
21633,idle
21666,idle
21700,idle
21733,idle
21766,idle
21800,idle
21833,idle
21866,idle
21900,idle
21933,idle
21966,idle
22000,idle
22033,idle
22066,idle
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,rotate_right
22766,rotate_right
22800,rotate_right
22833,rotate_right
22866,rotate_right
22900,rotate_right
22933,rotate_right
22966,rotate_right
23000,rotate_right
23033,rotate_right
23066,rotate_right
23100,rotate_right
23133,rotate_right
23166,rotate_right
23200,rotate_right
23233,rotate_right
23266,rotate_right
23300,rotate_right
23333,rotate_right
23366,rotate_right
23400,rotate_right
23433,rotate_right
23466,rotate_right
23500,rotate_right
23533,rotate_right
23566,rotate_right
23600,rotate_right
23633,rotate_right
23666,rotate_right
23700,rotate_right
23733,rotate_right
23766,rotate_right
23800,rotate_right
23833,rotate_right
23866,rotate_right
23900,rotate_right
23933,rotate_right
23966,rotate_right
24000,rotate_right
24033,idle
24066,idle
24100,idle
24133,idle
24166,idle
24200,idle
24233,idle
24266,idle
24300,idle
24333,idle
24366,idle
24400,idle
24433,idle
24466,idle
24500,idle
24533,idle
24566,idle
24600,idle
24633,idle
24666,idle
24700,idle
24733,idle
24766,idle
24800,idle
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,idle
25333,idle
25366,idle
25400,idle
25433,idle
25466,idle
25500,idle
25533,idle
25566,idle
25600,idle
25633,idle
25666,idle
25700,idle
25733,idle
25766,idle
25800,idle
25833,idle
25866,idle
25900,idle
25933,idle
25966,idle
26000,idle
26033,idle
26066,idle
26099,idle
26133,idle
26166,idle
26200,idle
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,rotate_right
26433,rotate_right
26466,rotate_right
26500,rotate_right
26533,rotate_right
26566,rotate_right
26599,rotate_right
26633,rotate_right
26666,rotate_right
26700,rotate_right
26733,rotate_right
26766,rotate_right
26800,rotate_right
26833,rotate_right
26866,rotate_right
26900,rotate_right
26933,rotate_right
26966,rotate_right
27000,rotate_right
27033,rotate_right
27066,rotate_right
27099,rotate_right
27133,rotate_right
27166,rotate_right
27200,rotate_right
27233,rotate_right
27266,rotate_right
27300,rotate_right
27333,rotate_right
27366,rotate_right
27400,rotate_right
27433,rotate_right
27466,rotate_right
27500,rotate_right
27533,rotate_right
27566,rotate_right
27599,rotate_right
27633,rotate_right
27666,rotate_right
27700,rotate_right
27733,rotate_right
27766,rotate_right
27800,rotate_right
27833,rotate_right
27866,rotate_right
27900,rotate_right
27933,rotate_right
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28599,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,idle
29066,idle
29099,idle
29133,idle
29166,idle
29200,idle
29233,idle
29266,idle
29300,idle
29333,idle
29366,idle
29400,idle
29433,idle
29466,idle
29500,idle
29533,idle
29566,idle
29599,idle
29633,idle
29666,idle
29700,idle
29733,idle
29766,idle
29800,idle
29833,rotate_right
29866,rotate_right
29900,rotate_right
29933,rotate_right
29966,rotate_right
30000,rotate_right
30033,rotate_right
30066,rotate_right
30099,rotate_right
30133,rotate_right
30166,rotate_right
30200,rotate_right
30233,rotate_right
30266,rotate_right
30300,rotate_right
30333,rotate_right
30366,rotate_right
30400,rotate_right
30433,rotate_right
30466,rotate_right
30500,rotate_right
30533,rotate_right
30566,rotate_right
30599,rotate_right
30633,rotate_right
30666,rotate_right
30700,rotate_right
30733,rotate_right
30766,rotate_right
30800,rotate_right
30833,rotate_right
30866,rotate_right
30900,rotate_right
30933,rotate_right
30966,rotate_right
31000,rotate_right
31033,rotate_right
31066,rotate_right
31099,rotate_right
31133,rotate_right
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,idle
31366,idle
31400,idle
31433,idle
31466,idle
31500,idle
31533,idle
31566,idle
31599,idle
31633,idle
31666,idle
31700,idle
