timestamp,ground_truth
0,idle
33,idle
66,idle
100,idle
133,idle
166,idle
200,idle
233,idle
266,idle
300,idle
333,idle
366,idle
400,idle
433,idle
466,idle
500,idle
533,idle
566,idle
600,idle
633,idle
666,idle
700,idle
733,idle
766,idle
800,idle
833,idle
866,idle
900,idle
933,idle
966,idle
1000,idle
1033,idle
1066,idle
1100,idle
1133,idle
1166,idle
1200,idle
1233,idle
1266,idle
1300,idle
1333,idle
1366,idle
1400,idle
1433,idle
1466,idle
1500,idle
1533,idle
1566,idle
1600,idle
1633,idle
1666,idle
1700,idle
1733,idle
1766,idle
1800,idle
1833,idle
1866,idle
1900,idle
1933,idle
1966,idle
2000,idle
2033,idle
2066,idle
2100,idle
2133,idle
2166,idle
2200,idle
2233,idle
2266,idle
2300,idle
2333,idle
2366,idle
2400,idle
2433,idle
2466,idle
2500,idle
2533,idle
2566,idle
2600,idle
2633,idle
2666,idle
2700,idle
2733,idle
2766,idle
2800,idle
2833,idle
2866,idle
2900,idle
2933,idle
2966,idle
3000,idle
3033,idle
3066,idle
3100,idle
3133,idle
3166,idle
3200,idle
3233,idle
3266,idle
3300,idle
3333,idle
3366,idle
3400,idle
3433,idle
3466,idle
3500,idle
3533,idle
3566,idle
3600,idle
3633,idle
3666,idle
3699,idle
3733,idle
3766,idle
3800,idle
3833,idle
3866,idle
3900,idle
3933,idle
3966,idle
4000,idle
4033,idle
4066,idle
4100,idle
4133,idle
4166,idle
4200,idle
4233,idle
4266,idle
4300,idle
4333,idle
4366,idle
4400,idle
4433,idle
4466,idle
4500,idle
4533,idle
4566,idle
4600,idle
4633,idle
4666,idle
4700,idle
4733,idle
4766,idle
4800,idle
4833,idle
4866,idle
4900,idle
4933,idle
4966,idle
5000,idle
5033,idle
5066,idle
5100,idle
5133,swipe_right
5166,swipe_right
5200,swipe_right
5233,swipe_right
5266,swipe_right
5300,swipe_right
5333,swipe_right
5366,swipe_right
5400,swipe_right
5433,swipe_right
5466,swipe_right
5500,swipe_right
5533,swipe_right
5566,swipe_right
5600,swipe_right
5633,swipe_right
5666,swipe_right
5700,swipe_right
5733,swipe_right
5766,swipe_right
5800,swipe_right
5833,swipe_right
5866,swipe_right
5900,swipe_right
5933,swipe_right
5966,swipe_right
6000,swipe_right
6033,swipe_right
6066,swipe_right
6100,swipe_right
6133,swipe_right
6166,idle
6200,idle
6233,idle
6266,idle
6300,idle
6333,idle
6366,idle
6400,idle
6433,idle
6466,idle
6500,idle
6533,idle
6566,idle
6600,idle
6633,idle
6666,idle
6700,idle
6733,idle
6766,idle
6800,idle
6833,idle
6866,idle
6899,idle
6933,idle
6966,idle
7000,idle
7033,idle
7066,idle
7100,idle
7133,idle
7166,idle
7200,idle
7233,idle
7266,idle
7300,idle
7333,idle
7366,idle
7399,idle
7433,idle
7466,idle
7500,idle
7533,idle
7566,idle
7600,idle
7633,idle
7666,idle
7700,idle
7733,idle
7766,idle
7800,idle
7833,idle
7866,idle
7899,idle
7933,idle
7966,idle
8000,idle
8033,idle
8066,idle
8100,idle
8133,idle
8166,idle
8200,idle
8233,idle
8266,idle
8300,idle
8333,idle
8366,idle
8400,swipe_right
8433,swipe_right
8466,swipe_right
8500,swipe_right
8533,swipe_right
8566,swipe_right
8600,swipe_right
8633,swipe_right
8666,swipe_right
8700,swipe_right
8733,swipe_right
8766,swipe_right
8800,swipe_right
8833,swipe_right
8866,swipe_right
8900,swipe_right
8933,swipe_right
8966,swipe_right
9000,swipe_right
9033,swipe_right
9066,swipe_right
9100,swipe_right
9133,swipe_right
9166,swipe_right
9200,swipe_right
9233,swipe_right
9266,swipe_right
9300,swipe_right
9333,swipe_right
9366,swipe_right
9400,swipe_right
9433,swipe_right
9466,swipe_right
9500,swipe_right
9533,swipe_right
9566,swipe_right
9600,swipe_right
9633,swipe_right
9666,idle
9700,idle
9733,idle
9766,idle
9800,idle
9833,idle
9866,idle
9900,idle
9933,idle
9966,idle
10000,idle
10033,idle
10066,idle
10100,idle
10133,idle
10166,idle
10200,idle
10233,idle
10266,idle
10300,idle
10333,idle
10366,idle
10400,idle
10433,idle
10466,idle
10500,idle
10533,idle
10566,idle
10600,idle
10633,idle
10666,idle
10700,idle
10733,idle
10766,idle
10800,idle
10833,idle
10866,idle
10900,idle
10933,idle
10966,idle
11000,idle
11033,idle
11066,idle
11100,idle
11133,idle
11166,idle
11200,idle
11233,idle
11266,idle
11300,idle
11333,idle
11366,idle
11400,idle
11433,idle
11466,idle
11500,idle
11533,idle
11566,idle
11600,idle
11633,idle
11666,idle
11700,idle
11733,idle
11766,swipe_right
11800,swipe_right
11833,swipe_right
11866,swipe_right
11900,swipe_right
11933,swipe_right
11966,swipe_right
12000,swipe_right
12033,swipe_right
12066,swipe_right
12100,swipe_right
12133,swipe_right
12166,swipe_right
12200,swipe_right
12233,swipe_right
12266,swipe_right
12300,swipe_right
12333,swipe_right
12366,swipe_right
12400,swipe_right
12433,swipe_right
12466,swipe_right
12500,swipe_right
12533,swipe_right
12566,swipe_right
12600,swipe_right
12633,swipe_right
12666,swipe_right
12700,swipe_right
12733,idle
12766,idle
12800,idle
12833,idle
12866,idle
12900,idle
12933,idle
12966,idle
13000,idle
13033,idle
13066,idle
13100,idle
13133,idle
13166,idle
13200,idle
13233,idle
13266,idle
13299,idle
13333,idle
13366,idle
13400,idle
13433,idle
13466,idle
13500,idle
13533,idle
13566,idle
13600,idle
13633,idle
13666,idle
13700,idle
13733,idle
13766,idle
13799,idle
13833,idle
13866,idle
13900,idle
13933,idle
13966,idle
14000,idle
14033,idle
14066,idle
14100,idle
14133,idle
14166,idle
14200,idle
14233,idle
14266,idle
14299,idle
14333,idle
14366,idle
14400,idle
14433,idle
14466,idle
14500,idle
14533,idle
14566,idle
14600,idle
14633,idle
14666,idle
14700,idle
14733,idle
14766,idle
14799,idle
14833,idle
14866,idle
14900,idle
14933,swipe_right
14966,swipe_right
15000,swipe_right
15033,swipe_right
15066,swipe_right
15100,swipe_right
15133,swipe_right
15166,swipe_right
15200,swipe_right
15233,swipe_right
15266,swipe_right
15299,swipe_right
15333,swipe_right
15366,swipe_right
15400,swipe_right
15433,swipe_right
15466,swipe_right
15500,swipe_right
15533,swipe_right
15566,swipe_right
15600,swipe_right
15633,swipe_right
15666,swipe_right
15700,swipe_right
15733,swipe_right
15766,swipe_right
15799,swipe_right
15833,swipe_right
15866,swipe_right
15900,swipe_right
15933,swipe_right
15966,swipe_right
16000,swipe_right
16033,swipe_right
16066,swipe_right
16100,swipe_right
16133,swipe_right
16166,swipe_right
16200,swipe_right
16233,swipe_right
16266,swipe_right
16300,swipe_right
16333,idle
16366,idle
16400,idle
16433,idle
16466,idle
16500,idle
16533,idle
16566,idle
16600,idle
16633,idle
16666,idle
16700,idle
16733,idle
16766,idle
16800,idle
16833,idle
16866,idle
16900,idle
16933,idle
16966,idle
17000,idle
17033,idle
17066,idle
17100,idle
17133,idle
17166,idle
17200,idle
17233,idle
17266,idle
17300,idle
17333,idle
17366,idle
17400,idle
17433,idle
17466,idle
17500,idle
17533,idle
17566,idle
17600,idle
17633,idle
17666,idle
17700,idle
17733,idle
17766,idle
17800,idle
17833,idle
17866,idle
17900,idle
17933,idle
17966,idle
18000,idle
18033,idle
18066,idle
18100,idle
18133,idle
18166,idle
18200,idle
18233,idle
18266,swipe_right
18300,swipe_right
18333,swipe_right
18366,swipe_right
18400,swipe_right
18433,swipe_right
18466,swipe_right
18500,swipe_right
18533,swipe_right
18566,swipe_right
18600,swipe_right
18633,swipe_right
18666,swipe_right
18700,swipe_right
18733,swipe_right
18766,swipe_right
18800,swipe_right
18833,swipe_right
18866,swipe_right
18900,swipe_right
18933,swipe_right
18966,swipe_right
19000,swipe_right
19033,swipe_right
19066,swipe_right
19100,swipe_right
19133,idle
19166,idle
19200,idle
19233,idle
19266,idle
19300,idle
19333,idle
19366,idle
19400,idle
19433,idle
19466,idle
19500,idle
19533,idle
19566,idle
19600,idle
19633,idle
19666,idle
19700,idle
19733,idle
19766,idle
19800,idle
19833,idle
19866,idle
19900,idle
19933,idle
19966,idle
20000,idle
20033,idle
20066,idle
20100,idle
20133,idle
20166,idle
20200,idle
20233,idle
20266,idle
20300,idle
20333,idle
20366,idle
20400,idle
20433,idle
20466,idle
20500,idle
20533,idle
20566,idle
20600,idle
20633,idle
20666,idle
20700,idle
20733,idle
20766,idle
20800,idle
20833,swipe_right
20866,swipe_right
20900,swipe_right
20933,swipe_right
20966,swipe_right
21000,swipe_right
21033,swipe_right
21066,swipe_right
21100,swipe_right
21133,swipe_right
21166,swipe_right
21200,swipe_right
21233,swipe_right
21266,swipe_right
21300,swipe_right
21333,swipe_right
21366,swipe_right
21400,swipe_right
21433,swipe_right
21466,swipe_right
21500,swipe_right
21533,swipe_right
21566,swipe_right
21600,swipe_right
21633,swipe_right
21666,swipe_right
21700,idle
21733,idle
21766,idle
21800,idle
21833,idle
21866,idle
21900,idle
21933,idle
21966,idle
22000,idle
22033,idle
22066,idle
22100,idle
22133,idle
22166,idle
22200,idle
22233,idle
22266,idle
22300,idle
22333,idle
22366,idle
22400,idle
22433,idle
22466,idle
22500,idle
22533,idle
22566,idle
22600,idle
22633,idle
22666,idle
22700,idle
22733,idle
22766,idle
22800,idle
22833,idle
22866,idle
22900,idle
22933,idle
22966,idle
23000,idle
23033,idle
23066,idle
23100,idle
23133,idle
23166,idle
23200,idle
23233,idle
23266,idle
23300,idle
23333,idle
23366,idle
23400,idle
23433,idle
23466,idle
23500,idle
23533,idle
23566,idle
23600,idle
23633,idle
23666,idle
23700,idle
23733,idle
23766,idle
23800,swipe_right
23833,swipe_right
23866,swipe_right
23900,swipe_right
23933,swipe_right
23966,swipe_right
24000,swipe_right
24033,swipe_right
24066,swipe_right
24100,swipe_right
24133,swipe_right
24166,swipe_right
24200,swipe_right
24233,swipe_right
24266,swipe_right
24300,swipe_right
24333,swipe_right
24366,swipe_right
24400,swipe_right
24433,swipe_right
24466,swipe_right
24500,swipe_right
24533,swipe_right
24566,swipe_right
24600,swipe_right
24633,idle
24666,idle
24700,idle
24733,idle
24766,idle
24800,idle
24833,idle
24866,idle
24900,idle
24933,idle
24966,idle
25000,idle
25033,idle
25066,idle
25100,idle
25133,idle
25166,idle
25200,idle
25233,idle
25266,idle
25300,idle
25333,idle
25366,idle
25400,idle
25433,idle
25466,idle
25500,idle
25533,idle
25566,idle
25600,idle
25633,idle
25666,idle
25700,idle
25733,idle
25766,idle
25800,idle
25833,idle
25866,idle
25900,idle
25933,idle
25966,idle
26000,idle
26033,idle
26066,idle
26099,idle
26133,idle
26166,idle
26200,idle
26233,idle
26266,idle
26300,idle
26333,idle
26366,idle
26400,idle
26433,idle
26466,idle
26500,idle
26533,idle
26566,idle
26599,idle
26633,idle
26666,swipe_right
26700,swipe_right
26733,swipe_right
26766,swipe_right
26800,swipe_right
26833,swipe_right
26866,swipe_right
26900,swipe_right
26933,swipe_right
26966,swipe_right
27000,swipe_right
27033,swipe_right
27066,swipe_right
27099,swipe_right
27133,swipe_right
27166,swipe_right
27200,swipe_right
27233,swipe_right
27266,swipe_right
27300,swipe_right
27333,swipe_right
27366,swipe_right
27400,swipe_right
27433,swipe_right
27466,swipe_right
27500,idle
27533,idle
27566,idle
27599,idle
27633,idle
27666,idle
27700,idle
27733,idle
27766,idle
27800,idle
27833,idle
27866,idle
27900,idle
27933,idle
27966,idle
28000,idle
28033,idle
28066,idle
28099,idle
28133,idle
28166,idle
28200,idle
28233,idle
28266,idle
28300,idle
28333,idle
28366,idle
28400,idle
28433,idle
28466,idle
28500,idle
28533,idle
28566,idle
28599,idle
28633,idle
28666,idle
28700,idle
28733,idle
28766,idle
28800,idle
28833,idle
28866,idle
28900,idle
28933,idle
28966,idle
29000,idle
29033,idle
29066,idle
29099,idle
29133,idle
29166,idle
29200,idle
29233,idle
29266,idle
29300,idle
29333,idle
29366,idle
29400,idle
29433,idle
29466,idle
29500,idle
29533,idle
29566,swipe_right
29599,swipe_right
29633,swipe_right
29666,swipe_right
29700,swipe_right
29733,swipe_right
29766,swipe_right
29800,swipe_right
29833,swipe_right
29866,swipe_right
29900,swipe_right
29933,swipe_right
29966,swipe_right
30000,swipe_right
30033,swipe_right
30066,swipe_right
30099,swipe_right
30133,swipe_right
30166,swipe_right
30200,swipe_right
30233,swipe_right
30266,swipe_right
30300,swipe_right
30333,idle
30366,idle
30400,idle
30433,idle
30466,idle
30500,idle
30533,idle
30566,idle
30599,idle
30633,idle
30666,idle
30700,idle
30733,idle
30766,idle
30800,idle
30833,idle
30866,idle
30900,idle
30933,idle
30966,idle
31000,idle
31033,idle
31066,idle
31099,idle
31133,idle
31166,idle
31200,idle
31233,idle
31266,idle
31300,idle
31333,idle
31366,idle
31400,idle
31433,idle
31466,idle
31500,idle
31533,idle
31566,idle
31599,idle
31633,idle
31666,idle
31700,idle
31733,idle
31766,idle
31800,idle
31833,idle
31866,idle
31900,idle
31933,idle
31966,idle
32000,idle
32033,idle
32066,idle
32100,idle
32133,idle
32166,idle
32200,idle
32233,swipe_right
32266,swipe_right
32299,swipe_right
32333,swipe_right
32366,swipe_right
32400,swipe_right
32433,swipe_right
32466,swipe_right
32500,swipe_right
32533,swipe_right
