timestamp,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence,ground_truth
0,0.48315,0.24291,-0.72608,0.99905,0.50325,0.18689,-0.68935,0.99769,0.51391,0.18778,-0.68961,0.99797,0.52297,0.18903,-0.68987,0.99767,0.46725,0.18624,-0.70146,0.9978,0.45474,0.18692,-0.70157,0.99831,0.44296,0.18779,-0.70207,0.99795,0.53599,0.20929,-0.4077,0.99729,0.43411,0.20528,-0.45802,0.99814,0.50499,0.2959,-0.61553,0.99909,0.45881,0.29347,-0.63,0.99929,0.60728,0.53249,-0.15765,0.99784,0.35196,0.42202,-0.31922,0.9978,0.71113,0.83698,-0.01922,0.70312,0.27941,0.80453,-0.26043,0.56909,0.81129,1.09091,-0.21263,0.4188,0.24247,1.15049,-0.50313,0.12854,0.85813,1.19076,-0.25689,0.36427,0.22138,1.27378,-0.5702,0.12098,0.84621,1.19373,-0.34497,0.46047,0.25014,1.2857,-0.65179,0.17034,0.81926,1.16788,-0.25785,0.44103,0.26325,1.24274,-0.54375,0.16613,0.55044,1.21071,0.01026,0.0118,0.36309,1.19342,-0.00814,0.00876,0.53759,1.78042,-0.07007,0.00417,0.35281,1.76248,-0.06317,0.00229,0.52416,2.3096,0.25401,0.00043,0.34307,2.29161,0.1244,0.00041,0.52401,2.39179,0.26476,0.00024,0.33346,2.37642,0.12673,0.00059,0.50285,2.4657,-0.09974,0.00067,0.37697,2.43912,-0.27809,0.00105,idle
33,0.48314,0.24302,-0.5175,0.99912,0.50335,0.18666,-0.48511,0.99787,0.51397,0.18713,-0.48521,0.99813,0.52323,0.18793,-0.48551,0.99785,0.46727,0.18624,-0.49486,0.99798,0.45474,0.1869,-0.4948,0.99845,0.44302,0.18771,-0.49522,0.99812,0.53633,0.20858,-0.25052,0.99748,0.43319,0.20536,-0.28758,0.9983,0.50499,0.29615,-0.42673,0.99916,0.45887,0.29379,-0.4365,0.99935,0.60842,0.53086,-0.06637,0.99799,0.35171,0.42507,-0.24085,0.99798,0.71354,0.85369,0.0017,0.70492,0.27764,0.82692,-0.22646,0.58105,0.80103,1.08589,-0.2122,0.40165,0.2421,1.18332,-0.44845,0.13158,0.84152,1.17129,-0.2608,0.3496,0.22078,1.30699,-0.51267,0.12211,0.82337,1.16893,-0.33984,0.44443,0.25065,1.32008,-0.58251,0.17128,0.80035,1.14402,-0.25424,0.42521,0.26395,1.27646,-0.48369,0.16789,0.55015,1.22096,0.01442,0.01163,0.36114,1.20396,-0.01224,0.00883,0.53493,1.79945,-0.00155,0.00401,0.34996,1.78363,-0.0504,0.00218,0.51712,2.3339,0.33011,0.00041,0.33465,2.31625,0.14622,0.00038,0.51587,2.41667,0.3446,0.00024,0.32405,2.40113,0.15272,0.00056,0.49802,2.49374,0.02445,0.00065,0.36792,2.46856,-0.23007,0.00098,idle
66,0.48159,0.24206,-0.50945,0.99918,0.50278,0.18618,-0.47841,0.99803,0.51349,0.18666,-0.47842,0.99827,0.52298,0.18758,-0.4787,0.99801,0.46693,0.18577,-0.48498,0.99814,0.45459,0.1863,-0.48484,0.99857,0.44302,0.18692,-0.48523,0.99827,0.53635,0.20893,-0.25455,0.99767,0.43303,0.20554,-0.27873,0.99844,0.504,0.29614,-0.42413,0.99923,0.45749,0.29378,-0.43028,0.9994,0.60863,0.53157,-0.0765,0.99814,0.35168,0.42655,-0.24355,0.99816,0.71405,0.85936,0.01215,0.71101,0.27729,0.82936,-0.23178,0.59374,0.80157,1.11607,-0.14649,0.38549,0.238,1.17994,-0.44705,0.1363,0.84212,1.19779,-0.18631,0.33444,0.21393,1.30352,-0.50815,0.12399,0.82599,1.20386,-0.25324,0.42765,0.24835,1.31722,-0.57564,0.17277,0.80201,1.17632,-0.18362,0.40902,0.262,1.2741,-0.48185,0.16983,0.54725,1.22514,0.01403,0.0117,0.35618,1.20449,-0.01185,0.00907,0.52567,1.80383,0.01562,0.0038,0.34034,1.785,-0.03185,0.00206,0.50593,2.33936,0.36896,0.0004,0.3235,2.31598,0.19199,0.00036,0.50459,2.42268,0.38521,0.00024,0.31434,2.39985,0.20262,0.00052,0.48604,2.49777,0.06171,0.00062,0.35442,2.47032,-0.18376,0.00091,idle
100,0.48142,0.25034,-0.5105,0.9992,0.50265,0.19526,-0.48259,0.99803,0.51321,0.19543,-0.48258,0.99828,0.52266,0.19559,-0.4829,0.99802,0.46757,0.19478,-0.48716,0.99817,0.45587,0.19478,-0.48703,0.99859,0.44538,0.19475,-0.48746,0.9983,0.53536,0.21604,-0.26476,0.99767,0.43637,0.21363,-0.27906,0.99849,0.50294,0.30537,-0.42659,0.99924,0.45762,0.30183,-0.42972,0.99942,0.60811,0.53439,-0.07884,0.99822,0.35306,0.42785,-0.23882,0.99829,0.71127,0.8581,0.03198,0.70883,0.27764,0.82798,-0.22289,0.59148,0.80223,1.11484,-0.09413,0.37057,0.23661,1.17677,-0.41021,0.13757,0.8446,1.19742,-0.12492,0.32171,0.20998,1.29696,-0.46432,0.1242,0.82884,1.20319,-0.19444,0.41374,0.24493,1.31672,-0.5316,0.1722,0.80447,1.17596,-0.13193,0.39571,0.25944,1.27277,-0.44504,0.16969,0.54452,1.22579,0.01386,0.01112,0.35391,1.20432,-0.0117,0.0087,0.52114,1.80302,-0.00348,0.00352,0.33756,1.78484,-0.03533,0.00191,0.50017,2.33834,0.33662,0.00038,0.31824,2.31496,0.17906,0.00033,0.4987,2.42144,0.35058,0.00023,0.30892,2.39908,0.18618,0.00048,0.47997,2.49553,0.01239,0.00059,0.34657,2.46913,-0.20819,0.00084,idle
133,0.48268,0.25861,-0.48944,0.99924,0.50302,0.20538,-0.45823,0.99815,0.51337,0.20521,-0.45826,0.99837,0.52279,0.20449,-0.45856,0.99813,0.46893,0.20474,-0.4671,0.99829,0.45724,0.20429,-0.46699,0.99868,0.44698,0.20388,-0.46738,0.99842,0.53517,0.22276,-0.2284,0.99778,0.43635,0.22215,-0.263,0.9986,0.50319,0.31347,-0.40117,0.99928,0.45949,0.31017,-0.41003,0.99946,0.60216,0.53328,-0.03329,0.9983,0.35521,0.43421,-0.21617,0.99843,0.69827,0.8349,0.10189,0.70169,0.27769,0.8294,-0.2229,0.60508,0.79169,1.06361,-0.03366,0.35543,0.23625,1.18205,-0.42791,0.14469,0.8351,1.12955,-0.06775,0.3095,0.21008,1.30217,-0.48522,0.1289,0.82401,1.13335,-0.13784,0.39923,0.24457,1.32067,-0.54906,0.17616,0.80002,1.11437,-0.07232,0.38222,0.25911,1.27836,-0.46135,0.17445,0.54458,1.22555,0.01727,0.01095,0.35599,1.20534,-0.01516,0.00871,0.52123,1.80222,-0.01161,0.00332,0.34442,1.78683,-0.04626,0.00184,0.5027,2.33732,0.32472,0.00037,0.32647,2.32033,0.13021,0.00032,0.4992,2.42012,0.338,0.00023,0.31429,2.40336,0.13527,0.00045,0.49752,2.49408,0.00075,0.00059,0.36221,2.47295,-0.25485,0.0008,idle
166,0.4841,0.26312,-0.50688,0.99928,0.50352,0.21052,-0.47337,0.99823,0.51373,0.20987,-0.47344,0.99843,0.52319,0.20877,-0.47376,0.99821,0.46995,0.21145,-0.48415,0.99839,0.45837,0.2115,-0.4841,0.99875,0.44838,0.21177,-0.48452,0.99851,0.53519,0.22717,-0.23249,0.99785,0.43645,0.23044,-0.27495,0.9987,0.50379,0.31853,-0.41411,0.9993,0.46187,0.31609,-0.42531,0.99949,0.60228,0.53437,-0.02373,0.99833,0.35699,0.44697,-0.22043,0.99854,0.69859,0.83738,0.1073,0.69187,0.27781,0.83152,-0.2183,0.61868,0.78638,1.06178,-0.05067,0.33812,0.23651,1.18827,-0.42473,0.15042,0.83139,1.12845,-0.08744,0.2953,0.21049,1.30792,-0.48184,0.13199,0.82065,1.13244,-0.15797,0.38249,0.24491,1.32602,-0.54499,0.17905,0.79706,1.1125,-0.09,0.36606,0.2594,1.28398,-0.45681,0.17759,0.5448,1.22921,0.01948,0.01075,0.35765,1.2118,-0.01745,0.00869,0.52169,1.80574,-0.01622,0.00325,0.34682,1.79146,-0.06261,0.00185,0.50384,2.3417,0.31231,0.00038,0.32928,2.32705,0.10447,0.00032,0.49964,2.42444,0.32389,0.00024,0.31633,2.41035,0.10773,0.00045,0.50189,2.49686,-0.00568,0.00062,0.36658,2.47739,-0.28475,0.00079,idle
200,0.48796,0.2624,-0.47984,0.9993,0.50525,0.21021,-0.44795,0.99829,0.51523,0.20974,-0.44803,0.99848,0.52452,0.20908,-0.44833,0.99827,0.47243,0.21084,-0.45795,0.99847,0.46062,0.2109,-0.45788,0.99881,0.45032,0.21132,-0.45828,0.99859,0.53548,0.22917,-0.21778,0.99789,0.43679,0.23104,-0.25583,0.99878,0.50683,0.31774,-0.392,0.99933,0.46558,0.31524,-0.40183,0.99951,0.60224,0.53512,-0.03511,0.99839,0.35839,0.45281,-0.20308,0.99865,0.69902,0.84798,0.08078,0.68327,0.27999,0.83868,-0.19907,0.63044,0.7768,1.04052,-0.09538,0.32814,0.23865,1.18792,-0.40801,0.1579,0.81704,1.10703,-0.15,0.28716,0.21361,1.30747,-0.46503,0.13636,0.80549,1.10483,-0.2016,0.37239,0.24732,1.32405,-0.52482,0.18316,0.78388,1.08575,-0.12881,0.35709,0.26155,1.28216,-0.43863,0.18317,0.54908,1.22907,0.01865,0.01056,0.36185,1.21417,-0.01667,0.00873,0.53017,1.80555,-0.003,0.00305,0.35399,1.79368,-0.05238,0.00175,0.51819,2.34076,0.33446,0.00037,0.34125,2.32692,0.13654,0.0003,0.51542,2.42358,0.34878,0.00024,0.33009,2.4092,0.14475,0.00042,0.51251,2.49631,0.02896,0.0006,0.37727,2.47824,-0.24164,0.00075,idle
233,0.48827,0.26474,-0.51758,0.99926,0.50553,0.21445,-0.48491,0.99819,0.51535,0.21396,-0.48502,0.99839,0.52463,0.21341,-0.48533,0.99817,0.47374,0.21528,-0.49486,0.99841,0.46223,0.21551,-0.49481,0.99876,0.4521,0.21617,-0.49524,0.99855,0.53553,0.23446,-0.24521,0.99775,0.44006,0.23563,-0.28343,0.99875,0.50701,0.31886,-0.42527,0.99931,0.46665,0.31591,-0.43542,0.9995,0.60375,0.53901,-0.04944,0.9984,0.36157,0.45759,-0.21837,0.9987,0.70011,0.86591,0.07061,0.67583,0.28568,0.83836,-0.20503,0.63333,0.77831,1.05671,-0.09371,0.31243,0.24205,1.18734,-0.41804,0.15628,0.81791,1.1244,-0.13406,0.27301,0.21661,1.30331,-0.47706,0.13363,0.80571,1.13018,-0.20185,0.35587,0.24931,1.32299,-0.54106,0.17945,0.78392,1.10691,-0.13123,0.34101,0.26342,1.28184,-0.45065,0.17962,0.55258,1.23413,0.01348,0.01022,0.3665,1.21958,-0.01155,0.00851,0.5372,1.81012,-0.00792,0.00292,0.3596,1.79722,-0.04836,0.00167,0.52811,2.34356,0.33589,0.00036,0.34988,2.32801,0.16157,0.00029,0.52733,2.425,0.35095,0.00023,0.34195,2.40958,0.17057,0.00041,0.51411,2.49998,0.01854,0.00058,0.37968,2.47976,-0.22441,0.00071,idle
266,0.48819,0.26425,-0.66132,0.99923,0.50553,0.21457,-0.62024,0.99809,0.51524,0.21442,-0.62037,0.99829,0.52441,0.21428,-0.62072,0.99807,0.47477,0.21555,-0.633,0.99832,0.46376,0.21605,-0.63303,0.9987,0.45387,0.21697,-0.6335,0.99847,0.53547,0.23851,-0.33593,0.99762,0.44286,0.2382,-0.38867,0.99869,0.50693,0.31845,-0.55364,0.99929,0.46693,0.3156,-0.56813,0.99948,0.60544,0.54173,-0.09543,0.99833,0.36482,0.46548,-0.28135,0.99866,0.70018,0.87422,0.06384,0.67452,0.29449,0.83655,-0.24231,0.63439,0.78042,1.13027,-0.09151,0.30019,0.24831,1.1612,-0.46688,0.15445,0.8206,1.21379,-0.12618,0.26235,0.22389,1.26864,-0.53444,0.1318,0.80848,1.23044,-0.2063,0.34387,0.25301,1.29066,-0.60667,0.1771,0.78599,1.20335,-0.13334,0.32975,0.26653,1.25434,-0.50357,0.1773,0.55628,1.23429,0.01166,0.00999,0.37398,1.22145,-0.00981,0.00831,0.5458,1.8104,-0.00979,0.0028,0.36993,1.79762,-0.04859,0.0016,0.54011,2.34356,0.36459,0.00036,0.36327,2.32855,0.18698,0.00028,0.54009,2.42435,0.38086,0.00023,0.35788,2.40976,0.19646,0.0004,0.52194,2.49986,0.0158,0.00056,0.387,2.47873,-0.22619,0.00068,idle
333,0.48879,0.2639,-0.70832,0.99919,0.50591,0.21396,-0.66663,0.99797,0.51532,0.21384,-0.66679,0.99822,0.52449,0.21378,-0.66713,0.99796,0.47634,0.21498,-0.67851,0.99822,0.46556,0.21565,-0.67855,0.99864,0.45552,0.21676,-0.67906,0.99838,0.53622,0.23888,-0.38166,0.9975,0.44564,0.23881,-0.43064,0.99864,0.50761,0.317,-0.60085,0.99926,0.46897,0.3147,-0.61447,0.99946,0.60917,0.54864,-0.13851,0.99819,0.3669,0.46744,-0.3168,0.99863,0.69988,0.89257,0.03015,0.66713,0.29865,0.83574,-0.26731,0.63653,0.77235,1.17698,-0.12206,0.28318,0.25122,1.15523,-0.48836,0.15217,0.80819,1.26823,-0.15442,0.2471,0.22752,1.26168,-0.5567,0.1289,0.79557,1.28699,-0.23982,0.3254,0.25464,1.28484,-0.63015,0.17341,0.77407,1.25527,-0.16576,0.31233,0.26777,1.24866,-0.52579,0.17358,0.55678,1.23409,0.00959,0.01018,0.3755,1.2209,-0.00782,0.00857,0.54603,1.81002,-0.01036,0.00278,0.37013,1.79683,-0.04434,0.00157,0.54143,2.3425,0.36124,0.00036,0.36361,2.32741,0.20275,0.00028,0.54204,2.42199,0.37757,0.00024,0.35853,2.4087,0.21242,0.0004,0.52036,2.49886,0.00959,0.00056,0.38634,2.47425,-0.21482,0.00068,idle
