timestamp,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence,ground_truth
0,0.48971,0.30088,-1.08353,0.99976,0.51307,0.24353,-1.07371,0.99929,0.52621,0.24266,-1.07375,0.99926,0.53684,0.24247,-1.07398,0.9993,0.47432,0.24419,-1.06498,0.99936,0.46336,0.24275,-1.06511,0.99935,0.45558,0.24111,-1.06552,0.99937,0.5544,0.25421,-0.83264,0.99925,0.45249,0.25069,-0.78795,0.99921,0.51309,0.3523,-0.98087,0.99973,0.46712,0.35054,-0.96825,0.99977,0.64114,0.54114,-0.55441,0.99703,0.38133,0.44271,-0.56532,0.99813,0.77619,0.85491,-0.44283,0.86226,0.30857,0.79932,-0.49626,0.64226,0.88167,1.18145,-0.57947,0.41846,0.26366,1.14077,-0.70024,0.18398,0.92867,1.26523,-0.61687,0.33213,0.24438,1.25061,-0.75438,0.15825,0.91456,1.27602,-0.7074,0.43507,0.26224,1.24987,-0.83561,0.21532,0.88583,1.25186,-0.61981,0.44292,0.27686,1.21945,-0.73934,0.20923,0.57211,1.20078,-0.01702,0.01035,0.39201,1.18026,0.01873,0.00964,0.55474,1.7355,-0.00783,0.00633,0.37498,1.71535,0.01929,0.00455,0.54433,2.23034,0.35907,0.00058,0.36423,2.22607,0.25835,0.00088,0.54688,2.30317,0.37528,0.00032,0.36003,2.30072,0.26824,0.00074,0.51367,2.39952,0.00894,0.00078,0.38519,2.39643,-0.12598,0.00218,idle
33,0.48966,0.29875,-0.69574,0.99977,0.51322,0.24155,-0.67308,0.99934,0.52647,0.24028,-0.67323,0.99931,0.53728,0.23954,-0.67363,0.99934,0.47438,0.24186,-0.66786,0.9994,0.46343,0.24009,-0.66759,0.99939,0.45565,0.23828,-0.6679,0.99941,0.55513,0.25213,-0.44139,0.9993,0.45232,0.24829,-0.4055,0.99927,0.51322,0.34984,-0.60343,0.99975,0.46676,0.34686,-0.59317,0.99979,0.64114,0.53377,-0.24106,0.99729,0.38076,0.44319,-0.28844,0.99829,0.77624,0.85667,-0.12349,0.86608,0.30645,0.81187,-0.24442,0.66105,0.87836,1.18887,-0.24033,0.41038,0.26355,1.15184,-0.48769,0.18491,0.92234,1.28171,-0.28305,0.32318,0.24403,1.26653,-0.54941,0.15808,0.90252,1.29551,-0.35495,0.42598,0.26639,1.27162,-0.63517,0.21601,0.87569,1.26721,-0.27738,0.43396,0.27996,1.23686,-0.52977,0.21123,0.57254,1.21871,-0.03121,0.01001,0.39197,1.19506,0.03369,0.0093,0.55474,1.78095,-0.05647,0.00585,0.37534,1.75702,0.02761,0.00418,0.53405,2.28437,0.31608,0.00053,0.35897,2.2564,0.25916,0.0008,0.53497,2.35971,0.33197,0.0003,0.35217,2.33254,0.26989,0.00068,0.49773,2.44521,-0.02924,0.00071,0.37818,2.42115,-0.12597,0.00198,idle
66,0.48977,0.29751,-0.59816,0.99979,0.51403,0.24027,-0.5726,0.99939,0.52746,0.23885,-0.57276,0.99936,0.53831,0.23782,-0.57312,0.99939,0.47484,0.24026,-0.56811,0.99945,0.46375,0.23827,-0.5678,0.99944,0.45595,0.23628,-0.5681,0.99946,0.5563,0.25096,-0.34359,0.99936,0.45231,0.24665,-0.31147,0.99933,0.51378,0.34831,-0.50852,0.99977,0.46675,0.34458,-0.49951,0.99981,0.64114,0.52866,-0.16928,0.99754,0.38006,0.44362,-0.21307,0.99843,0.77634,0.85783,-0.07064,0.86936,0.30568,0.81724,-0.17089,0.67653,0.87394,1.19516,-0.1944,0.40247,0.26355,1.15378,-0.40887,0.18455,0.91542,1.29425,-0.23739,0.31491,0.24391,1.26945,-0.46979,0.15699,0.8918,1.30769,-0.30695,0.41766,0.26962,1.275,-0.55114,0.21541,0.86649,1.2771,-0.23056,0.42508,0.28255,1.23955,-0.44942,0.21143,0.57376,1.22475,-0.0364,0.0096,0.39197,1.20099,0.03906,0.00888,0.55506,1.79191,-0.07641,0.00539,0.37605,1.76917,0.02723,0.00383,0.53088,2.29986,0.27709,0.00049,0.35652,2.26836,0.23836,0.00073,0.53146,2.37673,0.2909,0.00028,0.34866,2.3453,0.24829,0.00063,0.49296,2.45998,-0.06971,0.00065,0.37569,2.43266,-0.15087,0.0018,idle
100,0.48959,0.29719,-0.58479,0.9998,0.51404,0.2399,-0.56112,0.99944,0.5275,0.23839,-0.56126,0.9994,0.53843,0.2372,-0.56164,0.99944,0.47483,0.23987,-0.55482,0.99949,0.46375,0.23787,-0.55449,0.99948,0.45595,0.23592,-0.55478,0.9995,0.55652,0.25038,-0.34016,0.9994,0.45223,0.24608,-0.29887,0.99939,0.51378,0.34795,-0.498,0.99979,0.46653,0.34401,-0.48639,0.99982,0.64112,0.52666,-0.17237,0.99776,0.37956,0.4446,-0.20461,0.99857,0.77717,0.85986,-0.07822,0.8735,0.30488,0.82025,-0.16064,0.6906,0.87199,1.20688,-0.19283,0.39345,0.26276,1.15533,-0.39357,0.18392,0.91226,1.31053,-0.23503,0.30546,0.24204,1.27135,-0.45326,0.15554,0.887,1.32405,-0.3022,0.40762,0.26953,1.27729,-0.53434,0.21395,0.86237,1.29164,-0.22775,0.41482,0.28253,1.24174,-0.43407,0.21092,0.5745,1.22889,-0.03986,0.00928,0.39193,1.20417,0.04257,0.00854,0.55511,1.79765,-0.07401,0.00497,0.37613,1.77427,0.03036,0.00352,0.52825,2.3058,0.28413,0.00045,0.3541,2.27352,0.24075,0.00066,0.52883,2.38275,0.29859,0.00025,0.34575,2.35034,0.25081,0.00058,0.48904,2.46684,-0.06187,0.0006,0.37378,2.43981,-0.14757,0.00164,idle
133,0.48924,0.2969,-0.62747,0.99982,0.51403,0.23963,-0.60278,0.99947,0.5275,0.23807,-0.60296,0.99944,0.53846,0.23681,-0.60332,0.99948,0.47471,0.23968,-0.59682,0.99952,0.46371,0.23772,-0.59649,0.99952,0.4559,0.23583,-0.59681,0.99953,0.55656,0.25021,-0.37125,0.99944,0.45209,0.24594,-0.33103,0.99943,0.51376,0.34754,-0.53616,0.9998,0.46622,0.34337,-0.52501,0.99984,0.64109,0.52602,-0.1839,0.99796,0.37884,0.44555,-0.22264,0.99868,0.77726,0.85997,-0.06917,0.87493,0.30392,0.82312,-0.17236,0.70428,0.87181,1.20778,-0.18254,0.38443,0.2617,1.15808,-0.41464,0.18513,0.91247,1.30992,-0.22175,0.29666,0.24,1.27386,-0.47619,0.15607,0.88855,1.32446,-0.29288,0.3986,0.26944,1.28046,-0.56036,0.2157,0.86341,1.29278,-0.21921,0.40566,0.28248,1.24466,-0.45669,0.21333,0.57472,1.23327,-0.04282,0.00886,0.39185,1.20837,0.04558,0.00815,0.55512,1.80295,-0.08373,0.00461,0.37635,1.7801,0.03307,0.00325,0.52785,2.31061,0.28214,0.00041,0.35429,2.27895,0.2424,0.0006,0.52858,2.38801,0.29679,0.00023,0.34619,2.35567,0.25294,0.00054,0.48897,2.46957,-0.07047,0.00054,0.37408,2.44454,-0.14551,0.00149,idle
166,0.48785,0.2969,-0.62078,0.99982,0.5135,0.23964,-0.59864,0.9995,0.52719,0.23807,-0.59882,0.99946,0.53832,0.2368,-0.59919,0.9995,0.47403,0.23971,-0.59066,0.99954,0.46338,0.23777,-0.59035,0.99953,0.45554,0.23587,-0.59067,0.99955,0.55654,0.2501,-0.37799,0.99947,0.45197,0.24582,-0.32828,0.99946,0.5133,0.3475,-0.53362,0.99982,0.46549,0.3432,-0.51957,0.99985,0.64109,0.52591,-0.20071,0.99812,0.37863,0.44587,-0.22082,0.99878,0.77824,0.86187,-0.09257,0.87758,0.30333,0.82313,-0.17297,0.71227,0.87274,1.21341,-0.19546,0.378,0.26017,1.15859,-0.40898,0.18288,0.9136,1.31509,-0.2333,0.28985,0.2375,1.27421,-0.4675,0.15409,0.88938,1.33133,-0.30407,0.39146,0.26828,1.28096,-0.5518,0.21369,0.86403,1.29988,-0.23148,0.39902,0.28146,1.24534,-0.45128,0.21233,0.57477,1.2359,-0.0458,0.00849,0.39161,1.2097,0.04852,0.00779,0.55483,1.80574,-0.08201,0.00427,0.37619,1.77982,0.03743,0.00301,0.52541,2.3135,0.28667,0.00038,0.35174,2.27916,0.25068,0.00055,0.52621,2.39031,0.3017,0.00022,0.34331,2.35584,0.26219,0.0005,0.48542,2.47279,-0.06364,0.0005,0.37108,2.44498,-0.13718,0.00136,idle
200,0.48761,0.29712,-0.63135,0.99983,0.51343,0.23996,-0.60825,0.99951,0.52715,0.23829,-0.60846,0.99948,0.53831,0.23691,-0.60881,0.99951,0.47393,0.24016,-0.60186,0.99955,0.46332,0.23833,-0.60158,0.99955,0.45548,0.23649,-0.60191,0.99957,0.55654,0.25009,-0.38146,0.99949,0.45193,0.24587,-0.3389,0.99949,0.51325,0.34754,-0.54146,0.99983,0.46537,0.34321,-0.52959,0.99985,0.64109,0.52579,-0.19444,0.99827,0.37848,0.4461,-0.22799,0.99886,0.77874,0.86244,-0.07927,0.87872,0.3028,0.82431,-0.17966,0.71955,0.87288,1.21271,-0.18354,0.37162,0.25836,1.16166,-0.42097,0.1816,0.9141,1.31332,-0.22087,0.2836,0.23464,1.27718,-0.48145,0.15319,0.89075,1.3295,-0.29308,0.38495,0.26648,1.28493,-0.56709,0.21325,0.86507,1.29846,-0.22022,0.39257,0.28009,1.24894,-0.46389,0.2125,0.57492,1.23681,-0.04497,0.00812,0.39155,1.21086,0.04763,0.00743,0.55483,1.8066,-0.0852,0.00399,0.37634,1.78114,0.03662,0.0028,0.52536,2.31522,0.27862,0.00035,0.35187,2.28122,0.24902,0.0005,0.52624,2.39232,0.29298,0.0002,0.34358,2.3581,0.26008,0.00046,0.48552,2.4742,-0.07439,0.00046,0.37141,2.44721,-0.14087,0.00124,idle
233,0.4875,0.29791,-0.6512,0.99983,0.5134,0.24073,-0.62915,0.99953,0.52714,0.23891,-0.62936,0.9995,0.5383,0.23733,-0.62974,0.99952,0.47392,0.2411,-0.6222,0.99956,0.46331,0.2394,-0.62192,0.99957,0.45547,0.23766,-0.62225,0.99958,0.55654,0.25011,-0.40156,0.9995,0.45195,0.24603,-0.35641,0.99951,0.51325,0.34789,-0.56036,0.99983,0.46536,0.34368,-0.54777,0.99986,0.6411,0.52565,-0.21003,0.9984,0.37848,0.44609,-0.23608,0.99893,0.77924,0.86464,-0.08933,0.88056,0.30277,0.82403,-0.18364,0.72564,0.87341,1.2141,-0.18931,0.36739,0.25759,1.16176,-0.425,0.1798,0.91474,1.31457,-0.22616,0.27892,0.23362,1.27691,-0.48505,0.15194,0.89095,1.33175,-0.29959,0.38031,0.2655,1.28459,-0.57173,0.21234,0.86528,1.30053,-0.22617,0.38808,0.27927,1.24876,-0.4683,0.21213,0.57507,1.23741,-0.04583,0.0078,0.39154,1.21142,0.04849,0.00711,0.55493,1.80777,-0.09199,0.00376,0.37666,1.78205,0.03653,0.00262,0.52583,2.31713,0.27019,0.00033,0.35198,2.28266,0.24881,0.00046,0.52679,2.39449,0.28429,0.00019,0.34392,2.35969,0.2596,0.00044,0.48634,2.47593,-0.08568,0.00042,0.37157,2.44879,-0.14209,0.00114,idle
266,0.48734,0.29858,-0.66029,0.99984,0.51334,0.24136,-0.63921,0.99954,0.52709,0.23944,-0.6394,0.99951,0.53828,0.2377,-0.63978,0.99953,0.47387,0.24185,-0.63185,0.99957,0.46329,0.24025,-0.63156,0.99958,0.45545,0.23857,-0.63188,0.99959,0.55653,0.25011,-0.41297,0.99951,0.45195,0.24615,-0.36593,0.99953,0.51323,0.34822,-0.56974,0.99984,0.46531,0.34408,-0.55655,0.99986,0.6411,0.52554,-0.22088,0.99852,0.3785,0.44595,-0.24347,0.999,0.77945,0.86632,-0.09924,0.88244,0.30274,0.82397,-0.19072,0.73213,0.8754,1.21472,-0.19521,0.36318,0.25733,1.16255,-0.43091,0.17872,0.91774,1.31464,-0.23142,0.27444,0.23333,1.27779,-0.49025,0.15119,0.89427,1.33223,-0.30506,0.37575,0.26524,1.28567,-0.57661,0.21194,0.86793,1.30131,-0.23209,0.38403,0.27907,1.24982,-0.4739,0.21243,0.57514,1.23808,-0.04671,0.00753,0.39153,1.21194,0.04936,0.00685,0.55497,1.8087,-0.09007,0.00354,0.37677,1.78249,0.03728,0.00246,0.52614,2.31797,0.27379,0.00031,0.35215,2.28296,0.24935,0.00042,0.52718,2.39509,0.28819,0.00017,0.34421,2.35977,0.26014,0.00041,0.48671,2.4774,-0.08069,0.00039,0.3718,2.44943,-0.14191,0.00104,idle
300,0.48725,0.29923,-0.66758,0.99984,0.51332,0.24198,-0.6474,0.99955,0.52707,0.23997,-0.64758,0.99952,0.53827,0.23811,-0.64795,0.99954,0.47386,0.24253,-0.63947,0.99958,0.46328,0.24098,-0.63918,0.99959,0.45544,0.23933,-0.63949,0.9996,0.55653,0.25013,-0.42268,0.99953,0.45196,0.24624,-0.37324,0.99955,0.51322,0.3486,-0.57735,0.99985,0.46529,0.34449,-0.56345,0.99987,0.6411,0.52548,-0.23093,0.99863,0.37853,0.44559,-0.24907,0.99906,0.7795,0.86741,-0.11115,0.88474,0.30276,0.82377,-0.1957,0.73844,0.87544,1.21619,-0.20655,0.36172,0.25709,1.16263,-0.43513,0.17908,0.91787,1.31632,-0.24409,0.27222,0.23305,1.27783,-0.49451,0.15172,0.89475,1.33384,-0.31689,0.37376,0.2649,1.28551,-0.58141,0.21316,0.86832,1.30295,-0.24304,0.38236,0.27884,1.24981,-0.47832,0.21421,0.57513,1.23816,-0.04796,0.0073,0.39141,1.21188,0.0506,0.00661,0.55487,1.8088,-0.09131,0.00335,0.37677,1.78204,0.0384,0.00231,0.52583,2.31816,0.27337,0.00029,0.35217,2.28275,0.251,0.00039,0.52683,2.39493,0.28781,0.00016,0.34426,2.35947,0.26192,0.00039,0.48618,2.47803,-0.08147,0.00036,0.37168,2.4492,-0.14079,0.00096,idle
